Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - AMJ.txt

Data for: 2015-09-01 00:10:00 UTC - 2015-12-31 23:55:00 UTC
Generated: 2016-02-06 22:26:11 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
AMJ	2015-09-01 00:10:00	-1.162	-0.179	0.362	-2.72	-1.023	-0.119	0.26	-3.48	2	1.45	1.05	0.524	1.0	1.994	0.013	2015-08-31	20:10:00	US/Eastern
AMJ	2015-09-01 00:25:00	-1.162	-0.179	0.362	-2.72	-1.012	-0.118	0.258	-3.467	2	1.45	1.05	0.524	1.0	1.994	0.013	2015-08-31	20:25:00	US/Eastern
AMJ	2015-09-01 00:40:00	-1.162	-0.179	0.362	-2.72	-1.002	-0.118	0.256	-3.454	2	1.45	1.05	0.524	1.0	1.994	0.013	2015-08-31	20:40:00	US/Eastern
AMJ	2015-09-01 00:55:00	-1.162	-0.179	0.362	-2.72	-0.991	-0.117	0.254	-3.44	2	1.45	1.05	0.524	1.0	1.994	0.013	2015-08-31	20:55:00	US/Eastern
AMJ	2015-09-01 01:10:00	-1.162	-0.179	0.362	-2.72	-0.981	-0.117	0.252	-3.427	2	1.45	1.05	0.524	1.0	1.994	0.013	2015-08-31	21:10:00	US/Eastern
AMJ	2015-09-01 01:25:00	-1.162	-0.179	0.362	-2.72	-0.971	-0.116	0.25	-3.414	2	1.45	1.05	0.524	1.0	1.994	0.014	2015-08-31	21:25:00	US/Eastern
AMJ	2015-09-01 01:40:00	-1.162	-0.179	0.362	-2.72	-0.961	-0.116	0.249	-3.4	2	1.45	1.05	0.524	1.0	1.994	0.014	2015-08-31	21:40:00	US/Eastern
AMJ	2015-09-01 01:55:00	-1.162	-0.179	0.362	-2.72	-0.951	-0.115	0.247	-3.386	2	1.45	1.05	0.524	1.0	1.994	0.014	2015-08-31	21:55:00	US/Eastern
AMJ	2015-09-01 02:10:00	-1.162	-0.179	0.362	-2.72	-0.941	-0.115	0.245	-3.372	2	1.45	1.05	0.524	1.0	1.994	0.014	2015-08-31	22:10:00	US/Eastern
AMJ	2015-09-01 02:25:00	-1.162	-0.179	0.362	-2.72	-0.931	-0.114	0.243	-3.358	2	1.45	1.05	0.524	1.0	1.994	0.014	2015-08-31	22:25:00	US/Eastern
AMJ	2015-09-01 02:40:00	-1.162	-0.179	0.362	-2.72	-0.922	-0.114	0.242	-3.344	2	1.45	1.05	0.524	1.0	1.994	0.014	2015-08-31	22:40:00	US/Eastern
AMJ	2015-09-01 02:55:00	-1.162	-0.179	0.362	-2.72	-0.912	-0.113	0.24	-3.329	2	1.45	1.05	0.524	1.0	1.994	0.014	2015-08-31	22:55:00	US/Eastern
AMJ	2015-09-01 03:10:00	-1.162	-0.179	0.362	-2.72	-0.903	-0.113	0.238	-3.315	2	1.45	1.05	0.524	1.0	1.994	0.015	2015-08-31	23:10:00	US/Eastern
AMJ	2015-09-01 03:25:00	-1.162	-0.179	0.362	-2.72	-0.893	-0.113	0.237	-3.3	2	1.45	1.05	0.524	1.0	1.994	0.015	2015-08-31	23:25:00	US/Eastern
AMJ	2015-09-01 03:40:00	-1.162	-0.179	0.362	-2.72	-0.884	-0.112	0.235	-3.285	2	1.45	1.05	0.524	1.0	1.994	0.015	2015-08-31	23:40:00	US/Eastern
AMJ	2015-09-01 03:55:00	-1.162	-0.179	0.362	-2.72	-0.875	-0.112	0.233	-3.27	2	1.45	1.05	0.524	1.0	1.994	0.015	2015-08-31	23:55:00	US/Eastern
AMJ	2015-09-01 04:10:00	-1.162	-0.179	0.362	-2.72	-0.866	-0.111	0.232	-3.255	2	1.45	1.05	0.524	1.0	1.994	0.015	2015-09-01	00:10:00	US/Eastern
AMJ	2015-09-01 04:25:00	-1.162	-0.179	0.362	-2.72	-0.857	-0.111	0.23	-3.239	2	1.45	1.05	0.524	1.0	1.994	0.015	2015-09-01	00:25:00	US/Eastern
AMJ	2015-09-01 04:40:00	-1.162	-0.179	0.362	-2.72	-0.848	-0.11	0.229	-3.224	2	1.45	1.05	0.524	1.0	1.994	0.015	2015-09-01	00:40:00	US/Eastern
AMJ	2015-09-01 04:55:00	-1.162	-0.179	0.362	-2.72	-0.839	-0.11	0.227	-3.208	2	1.45	1.05	0.524	1.0	1.994	0.016	2015-09-01	00:55:00	US/Eastern
AMJ	2015-09-01 05:10:00	-1.162	-0.179	0.362	-2.72	-0.831	-0.109	0.226	-3.192	2	1.45	1.05	0.524	1.0	1.994	0.016	2015-09-01	01:10:00	US/Eastern
AMJ	2015-09-01 05:25:00	-1.162	-0.179	0.362	-2.72	-0.822	-0.109	0.224	-3.176	2	1.45	1.05	0.524	1.0	1.994	0.016	2015-09-01	01:25:00	US/Eastern
AMJ	2015-09-01 05:40:00	-1.162	-0.179	0.362	-2.72	-0.813	-0.109	0.223	-3.16	2	1.45	1.05	0.524	1.0	1.994	0.016	2015-09-01	01:40:00	US/Eastern
AMJ	2015-09-01 05:55:00	-1.162	-0.179	0.362	-2.72	-0.805	-0.108	0.222	-3.144	2	1.45	1.05	0.524	1.0	1.994	0.016	2015-09-01	01:55:00	US/Eastern
AMJ	2015-09-01 06:10:00	-1.162	-0.179	0.362	-2.72	-0.797	-0.108	0.22	-3.128	2	1.45	1.05	0.524	1.0	1.994	0.016	2015-09-01	02:10:00	US/Eastern
AMJ	2015-09-01 06:25:00	-1.162	-0.179	0.362	-2.72	-0.788	-0.107	0.219	-3.111	2	1.45	1.05	0.524	1.0	1.994	0.016	2015-09-01	02:25:00	US/Eastern
AMJ	2015-09-01 06:40:00	-1.162	-0.179	0.362	-2.72	-0.78	-0.107	0.218	-3.095	2	1.45	1.05	0.524	1.0	1.994	0.017	2015-09-01	02:40:00	US/Eastern
