Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - CIU.txt

Data for: 2015-09-01 22:25:00 UTC - 2015-12-30 22:55:00 UTC
Generated: 2016-02-06 22:26:11 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
CIU	2015-09-01 22:25:00	0.406	0.149	0.365	0.704	0.405	0.114	0.298	0.976	1	0.881	2.027	0.059	1.0	0.709	0.0	2015-09-01	18:25:00	US/Eastern
CIU	2015-09-01 22:40:00	0.406	0.149	0.365	0.704	0.4	0.114	0.297	0.964	1	0.88	2.028	0.059	1.0	0.709	-0.013	2015-09-01	18:40:00	US/Eastern
CIU	2015-09-01 22:55:00	0.406	0.149	0.365	0.705	0.396	0.113	0.297	0.951	1	0.88	2.028	0.059	1.0	0.709	-0.012	2015-09-01	18:55:00	US/Eastern
CIU	2015-09-01 23:10:00	0.406	0.149	0.365	0.705	0.392	0.113	0.297	0.939	1	0.879	2.028	0.06	1.0	0.709	-0.012	2015-09-01	19:10:00	US/Eastern
CIU	2015-09-01 23:25:00	0.406	0.149	0.365	0.705	0.388	0.113	0.297	0.927	1	0.879	2.028	0.06	1.0	0.709	-0.012	2015-09-01	19:25:00	US/Eastern
CIU	2015-09-01 23:40:00	0.406	0.149	0.365	0.705	0.384	0.113	0.297	0.915	1	0.878	2.028	0.06	1.0	0.709	-0.012	2015-09-01	19:40:00	US/Eastern
CIU	2015-09-01 23:55:00	0.406	0.148	0.365	0.706	0.38	0.112	0.297	0.903	1	0.878	2.028	0.06	1.0	0.709	-0.012	2015-09-01	19:55:00	US/Eastern
CIU	2015-09-02 00:10:00	0.406	0.148	0.365	0.706	0.376	0.112	0.296	0.891	1	0.877	2.028	0.061	1.0	0.709	-0.012	2015-09-01	20:10:00	US/Eastern
CIU	2015-09-02 00:25:00	0.406	0.148	0.365	0.706	0.372	0.112	0.296	0.879	1	0.877	2.028	0.061	1.0	0.709	-0.012	2015-09-01	20:25:00	US/Eastern
CIU	2015-09-02 00:40:00	0.406	0.148	0.365	0.706	0.368	0.112	0.296	0.867	1	0.876	2.028	0.061	1.0	0.709	-0.012	2015-09-01	20:40:00	US/Eastern
CIU	2015-09-02 00:55:00	0.406	0.148	0.365	0.707	0.365	0.111	0.296	0.856	1	0.876	2.028	0.061	1.0	0.709	-0.012	2015-09-01	20:55:00	US/Eastern
CIU	2015-09-02 01:10:00	0.406	0.148	0.365	0.707	0.361	0.111	0.296	0.844	1	0.875	2.029	0.062	1.0	0.709	-0.011	2015-09-01	21:10:00	US/Eastern
CIU	2015-09-02 01:25:00	0.406	0.148	0.365	0.707	0.357	0.111	0.296	0.833	1	0.874	2.029	0.062	1.0	0.709	-0.011	2015-09-01	21:25:00	US/Eastern
CIU	2015-09-02 01:40:00	0.406	0.148	0.365	0.707	0.353	0.111	0.295	0.821	1	0.874	2.029	0.062	1.0	0.709	-0.011	2015-09-01	21:40:00	US/Eastern
CIU	2015-09-02 01:55:00	0.406	0.148	0.365	0.708	0.35	0.11	0.295	0.81	1	0.873	2.029	0.062	1.0	0.709	-0.011	2015-09-01	21:55:00	US/Eastern
CIU	2015-09-02 02:10:00	0.406	0.148	0.365	0.708	0.346	0.11	0.295	0.799	1	0.873	2.029	0.063	1.0	0.709	-0.011	2015-09-01	22:10:00	US/Eastern
CIU	2015-09-02 02:25:00	0.406	0.147	0.365	0.708	0.342	0.11	0.295	0.788	1	0.872	2.029	0.063	1.0	0.709	-0.011	2015-09-01	22:25:00	US/Eastern
CIU	2015-09-02 02:40:00	0.406	0.147	0.365	0.709	0.339	0.11	0.295	0.777	1	0.872	2.029	0.063	1.0	0.709	-0.011	2015-09-01	22:40:00	US/Eastern
CIU	2015-09-02 02:55:00	0.406	0.147	0.365	0.709	0.335	0.11	0.295	0.766	1	0.871	2.029	0.063	1.0	0.709	-0.011	2015-09-01	22:55:00	US/Eastern
CIU	2015-09-02 03:10:00	0.406	0.147	0.365	0.709	0.332	0.109	0.295	0.756	1	0.871	2.029	0.064	1.0	0.709	-0.011	2015-09-01	23:10:00	US/Eastern
CIU	2015-09-02 03:25:00	0.406	0.147	0.365	0.709	0.328	0.109	0.294	0.745	1	0.87	2.029	0.064	1.0	0.709	-0.011	2015-09-01	23:25:00	US/Eastern
CIU	2015-09-02 03:40:00	0.406	0.147	0.365	0.71	0.325	0.109	0.294	0.735	1	0.87	2.03	0.064	1.0	0.709	-0.01	2015-09-01	23:40:00	US/Eastern
CIU	2015-09-02 03:55:00	0.406	0.147	0.365	0.71	0.322	0.109	0.294	0.724	1	0.869	2.03	0.064	1.0	0.709	-0.01	2015-09-01	23:55:00	US/Eastern
CIU	2015-09-02 04:10:00	0.406	0.147	0.365	0.71	0.318	0.108	0.294	0.714	1	0.869	2.03	0.065	1.0	0.709	-0.01	2015-09-02	00:10:00	US/Eastern
CIU	2015-09-02 04:25:00	0.406	0.147	0.366	0.71	0.315	0.108	0.294	0.704	1	0.868	2.03	0.065	1.0	0.709	-0.01	2015-09-02	00:25:00	US/Eastern
CIU	2015-09-02 04:40:00	0.406	0.147	0.366	0.711	0.312	0.108	0.294	0.694	1	0.868	2.03	0.065	1.0	0.709	-0.01	2015-09-02	00:40:00	US/Eastern
CIU	2015-09-02 04:55:00	0.406	0.146	0.366	0.711	0.309	0.108	0.294	0.684	1	0.867	2.03	0.065	1.0	0.709	-0.01	2015-09-02	00:55:00	US/Eastern
CIU	2015-09-02 05:10:00	0.406	0.146	0.366	0.711	0.305	0.108	0.294	0.674	1	0.867	2.03	0.066	1.0	0.709	-0.01	2015-09-02	01:10:00	US/Eastern
CIU	2015-09-02 05:25:00	0.406	0.146	0.366	0.711	0.302	0.107	0.294	0.664	1	0.866	2.03	0.066	1.0	0.709	-0.01	2015-09-02	01:25:00	US/Eastern
CIU	2015-09-02 05:40:00	0.406	0.146	0.366	0.712	0.299	0.107	0.293	0.654	1	0.866	2.03	0.066	1.0	0.709	-0.01	2015-09-02	01:40:00	US/Eastern
