Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - DGAZ.txt

Data for: 2015-09-01 00:10:00 UTC - 2015-12-31 23:55:00 UTC
Generated: 2016-02-06 22:26:11 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
DGAZ	2015-09-01 00:10:00	3.28	1.27	1.919	1.048	1.885	0.805	1.134	0.951	105	44.485	28.303	2.138	0.105	2.766	-0.172	2015-08-31	20:10:00	US/Eastern
DGAZ	2015-09-01 00:25:00	2.826	1.247	1.896	0.832	1.699	0.797	1.126	0.802	104	44.42	28.18	2.114	0.106	2.752	-0.15	2015-08-31	20:25:00	US/Eastern
DGAZ	2015-09-01 00:40:00	2.626	1.238	1.888	0.735	1.608	0.792	1.122	0.727	101	44.255	27.841	2.038	0.109	2.71	-0.075	2015-08-31	20:40:00	US/Eastern
DGAZ	2015-09-01 00:55:00	2.134	1.214	1.873	0.492	1.177	0.771	1.11	0.365	101	44.24	27.83	2.039	0.109	2.71	-0.362	2015-08-31	20:55:00	US/Eastern
DGAZ	2015-09-01 01:10:00	2.134	1.214	1.873	0.491	1.164	0.771	1.11	0.354	101	44.225	27.819	2.041	0.109	2.71	-0.011	2015-08-31	21:10:00	US/Eastern
DGAZ	2015-09-01 01:25:00	2.134	1.214	1.873	0.491	1.152	0.771	1.11	0.344	100	44.16	27.702	2.016	0.1	2.696	-0.011	2015-08-31	21:25:00	US/Eastern
DGAZ	2015-09-01 01:40:00	2.134	1.215	1.873	0.491	1.14	0.77	1.11	0.333	100	44.145	27.691	2.017	0.1	2.696	-0.011	2015-08-31	21:40:00	US/Eastern
DGAZ	2015-09-01 01:55:00	2.134	1.215	1.873	0.49	1.129	0.77	1.11	0.323	100	44.13	27.679	2.018	0.1	2.696	-0.01	2015-08-31	21:55:00	US/Eastern
DGAZ	2015-09-01 02:10:00	1.759	1.197	1.866	0.301	0.98	0.763	1.108	0.196	99	44.065	27.563	1.993	0.101	2.681	-0.127	2015-08-31	22:10:00	US/Eastern
DGAZ	2015-09-01 02:25:00	1.759	1.197	1.866	0.301	0.97	0.763	1.108	0.187	99	44.049	27.551	1.994	0.101	2.681	-0.009	2015-08-31	22:25:00	US/Eastern
DGAZ	2015-09-01 02:40:00	0.726	1.146	1.864	-0.226	0.372	0.733	1.11	-0.326	99	44.034	27.54	1.996	0.101	2.681	-0.512	2015-08-31	22:40:00	US/Eastern
DGAZ	2015-09-01 02:55:00	1.001	1.16	1.862	-0.086	0.641	0.747	1.108	-0.096	100	44.069	27.635	2.024	0.1	2.696	0.23	2015-08-31	22:55:00	US/Eastern
DGAZ	2015-09-01 03:10:00	1.001	1.161	1.862	-0.086	0.635	0.747	1.108	-0.102	100	44.054	27.624	2.025	0.1	2.696	-0.006	2015-08-31	23:10:00	US/Eastern
DGAZ	2015-09-01 03:25:00	1.501	1.186	1.863	0.169	1.124	0.772	1.111	0.317	101	44.089	27.72	2.053	0.099	2.71	0.419	2015-08-31	23:25:00	US/Eastern
DGAZ	2015-09-01 03:40:00	1.501	1.187	1.864	0.168	1.112	0.772	1.111	0.307	101	44.074	27.709	2.054	0.099	2.71	-0.01	2015-08-31	23:40:00	US/Eastern
DGAZ	2015-09-01 03:55:00	1.501	1.187	1.864	0.168	1.101	0.772	1.111	0.297	101	44.059	27.697	2.056	0.099	2.71	-0.01	2015-08-31	23:55:00	US/Eastern
DGAZ	2015-09-01 04:10:00	1.501	1.188	1.864	0.168	1.09	0.771	1.111	0.286	101	44.044	27.686	2.057	0.099	2.71	-0.01	2015-09-01	00:10:00	US/Eastern
DGAZ	2015-09-01 04:25:00	1.501	1.188	1.864	0.168	1.078	0.771	1.111	0.277	101	44.029	27.675	2.059	0.099	2.71	-0.01	2015-09-01	00:25:00	US/Eastern
DGAZ	2015-09-01 04:40:00	1.501	1.189	1.864	0.167	1.067	0.771	1.111	0.267	101	44.014	27.664	2.06	0.099	2.71	-0.01	2015-09-01	00:40:00	US/Eastern
DGAZ	2015-09-01 04:55:00	1.501	1.189	1.865	0.167	1.056	0.771	1.111	0.257	101	43.998	27.653	2.061	0.099	2.71	-0.01	2015-09-01	00:55:00	US/Eastern
DGAZ	2015-09-01 05:10:00	1.501	1.189	1.865	0.167	1.045	0.771	1.111	0.247	101	43.983	27.641	2.063	0.099	2.71	-0.01	2015-09-01	01:10:00	US/Eastern
DGAZ	2015-09-01 05:25:00	1.501	1.19	1.865	0.167	1.034	0.77	1.111	0.238	101	43.968	27.63	2.064	0.099	2.71	-0.01	2015-09-01	01:25:00	US/Eastern
DGAZ	2015-09-01 05:40:00	1.501	1.19	1.865	0.166	1.024	0.77	1.111	0.228	101	43.953	27.619	2.065	0.099	2.71	-0.009	2015-09-01	01:40:00	US/Eastern
DGAZ	2015-09-01 05:55:00	1.501	1.191	1.865	0.166	1.013	0.77	1.111	0.219	101	43.938	27.608	2.067	0.099	2.71	-0.009	2015-09-01	01:55:00	US/Eastern
DGAZ	2015-09-01 06:10:00	1.501	1.191	1.866	0.166	1.002	0.77	1.111	0.209	101	43.923	27.596	2.068	0.099	2.71	-0.009	2015-09-01	02:10:00	US/Eastern
DGAZ	2015-09-01 06:25:00	1.501	1.192	1.866	0.166	0.992	0.77	1.111	0.2	101	43.908	27.585	2.07	0.099	2.71	-0.009	2015-09-01	02:25:00	US/Eastern
DGAZ	2015-09-01 06:40:00	1.501	1.192	1.866	0.165	0.982	0.769	1.111	0.191	101	43.893	27.574	2.071	0.099	2.71	-0.009	2015-09-01	02:40:00	US/Eastern
DGAZ	2015-09-01 06:55:00	1.501	1.192	1.866	0.165	0.972	0.769	1.111	0.182	101	43.878	27.563	2.072	0.099	2.71	-0.009	2015-09-01	02:55:00	US/Eastern
DGAZ	2015-09-01 07:10:00	1.501	1.193	1.866	0.165	0.962	0.769	1.111	0.173	101	43.863	27.551	2.074	0.099	2.71	-0.009	2015-09-01	03:10:00	US/Eastern
DGAZ	2015-09-01 07:25:00	1.501	1.193	1.866	0.165	0.952	0.769	1.111	0.164	101	43.847	27.54	2.075	0.099	2.71	-0.009	2015-09-01	03:25:00	US/Eastern
DGAZ	2015-09-01 07:40:00	1.501	1.194	1.867	0.164	0.942	0.769	1.111	0.156	101	43.832	27.529	2.077	0.099	2.71	-0.009	2015-09-01	03:40:00	US/Eastern
DGAZ	2015-09-01 07:55:00	1.501	1.194	1.867	0.164	0.932	0.769	1.111	0.147	101	43.817	27.517	2.078	0.099	2.71	-0.009	2015-09-01	03:55:00	US/Eastern
DGAZ	2015-09-01 08:10:00	1.501	1.195	1.867	0.164	0.922	0.769	1.111	0.138	101	43.802	27.506	2.079	0.099	2.71	-0.009	2015-09-01	04:10:00	US/Eastern
DGAZ	2015-09-01 08:25:00	1.501	1.195	1.867	0.164	0.913	0.769	1.111	0.13	101	43.787	27.494	2.081	0.099	2.71	-0.008	2015-09-01	04:25:00	US/Eastern
DGAZ	2015-09-01 08:40:00	1.501	1.196	1.867	0.163	0.903	0.768	1.111	0.121	101	43.772	27.483	2.082	0.099	2.71	-0.008	2015-09-01	04:40:00	US/Eastern
DGAZ	2015-09-01 08:55:00	1.501	1.196	1.868	0.163	0.894	0.768	1.111	0.113	101	43.757	27.472	2.084	0.099	2.71	-0.008	2015-09-01	04:55:00	US/Eastern
DGAZ	2015-09-01 09:10:00	1.469	1.195	1.868	0.147	0.873	0.768	1.111	0.095	100	43.692	27.351	2.059	0.1	2.696	-0.018	2015-09-01	05:10:00	US/Eastern
DGAZ	2015-09-01 09:25:00	1.469	1.195	1.868	0.147	0.864	0.767	1.111	0.087	100	43.677	27.34	2.06	0.1	2.696	-0.008	2015-09-01	05:25:00	US/Eastern
DGAZ	2015-09-01 09:40:00	1.969	1.221	1.875	0.399	1.038	0.777	1.113	0.235	99	43.611	27.22	2.035	0.091	2.681	0.148	2015-09-01	05:40:00	US/Eastern
DGAZ	2015-09-01 09:55:00	1.969	1.221	1.875	0.399	1.027	0.776	1.113	0.225	99	43.596	27.209	2.036	0.091	2.681	-0.009	2015-09-01	05:55:00	US/Eastern
DGAZ	2015-09-01 10:10:00	1.969	1.222	1.875	0.399	1.016	0.776	1.113	0.216	99	43.581	27.197	2.038	0.091	2.681	-0.009	2015-09-01	06:10:00	US/Eastern
DGAZ	2015-09-01 10:25:00	1.519	1.2	1.869	0.171	0.841	0.768	1.112	0.066	95	43.366	26.768	1.929	0.095	2.623	-0.15	2015-09-01	06:25:00	US/Eastern
