Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EWT.txt

Data for: 2015-09-01 00:10:00 UTC - 2015-12-31 23:55:00 UTC
Generated: 2016-02-06 22:26:11 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EWT	2015-09-01 00:10:00	0.0	0.035	0.501	-0.07	0.0	0.029	0.271	-0.109	1	2.081	1.799	-0.601	1.0	0.871	0.0	2015-08-31	20:10:00	US/Eastern
EWT	2015-09-01 00:25:00	0.0	0.036	0.501	-0.071	0.0	0.03	0.271	-0.109	1	2.08	1.799	-0.6	1.0	0.871	0.0	2015-08-31	20:25:00	US/Eastern
EWT	2015-09-01 00:40:00	0.0	0.036	0.501	-0.072	0.0	0.03	0.271	-0.109	1	2.078	1.798	-0.6	1.0	0.871	0.0	2015-08-31	20:40:00	US/Eastern
EWT	2015-09-01 00:55:00	0.0	0.036	0.5	-0.072	0.0	0.03	0.271	-0.11	1	2.077	1.798	-0.599	1.0	0.871	0.0	2015-08-31	20:55:00	US/Eastern
EWT	2015-09-01 01:10:00	0.0	0.036	0.5	-0.073	0.0	0.03	0.271	-0.11	1	2.075	1.797	-0.598	1.0	0.871	0.0	2015-08-31	21:10:00	US/Eastern
EWT	2015-09-01 01:25:00	0.0	0.037	0.5	-0.073	0.0	0.03	0.271	-0.111	1	2.073	1.797	-0.597	1.0	0.871	0.0	2015-08-31	21:25:00	US/Eastern
EWT	2015-09-01 01:40:00	0.0	0.037	0.5	-0.074	0.0	0.03	0.271	-0.111	1	2.072	1.797	-0.597	1.0	0.871	0.0	2015-08-31	21:40:00	US/Eastern
EWT	2015-09-01 01:55:00	0.0	0.037	0.5	-0.074	0.0	0.03	0.271	-0.112	1	2.07	1.796	-0.596	1.0	0.871	0.0	2015-08-31	21:55:00	US/Eastern
EWT	2015-09-01 02:10:00	0.0	0.037	0.5	-0.075	0.0	0.03	0.271	-0.112	1	2.069	1.796	-0.595	1.0	0.871	0.0	2015-08-31	22:10:00	US/Eastern
EWT	2015-09-01 02:25:00	0.0	0.038	0.499	-0.075	0.0	0.03	0.271	-0.113	1	2.067	1.796	-0.594	1.0	0.871	0.0	2015-08-31	22:25:00	US/Eastern
EWT	2015-09-01 03:25:00	0.15	0.046	0.499	0.208	0.149	0.038	0.272	0.408	1	2.061	1.794	-0.591	1.0	0.871	0.0	2015-08-31	23:25:00	US/Eastern
EWT	2015-09-01 03:40:00	0.15	0.046	0.499	0.208	0.148	0.038	0.272	0.402	1	2.059	1.794	-0.591	1.0	0.871	-0.006	2015-08-31	23:40:00	US/Eastern
EWT	2015-09-01 03:55:00	0.15	0.047	0.499	0.207	0.146	0.038	0.272	0.397	1	2.058	1.793	-0.59	1.0	0.871	-0.006	2015-08-31	23:55:00	US/Eastern
EWT	2015-09-01 04:10:00	0.15	0.047	0.499	0.207	0.145	0.038	0.271	0.391	1	2.056	1.793	-0.589	1.0	0.871	-0.006	2015-09-01	00:10:00	US/Eastern
EWT	2015-09-01 04:25:00	0.15	0.047	0.499	0.206	0.143	0.039	0.271	0.385	1	2.055	1.792	-0.588	1.0	0.871	-0.006	2015-09-01	00:25:00	US/Eastern
EWT	2015-09-01 04:40:00	0.15	0.047	0.498	0.206	0.142	0.039	0.271	0.38	1	2.053	1.792	-0.588	1.0	0.871	-0.005	2015-09-01	00:40:00	US/Eastern
EWT	2015-09-01 04:55:00	0.15	0.048	0.498	0.205	0.14	0.039	0.271	0.375	1	2.052	1.791	-0.587	1.0	0.871	-0.005	2015-09-01	00:55:00	US/Eastern
EWT	2015-09-01 05:10:00	0.15	0.048	0.498	0.205	0.139	0.039	0.271	0.369	1	2.05	1.791	-0.586	1.0	0.871	-0.005	2015-09-01	01:10:00	US/Eastern
EWT	2015-09-01 05:25:00	0.15	0.048	0.498	0.204	0.137	0.039	0.271	0.364	1	2.048	1.791	-0.586	1.0	0.871	-0.005	2015-09-01	01:25:00	US/Eastern
EWT	2015-09-01 05:40:00	0.15	0.049	0.498	0.204	0.136	0.039	0.271	0.359	1	2.047	1.79	-0.585	1.0	0.871	-0.005	2015-09-01	01:40:00	US/Eastern
EWT	2015-09-01 05:55:00	0.15	0.049	0.498	0.203	0.134	0.039	0.271	0.353	1	2.045	1.79	-0.584	1.0	0.871	-0.005	2015-09-01	01:55:00	US/Eastern
EWT	2015-09-01 06:10:00	0.15	0.049	0.498	0.203	0.133	0.039	0.271	0.348	1	2.044	1.789	-0.583	1.0	0.871	-0.005	2015-09-01	02:10:00	US/Eastern
EWT	2015-09-01 06:25:00	0.15	0.049	0.497	0.202	0.132	0.039	0.271	0.343	1	2.042	1.789	-0.583	1.0	0.871	-0.005	2015-09-01	02:25:00	US/Eastern
EWT	2015-09-01 06:40:00	0.15	0.05	0.497	0.202	0.13	0.039	0.271	0.338	1	2.041	1.789	-0.582	1.0	0.871	-0.005	2015-09-01	02:40:00	US/Eastern
EWT	2015-09-01 06:55:00	0.15	0.05	0.497	0.202	0.129	0.039	0.27	0.333	1	2.039	1.788	-0.581	1.0	0.871	-0.005	2015-09-01	02:55:00	US/Eastern
EWT	2015-09-01 07:10:00	0.15	0.05	0.497	0.201	0.128	0.039	0.27	0.328	1	2.038	1.788	-0.58	1.0	0.871	-0.005	2015-09-01	03:10:00	US/Eastern
EWT	2015-09-01 07:25:00	0.15	0.05	0.497	0.201	0.126	0.039	0.27	0.323	1	2.036	1.787	-0.58	1.0	0.871	-0.005	2015-09-01	03:25:00	US/Eastern
EWT	2015-09-01 07:40:00	0.15	0.051	0.497	0.2	0.125	0.039	0.27	0.318	1	2.034	1.787	-0.579	1.0	0.871	-0.005	2015-09-01	03:40:00	US/Eastern
EWT	2015-09-01 07:55:00	0.15	0.051	0.496	0.2	0.124	0.039	0.27	0.313	1	2.033	1.786	-0.578	1.0	0.871	-0.005	2015-09-01	03:55:00	US/Eastern
EWT	2015-09-01 08:10:00	0.15	0.051	0.496	0.199	0.122	0.039	0.27	0.308	1	2.031	1.786	-0.577	1.0	0.871	-0.005	2015-09-01	04:10:00	US/Eastern
EWT	2015-09-01 08:25:00	0.15	0.051	0.496	0.199	0.121	0.039	0.27	0.304	1	2.03	1.786	-0.577	1.0	0.871	-0.005	2015-09-01	04:25:00	US/Eastern
EWT	2015-09-01 08:40:00	0.15	0.052	0.496	0.198	0.12	0.039	0.27	0.299	1	2.028	1.785	-0.576	1.0	0.871	-0.005	2015-09-01	04:40:00	US/Eastern
EWT	2015-09-01 08:55:00	0.15	0.052	0.496	0.198	0.119	0.039	0.27	0.294	1	2.027	1.785	-0.575	1.0	0.871	-0.005	2015-09-01	04:55:00	US/Eastern
EWT	2015-09-01 09:10:00	0.15	0.052	0.496	0.197	0.117	0.039	0.27	0.289	1	2.025	1.784	-0.574	1.0	0.871	-0.005	2015-09-01	05:10:00	US/Eastern
EWT	2015-09-01 09:25:00	0.15	0.052	0.495	0.197	0.116	0.039	0.27	0.285	1	2.023	1.784	-0.574	1.0	0.871	-0.005	2015-09-01	05:25:00	US/Eastern
EWT	2015-09-01 09:40:00	0.15	0.053	0.495	0.197	0.115	0.039	0.269	0.28	1	2.022	1.783	-0.573	1.0	0.871	-0.005	2015-09-01	05:40:00	US/Eastern
EWT	2015-09-01 09:55:00	0.15	0.053	0.495	0.196	0.114	0.04	0.269	0.276	1	2.02	1.783	-0.572	1.0	0.871	-0.005	2015-09-01	05:55:00	US/Eastern
EWT	2015-09-01 10:10:00	0.15	0.053	0.495	0.196	0.113	0.04	0.269	0.271	1	2.019	1.782	-0.572	1.0	0.871	-0.004	2015-09-01	06:10:00	US/Eastern
EWT	2015-09-01 10:25:00	0.15	0.053	0.495	0.195	0.111	0.04	0.269	0.267	1	2.017	1.782	-0.571	1.0	0.871	-0.004	2015-09-01	06:25:00	US/Eastern
EWT	2015-09-01 10:40:00	0.15	0.054	0.495	0.195	0.11	0.04	0.269	0.262	1	2.016	1.782	-0.57	1.0	0.871	-0.004	2015-09-01	06:40:00	US/Eastern
EWT	2015-09-01 10:55:00	0.15	0.054	0.494	0.194	0.109	0.04	0.269	0.258	1	2.014	1.781	-0.569	1.0	0.871	-0.004	2015-09-01	06:55:00	US/Eastern
EWT	2015-09-01 11:10:00	0.15	0.054	0.494	0.194	0.108	0.04	0.269	0.254	1	2.012	1.781	-0.569	1.0	0.871	-0.004	2015-09-01	07:10:00	US/Eastern
EWT	2015-09-01 11:25:00	0.15	0.055	0.494	0.193	0.107	0.04	0.269	0.249	1	2.011	1.78	-0.568	1.0	0.871	-0.004	2015-09-01	07:25:00	US/Eastern
EWT	2015-09-01 11:40:00	0.15	0.055	0.494	0.193	0.106	0.04	0.269	0.245	1	2.009	1.78	-0.567	1.0	0.871	-0.004	2015-09-01	07:40:00	US/Eastern
EWT	2015-09-01 11:55:00	0.15	0.055	0.494	0.192	0.105	0.04	0.269	0.241	1	2.008	1.779	-0.566	1.0	0.871	-0.004	2015-09-01	07:55:00	US/Eastern
EWT	2015-09-01 12:10:00	0.15	0.055	0.493	0.192	0.104	0.04	0.269	0.237	1	2.006	1.779	-0.566	1.0	0.871	-0.004	2015-09-01	08:10:00	US/Eastern
EWT	2015-09-01 12:25:00	0.15	0.056	0.493	0.191	0.103	0.04	0.269	0.233	1	2.005	1.778	-0.565	1.0	0.871	-0.004	2015-09-01	08:25:00	US/Eastern
EWT	2015-09-01 12:40:00	0.15	0.056	0.493	0.191	0.101	0.04	0.269	0.228	1	2.003	1.778	-0.564	1.0	0.871	-0.004	2015-09-01	08:40:00	US/Eastern
EWT	2015-09-01 12:55:00	0.15	0.056	0.493	0.191	0.1	0.04	0.268	0.224	1	2.002	1.778	-0.563	1.0	0.871	-0.004	2015-09-01	08:55:00	US/Eastern
EWT	2015-09-01 13:10:00	0.15	0.056	0.493	0.19	0.099	0.04	0.268	0.22	1	2.0	1.777	-0.563	1.0	0.485	-0.004	2015-09-01	09:10:00	US/Eastern
EWT	2015-09-01 13:25:00	0.15	0.057	0.492	0.189	0.098	0.04	0.268	0.216	1	1.998	1.776	-0.562	1.0	0.485	-0.004	2015-09-01	09:25:00	US/Eastern
EWT	2015-09-01 13:40:00	0.15	0.057	0.492	0.188	0.097	0.041	0.268	0.211	1	1.996	1.775	-0.561	1.0	0.485	-0.004	2015-09-01	09:40:00	US/Eastern
EWT	2015-09-01 13:55:00	0.15	0.058	0.491	0.187	0.096	0.041	0.268	0.207	1	1.994	1.773	-0.56	1.0	0.485	-0.004	2015-09-01	09:55:00	US/Eastern
EWT	2015-09-01 14:10:00	0.15	0.058	0.491	0.187	0.095	0.041	0.267	0.203	1	1.992	1.772	-0.56	1.0	0.485	-0.004	2015-09-01	10:10:00	US/Eastern
EWT	2015-09-01 14:25:00	0.15	0.059	0.491	0.186	0.094	0.041	0.267	0.198	1	1.99	1.771	-0.559	1.0	0.485	-0.004	2015-09-01	10:25:00	US/Eastern
EWT	2015-09-01 14:40:00	0.15	0.059	0.49	0.185	0.093	0.042	0.267	0.194	1	1.988	1.77	-0.558	1.0	0.485	-0.004	2015-09-01	10:40:00	US/Eastern
EWT	2015-09-01 14:55:00	0.15	0.06	0.49	0.184	0.092	0.042	0.267	0.19	1	1.985	1.768	-0.557	1.0	0.485	-0.004	2015-09-01	10:55:00	US/Eastern
