Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - FAS.txt

Data for: 2015-09-01 00:10:00 UTC - 2015-12-31 23:55:00 UTC
Generated: 2016-02-06 22:26:11 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
FAS	2015-09-01 00:10:00	-0.442	0.016	0.473	-0.968	-0.245	0.013	0.264	-0.978	5	3.519	2.849	0.52	0.8	1.976	0.01	2015-08-31	20:10:00	US/Eastern
FAS	2015-09-01 00:25:00	-0.442	0.016	0.473	-0.967	-0.243	0.013	0.264	-0.968	5	3.52	2.849	0.519	0.8	1.976	0.01	2015-08-31	20:25:00	US/Eastern
FAS	2015-09-01 00:40:00	-0.442	0.016	0.474	-0.967	-0.24	0.013	0.264	-0.958	5	3.522	2.848	0.519	0.8	1.976	0.01	2015-08-31	20:40:00	US/Eastern
FAS	2015-09-01 00:55:00	-0.442	0.016	0.474	-0.966	-0.238	0.013	0.264	-0.948	5	3.523	2.847	0.519	0.8	1.976	0.01	2015-08-31	20:55:00	US/Eastern
FAS	2015-09-01 01:10:00	-0.442	0.016	0.474	-0.966	-0.235	0.013	0.264	-0.938	5	3.525	2.847	0.518	0.8	1.976	0.01	2015-08-31	21:10:00	US/Eastern
FAS	2015-09-01 01:25:00	-0.442	0.016	0.474	-0.965	-0.233	0.013	0.264	-0.929	5	3.527	2.846	0.518	0.8	1.976	0.01	2015-08-31	21:25:00	US/Eastern
FAS	2015-09-01 01:40:00	-0.442	0.016	0.474	-0.965	-0.23	0.013	0.264	-0.919	5	3.528	2.846	0.517	0.8	1.976	0.01	2015-08-31	21:40:00	US/Eastern
FAS	2015-09-01 01:55:00	-0.442	0.016	0.474	-0.965	-0.228	0.013	0.265	-0.909	5	3.53	2.845	0.517	0.8	1.976	0.01	2015-08-31	21:55:00	US/Eastern
FAS	2015-09-01 02:10:00	-0.442	0.016	0.474	-0.964	-0.225	0.013	0.265	-0.9	5	3.531	2.844	0.516	0.8	1.976	0.009	2015-08-31	22:10:00	US/Eastern
FAS	2015-09-01 02:25:00	-0.406	0.017	0.472	-0.896	-0.188	0.014	0.263	-0.768	6	3.583	2.88	0.839	0.833	2.143	0.132	2015-08-31	22:25:00	US/Eastern
FAS	2015-09-01 02:40:00	-0.406	0.017	0.473	-0.895	-0.186	0.014	0.263	-0.759	6	3.584	2.879	0.839	0.833	2.143	0.008	2015-08-31	22:40:00	US/Eastern
FAS	2015-09-01 02:55:00	-0.406	0.017	0.473	-0.895	-0.184	0.014	0.263	-0.751	6	3.586	2.878	0.839	0.833	2.143	0.008	2015-08-31	22:55:00	US/Eastern
FAS	2015-09-01 03:10:00	-0.406	0.017	0.473	-0.894	-0.182	0.014	0.264	-0.744	6	3.588	2.878	0.838	0.833	2.143	0.008	2015-08-31	23:10:00	US/Eastern
FAS	2015-09-01 03:25:00	-0.406	0.017	0.473	-0.894	-0.18	0.014	0.264	-0.736	6	3.589	2.877	0.838	0.833	2.143	0.008	2015-08-31	23:25:00	US/Eastern
FAS	2015-09-01 03:40:00	-0.406	0.017	0.473	-0.894	-0.178	0.014	0.264	-0.728	6	3.591	2.876	0.838	0.833	2.143	0.008	2015-08-31	23:40:00	US/Eastern
FAS	2015-09-01 03:55:00	-0.406	0.017	0.473	-0.893	-0.176	0.014	0.264	-0.72	6	3.592	2.876	0.837	0.833	2.143	0.008	2015-08-31	23:55:00	US/Eastern
FAS	2015-09-01 04:10:00	-0.406	0.016	0.473	-0.893	-0.174	0.014	0.264	-0.713	6	3.594	2.875	0.837	0.833	2.143	0.008	2015-09-01	00:10:00	US/Eastern
FAS	2015-09-01 04:25:00	-0.406	0.016	0.473	-0.892	-0.173	0.014	0.264	-0.705	6	3.595	2.875	0.837	0.833	2.143	0.008	2015-09-01	00:25:00	US/Eastern
FAS	2015-09-01 04:40:00	-0.406	0.016	0.473	-0.892	-0.171	0.014	0.264	-0.698	6	3.597	2.874	0.836	0.833	2.143	0.007	2015-09-01	00:40:00	US/Eastern
FAS	2015-09-01 04:55:00	-0.406	0.016	0.473	-0.892	-0.169	0.014	0.265	-0.69	6	3.598	2.873	0.836	0.833	2.143	0.007	2015-09-01	00:55:00	US/Eastern
FAS	2015-09-01 05:10:00	-0.406	0.016	0.474	-0.891	-0.167	0.014	0.265	-0.683	6	3.6	2.873	0.835	0.833	2.143	0.007	2015-09-01	01:10:00	US/Eastern
FAS	2015-09-01 05:25:00	-0.406	0.016	0.474	-0.891	-0.166	0.013	0.265	-0.676	6	3.602	2.872	0.835	0.833	2.143	0.007	2015-09-01	01:25:00	US/Eastern
FAS	2015-09-01 05:40:00	-0.406	0.016	0.474	-0.89	-0.164	0.013	0.265	-0.669	6	3.603	2.871	0.835	0.833	2.143	0.007	2015-09-01	01:40:00	US/Eastern
FAS	2015-09-01 05:55:00	-0.406	0.016	0.474	-0.89	-0.162	0.013	0.265	-0.662	6	3.605	2.871	0.834	0.833	2.143	0.007	2015-09-01	01:55:00	US/Eastern
FAS	2015-09-01 06:10:00	-0.406	0.016	0.474	-0.89	-0.16	0.013	0.265	-0.655	6	3.606	2.87	0.834	0.833	2.143	0.007	2015-09-01	02:10:00	US/Eastern
FAS	2015-09-01 06:25:00	-0.406	0.016	0.474	-0.889	-0.159	0.013	0.265	-0.648	7	3.658	2.922	1.144	0.857	2.296	0.007	2015-09-01	02:25:00	US/Eastern
FAS	2015-09-01 06:40:00	-0.406	0.015	0.474	-0.889	-0.157	0.013	0.266	-0.641	7	3.659	2.921	1.144	0.857	2.296	0.007	2015-09-01	02:40:00	US/Eastern
