Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - LQD.txt

Data for: 2015-09-01 00:10:00 UTC - 2015-12-31 23:55:00 UTC
Generated: 2016-02-06 22:26:11 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
LQD	2015-09-01 00:10:00	0.428	-0.253	0.514	1.324	0.163	-0.135	0.286	1.043	9	3.573	2.616	2.075	1.0	2.772	-0.006	2015-08-31	20:10:00	US/Eastern
LQD	2015-09-01 00:25:00	0.428	-0.253	0.514	1.324	0.161	-0.135	0.286	1.037	9	3.573	2.615	2.075	1.0	2.772	-0.006	2015-08-31	20:25:00	US/Eastern
LQD	2015-09-01 00:40:00	0.428	-0.252	0.514	1.324	0.16	-0.135	0.286	1.03	9	3.574	2.615	2.075	1.0	2.772	-0.006	2015-08-31	20:40:00	US/Eastern
LQD	2015-09-01 00:55:00	0.428	-0.252	0.514	1.324	0.158	-0.135	0.286	1.024	9	3.574	2.615	2.075	1.0	2.772	-0.006	2015-08-31	20:55:00	US/Eastern
LQD	2015-09-01 01:10:00	0.428	-0.252	0.514	1.324	0.156	-0.135	0.286	1.019	9	3.575	2.615	2.075	1.0	2.772	-0.006	2015-08-31	21:10:00	US/Eastern
LQD	2015-09-01 01:25:00	0.428	-0.252	0.514	1.324	0.155	-0.135	0.286	1.013	9	3.576	2.614	2.075	1.0	2.772	-0.006	2015-08-31	21:25:00	US/Eastern
LQD	2015-09-01 01:40:00	0.428	-0.252	0.514	1.323	0.153	-0.134	0.286	1.007	9	3.576	2.614	2.075	1.0	2.772	-0.006	2015-08-31	21:40:00	US/Eastern
LQD	2015-09-01 01:55:00	0.678	-0.239	0.534	1.719	0.243	-0.13	0.291	1.281	8	3.527	2.512	1.781	1.0	2.615	0.275	2015-08-31	21:55:00	US/Eastern
LQD	2015-09-01 02:10:00	0.678	-0.239	0.533	1.719	0.241	-0.129	0.291	1.273	8	3.527	2.512	1.781	1.0	2.615	-0.008	2015-08-31	22:10:00	US/Eastern
LQD	2015-09-01 02:25:00	0.678	-0.238	0.533	1.719	0.238	-0.129	0.291	1.265	8	3.528	2.512	1.781	1.0	2.615	-0.008	2015-08-31	22:25:00	US/Eastern
LQD	2015-09-01 02:40:00	0.678	-0.238	0.533	1.719	0.236	-0.129	0.29	1.257	8	3.528	2.512	1.78	1.0	2.615	-0.008	2015-08-31	22:40:00	US/Eastern
LQD	2015-09-01 02:55:00	0.678	-0.238	0.533	1.719	0.233	-0.129	0.29	1.249	8	3.529	2.511	1.78	1.0	2.615	-0.008	2015-08-31	22:55:00	US/Eastern
LQD	2015-09-01 03:10:00	0.678	-0.238	0.533	1.719	0.231	-0.129	0.29	1.241	8	3.529	2.511	1.78	1.0	2.615	-0.008	2015-08-31	23:10:00	US/Eastern
LQD	2015-09-01 03:25:00	0.678	-0.238	0.533	1.718	0.228	-0.129	0.29	1.233	8	3.53	2.511	1.78	1.0	2.615	-0.008	2015-08-31	23:25:00	US/Eastern
LQD	2015-09-01 03:40:00	0.678	-0.237	0.533	1.718	0.226	-0.129	0.29	1.225	8	3.53	2.511	1.78	1.0	2.615	-0.008	2015-08-31	23:40:00	US/Eastern
LQD	2015-09-01 03:55:00	0.678	-0.237	0.533	1.718	0.224	-0.129	0.29	1.217	8	3.531	2.511	1.78	1.0	2.615	-0.008	2015-08-31	23:55:00	US/Eastern
LQD	2015-09-01 04:10:00	0.678	-0.237	0.533	1.718	0.221	-0.129	0.289	1.209	8	3.531	2.51	1.78	1.0	2.615	-0.008	2015-09-01	00:10:00	US/Eastern
LQD	2015-09-01 04:25:00	0.678	-0.237	0.532	1.718	0.219	-0.128	0.289	1.202	8	3.532	2.51	1.78	1.0	2.615	-0.008	2015-09-01	00:25:00	US/Eastern
LQD	2015-09-01 04:40:00	0.678	-0.237	0.532	1.718	0.217	-0.128	0.289	1.194	8	3.532	2.51	1.78	1.0	2.615	-0.008	2015-09-01	00:40:00	US/Eastern
LQD	2015-09-01 04:55:00	0.678	-0.236	0.532	1.718	0.215	-0.128	0.289	1.187	8	3.533	2.51	1.78	1.0	2.615	-0.008	2015-09-01	00:55:00	US/Eastern
LQD	2015-09-01 05:10:00	0.678	-0.236	0.532	1.718	0.212	-0.128	0.289	1.179	8	3.533	2.509	1.78	1.0	2.615	-0.008	2015-09-01	01:10:00	US/Eastern
LQD	2015-09-01 05:25:00	0.678	-0.236	0.532	1.718	0.21	-0.128	0.289	1.172	8	3.534	2.509	1.78	1.0	2.615	-0.007	2015-09-01	01:25:00	US/Eastern
LQD	2015-09-01 05:40:00	0.678	-0.236	0.532	1.718	0.208	-0.128	0.288	1.164	8	3.534	2.509	1.78	1.0	2.615	-0.007	2015-09-01	01:40:00	US/Eastern
LQD	2015-09-01 05:55:00	0.678	-0.235	0.532	1.718	0.206	-0.128	0.288	1.157	8	3.535	2.509	1.78	1.0	2.615	-0.007	2015-09-01	01:55:00	US/Eastern
LQD	2015-09-01 06:10:00	0.678	-0.235	0.532	1.718	0.204	-0.127	0.288	1.15	8	3.535	2.508	1.78	1.0	2.615	-0.007	2015-09-01	02:10:00	US/Eastern
LQD	2015-09-01 06:25:00	0.678	-0.235	0.531	1.718	0.202	-0.127	0.288	1.142	8	3.536	2.508	1.78	1.0	2.615	-0.007	2015-09-01	02:25:00	US/Eastern
LQD	2015-09-01 06:40:00	0.678	-0.235	0.531	1.718	0.2	-0.127	0.288	1.135	8	3.536	2.508	1.78	1.0	2.615	-0.007	2015-09-01	02:40:00	US/Eastern
LQD	2015-09-01 06:55:00	0.678	-0.235	0.531	1.718	0.197	-0.127	0.288	1.128	8	3.537	2.508	1.78	1.0	2.615	-0.007	2015-09-01	02:55:00	US/Eastern
LQD	2015-09-01 07:10:00	0.678	-0.234	0.531	1.718	0.195	-0.127	0.288	1.121	8	3.538	2.508	1.78	1.0	2.615	-0.007	2015-09-01	03:10:00	US/Eastern
LQD	2015-09-01 07:25:00	0.678	-0.234	0.531	1.718	0.193	-0.127	0.287	1.114	8	3.538	2.507	1.78	1.0	2.615	-0.007	2015-09-01	03:25:00	US/Eastern
LQD	2015-09-01 07:40:00	0.678	-0.234	0.531	1.718	0.191	-0.127	0.287	1.107	8	3.539	2.507	1.78	1.0	2.615	-0.007	2015-09-01	03:40:00	US/Eastern
LQD	2015-09-01 07:55:00	0.678	-0.234	0.531	1.718	0.189	-0.127	0.287	1.1	8	3.539	2.507	1.779	1.0	2.615	-0.007	2015-09-01	03:55:00	US/Eastern
LQD	2015-09-01 08:10:00	0.069	-0.264	0.492	0.677	-0.417	-0.157	0.284	-0.915	9	3.59	2.608	2.074	1.0	2.772	-2.015	2015-09-01	04:10:00	US/Eastern
LQD	2015-09-01 08:25:00	0.069	-0.264	0.492	0.677	-0.412	-0.156	0.284	-0.902	9	3.59	2.608	2.074	1.0	2.772	0.013	2015-09-01	04:25:00	US/Eastern
LQD	2015-09-01 08:40:00	0.069	-0.264	0.491	0.676	-0.408	-0.156	0.284	-0.889	9	3.591	2.608	2.074	1.0	2.772	0.013	2015-09-01	04:40:00	US/Eastern
LQD	2015-09-01 08:55:00	0.069	-0.263	0.491	0.676	-0.404	-0.155	0.283	-0.877	9	3.591	2.608	2.074	1.0	2.772	0.013	2015-09-01	04:55:00	US/Eastern
LQD	2015-09-01 09:10:00	0.069	-0.263	0.491	0.676	-0.4	-0.155	0.283	-0.864	9	3.592	2.607	2.074	1.0	2.772	0.013	2015-09-01	05:10:00	US/Eastern
LQD	2015-09-01 09:25:00	0.069	-0.263	0.491	0.675	-0.395	-0.154	0.283	-0.851	9	3.592	2.607	2.074	1.0	2.772	0.012	2015-09-01	05:25:00	US/Eastern
LQD	2015-09-01 09:40:00	0.069	-0.263	0.491	0.675	-0.391	-0.154	0.283	-0.839	9	3.593	2.607	2.074	1.0	2.772	0.012	2015-09-01	05:40:00	US/Eastern
LQD	2015-09-01 09:55:00	0.069	-0.262	0.491	0.675	-0.387	-0.153	0.283	-0.827	9	3.593	2.607	2.074	1.0	2.772	0.012	2015-09-01	05:55:00	US/Eastern
LQD	2015-09-01 10:10:00	0.069	-0.262	0.491	0.675	-0.383	-0.153	0.283	-0.815	9	3.594	2.606	2.074	1.0	2.772	0.012	2015-09-01	06:10:00	US/Eastern
LQD	2015-09-01 10:25:00	0.069	-0.262	0.491	0.674	-0.379	-0.153	0.282	-0.803	9	3.594	2.606	2.074	1.0	2.772	0.012	2015-09-01	06:25:00	US/Eastern
LQD	2015-09-01 10:40:00	0.069	-0.262	0.491	0.674	-0.375	-0.152	0.282	-0.791	9	3.595	2.606	2.074	1.0	2.772	0.012	2015-09-01	06:40:00	US/Eastern
LQD	2015-09-01 10:55:00	0.069	-0.262	0.49	0.674	-0.371	-0.152	0.282	-0.779	9	3.595	2.606	2.074	1.0	2.772	0.012	2015-09-01	06:55:00	US/Eastern
LQD	2015-09-01 11:10:00	0.069	-0.261	0.49	0.673	-0.368	-0.151	0.282	-0.767	9	3.596	2.605	2.074	1.0	2.772	0.012	2015-09-01	07:10:00	US/Eastern
LQD	2015-09-01 11:25:00	0.069	-0.261	0.49	0.673	-0.364	-0.151	0.282	-0.756	9	3.596	2.605	2.074	1.0	2.772	0.012	2015-09-01	07:25:00	US/Eastern
LQD	2015-09-01 11:40:00	0.069	-0.261	0.49	0.673	-0.36	-0.15	0.282	-0.744	9	3.597	2.605	2.074	1.0	2.772	0.011	2015-09-01	07:40:00	US/Eastern
LQD	2015-09-01 11:55:00	0.069	-0.261	0.49	0.673	-0.356	-0.15	0.282	-0.733	9	3.597	2.605	2.074	1.0	2.772	0.011	2015-09-01	07:55:00	US/Eastern
LQD	2015-09-01 12:10:00	0.069	-0.261	0.49	0.672	-0.353	-0.15	0.281	-0.721	9	3.598	2.605	2.074	1.0	2.772	0.011	2015-09-01	08:10:00	US/Eastern
LQD	2015-09-01 12:25:00	0.069	-0.26	0.49	0.672	-0.349	-0.149	0.281	-0.71	9	3.598	2.604	2.074	1.0	2.772	0.011	2015-09-01	08:25:00	US/Eastern
LQD	2015-09-01 12:40:00	-0.487	-0.288	0.486	-0.411	-0.549	-0.159	0.292	-1.335	8	3.549	2.503	1.779	1.0	2.615	-0.624	2015-09-01	08:40:00	US/Eastern
LQD	2015-09-01 12:55:00	-0.487	-0.288	0.486	-0.411	-0.543	-0.158	0.292	-1.319	8	3.549	2.502	1.779	1.0	2.615	0.016	2015-09-01	08:55:00	US/Eastern
LQD	2015-09-01 13:10:00	-0.487	-0.288	0.486	-0.412	-0.537	-0.158	0.291	-1.303	8	3.55	2.502	1.779	1.0	2.139	0.016	2015-09-01	09:10:00	US/Eastern
LQD	2015-09-01 13:25:00	-0.787	-0.303	0.497	-0.977	-0.642	-0.163	0.299	-1.599	7	3.502	2.419	1.446	1.0	1.947	-0.296	2015-09-01	09:25:00	US/Eastern
LQD	2015-09-01 13:40:00	-0.787	-0.303	0.497	-0.976	-0.635	-0.163	0.299	-1.579	7	3.503	2.421	1.444	1.0	1.947	0.02	2015-09-01	09:40:00	US/Eastern
LQD	2015-09-01 13:55:00	-0.787	-0.303	0.497	-0.976	-0.629	-0.163	0.299	-1.56	7	3.505	2.423	1.442	1.0	1.947	0.019	2015-09-01	09:55:00	US/Eastern
LQD	2015-09-01 14:10:00	-0.787	-0.303	0.497	-0.976	-0.622	-0.163	0.298	-1.54	7	3.506	2.425	1.441	1.0	1.947	0.019	2015-09-01	10:10:00	US/Eastern
LQD	2015-09-01 14:25:00	-0.787	-0.303	0.497	-0.976	-0.616	-0.163	0.298	-1.521	8	3.558	2.512	1.769	0.875	2.139	0.019	2015-09-01	10:25:00	US/Eastern
LQD	2015-09-01 14:40:00	-0.787	-0.303	0.497	-0.976	-0.609	-0.163	0.297	-1.502	8	3.559	2.514	1.767	0.875	2.139	0.019	2015-09-01	10:40:00	US/Eastern
LQD	2015-09-01 14:55:00	-0.787	-0.303	0.497	-0.976	-0.603	-0.163	0.297	-1.483	8	3.561	2.516	1.765	0.875	2.139	0.019	2015-09-01	10:55:00	US/Eastern
LQD	2015-09-01 15:10:00	-0.787	-0.303	0.497	-0.975	-0.597	-0.163	0.297	-1.464	7	3.512	2.433	1.433	1.0	1.947	0.019	2015-09-01	11:10:00	US/Eastern
LQD	2015-09-01 15:25:00	-0.787	-0.303	0.497	-0.975	-0.591	-0.162	0.296	-1.445	7	3.514	2.435	1.431	1.0	1.947	0.019	2015-09-01	11:25:00	US/Eastern
LQD	2015-09-01 15:40:00	-0.787	-0.303	0.497	-0.975	-0.585	-0.162	0.296	-1.426	7	3.516	2.437	1.43	1.0	1.947	0.019	2015-09-01	11:40:00	US/Eastern
LQD	2015-09-01 15:55:00	-0.787	-0.303	0.497	-0.975	-0.579	-0.162	0.296	-1.408	7	3.517	2.439	1.428	1.0	1.947	0.019	2015-09-01	11:55:00	US/Eastern
LQD	2015-09-01 16:10:00	-1.437	-0.336	0.549	-2.008	-0.811	-0.174	0.317	-2.011	6	3.469	2.376	1.065	1.0	1.727	-0.603	2015-09-01	12:10:00	US/Eastern
LQD	2015-09-01 16:25:00	-1.198	-0.324	0.525	-1.663	-0.715	-0.169	0.307	-1.774	5	3.42	2.332	0.677	1.0	1.445	0.236	2015-09-01	12:25:00	US/Eastern
LQD	2015-09-01 16:40:00	-1.198	-0.324	0.525	-1.663	-0.708	-0.169	0.307	-1.754	5	3.422	2.334	0.676	1.0	1.445	0.02	2015-09-01	12:40:00	US/Eastern
LQD	2015-09-01 16:55:00	-0.948	-0.312	0.506	-1.257	-0.45	-0.157	0.288	-1.02	7	3.523	2.447	1.421	1.0	1.944	0.734	2015-09-01	12:55:00	US/Eastern
LQD	2015-09-01 17:10:00	-0.948	-0.312	0.506	-1.257	-0.446	-0.157	0.288	-1.004	7	3.525	2.449	1.419	1.0	1.944	0.016	2015-09-01	13:10:00	US/Eastern
LQD	2015-09-01 17:25:00	-0.948	-0.312	0.506	-1.257	-0.441	-0.157	0.288	-0.989	7	3.527	2.451	1.417	1.0	1.944	0.016	2015-09-01	13:25:00	US/Eastern
LQD	2015-09-01 18:10:00	-0.948	-0.312	0.506	-1.256	-0.428	-0.157	0.288	-0.942	7	3.531	2.457	1.412	1.0	1.946	0.0	2015-09-01	14:10:00	US/Eastern
LQD	2015-09-01 18:25:00	-0.948	-0.312	0.506	-1.256	-0.423	-0.157	0.287	-0.927	7	3.533	2.459	1.41	1.0	1.946	0.015	2015-09-01	14:25:00	US/Eastern
LQD	2015-09-01 18:40:00	-0.948	-0.312	0.506	-1.256	-0.419	-0.157	0.287	-0.912	7	3.534	2.461	1.408	1.0	1.946	0.015	2015-09-01	14:40:00	US/Eastern
LQD	2015-09-01 18:55:00	-0.948	-0.312	0.506	-1.256	-0.414	-0.157	0.287	-0.897	7	3.536	2.463	1.406	1.0	1.946	0.015	2015-09-01	14:55:00	US/Eastern
LQD	2015-09-01 19:10:00	-0.948	-0.312	0.506	-1.256	-0.41	-0.157	0.287	-0.883	7	3.537	2.465	1.405	1.0	1.946	0.015	2015-09-01	15:10:00	US/Eastern
LQD	2015-09-01 19:25:00	-0.948	-0.312	0.506	-1.255	-0.406	-0.157	0.287	-0.868	7	3.539	2.467	1.403	1.0	1.946	0.015	2015-09-01	15:25:00	US/Eastern
LQD	2015-09-01 19:40:00	-0.948	-0.312	0.506	-1.255	-0.402	-0.157	0.287	-0.854	7	3.541	2.469	1.401	1.0	1.946	0.015	2015-09-01	15:40:00	US/Eastern
LQD	2015-09-01 19:55:00	-0.948	-0.312	0.506	-1.255	-0.398	-0.157	0.287	-0.839	7	3.542	2.471	1.399	1.0	1.946	0.014	2015-09-01	15:55:00	US/Eastern
LQD	2015-09-01 20:10:00	-1.281	-0.329	0.533	-1.786	-0.724	-0.173	0.31	-1.776	8	3.594	2.555	1.724	1.0	2.138	-0.937	2015-09-01	16:10:00	US/Eastern
LQD	2015-09-01 20:25:00	-1.281	-0.329	0.533	-1.786	-0.716	-0.173	0.309	-1.756	8	3.595	2.557	1.722	1.0	2.138	0.02	2015-09-01	16:25:00	US/Eastern
LQD	2015-09-01 20:40:00	-1.281	-0.329	0.533	-1.785	-0.709	-0.173	0.309	-1.736	8	3.597	2.559	1.721	1.0	2.138	0.02	2015-09-01	16:40:00	US/Eastern
LQD	2015-09-01 20:55:00	-1.281	-0.329	0.533	-1.785	-0.702	-0.173	0.308	-1.716	8	3.598	2.561	1.719	1.0	2.138	0.02	2015-09-01	16:55:00	US/Eastern
LQD	2015-09-01 21:10:00	-1.281	-0.329	0.533	-1.785	-0.694	-0.173	0.308	-1.695	8	3.6	2.563	1.717	1.0	2.138	0.02	2015-09-01	17:10:00	US/Eastern
LQD	2015-09-01 21:25:00	-1.281	-0.329	0.533	-1.785	-0.687	-0.172	0.307	-1.675	8	3.602	2.565	1.715	1.0	2.138	0.02	2015-09-01	17:25:00	US/Eastern
LQD	2015-09-01 21:40:00	-1.281	-0.329	0.533	-1.785	-0.68	-0.172	0.307	-1.655	8	3.603	2.567	1.713	1.0	2.138	0.02	2015-09-01	17:40:00	US/Eastern
LQD	2015-09-01 21:55:00	-1.281	-0.33	0.533	-1.785	-0.673	-0.172	0.306	-1.635	8	3.605	2.568	1.711	1.0	2.138	0.02	2015-09-01	17:55:00	US/Eastern
LQD	2015-09-01 22:10:00	-1.281	-0.33	0.533	-1.785	-0.666	-0.172	0.306	-1.616	8	3.606	2.57	1.709	1.0	2.138	0.02	2015-09-01	18:10:00	US/Eastern
LQD	2015-09-01 22:25:00	-1.281	-0.33	0.533	-1.784	-0.659	-0.172	0.305	-1.596	8	3.608	2.572	1.708	1.0	2.138	0.02	2015-09-01	18:25:00	US/Eastern
LQD	2015-09-01 22:40:00	-1.281	-0.33	0.533	-1.784	-0.652	-0.172	0.305	-1.576	8	3.609	2.574	1.706	1.0	2.138	0.02	2015-09-01	18:40:00	US/Eastern
LQD	2015-09-01 22:55:00	-1.281	-0.33	0.533	-1.784	-0.645	-0.172	0.304	-1.557	8	3.611	2.576	1.704	1.0	2.138	0.02	2015-09-01	18:55:00	US/Eastern
LQD	2015-09-01 23:10:00	-0.693	-0.3	0.493	-0.796	-0.422	-0.161	0.29	-0.903	6	3.512	2.433	1.022	1.0	1.726	0.654	2015-09-01	19:10:00	US/Eastern
LQD	2015-09-01 23:25:00	-0.693	-0.3	0.493	-0.796	-0.418	-0.161	0.29	-0.888	6	3.514	2.435	1.021	1.0	1.726	0.015	2015-09-01	19:25:00	US/Eastern
LQD	2015-09-01 23:40:00	-0.693	-0.301	0.493	-0.796	-0.414	-0.161	0.29	-0.873	6	3.516	2.437	1.019	1.0	1.726	0.015	2015-09-01	19:40:00	US/Eastern
LQD	2015-09-01 23:55:00	-0.693	-0.301	0.493	-0.796	-0.409	-0.161	0.29	-0.858	6	3.517	2.439	1.018	1.0	1.726	0.015	2015-09-01	19:55:00	US/Eastern
