Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SCZ.txt

Data for: 2015-09-01 00:10:00 UTC - 2015-12-30 22:55:00 UTC
Generated: 2016-02-06 22:26:11 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SCZ	2015-09-01 00:10:00	0.4	-0.09	0.254	1.933	0.369	-0.033	0.146	2.758	1	0.35	0.587	1.107	1.0	2.281	-0.014	2015-08-31	20:10:00	US/Eastern
SCZ	2015-09-01 00:25:00	0.4	-0.09	0.254	1.933	0.365	-0.033	0.145	2.743	1	0.35	0.587	1.107	1.0	2.281	-0.015	2015-08-31	20:25:00	US/Eastern
SCZ	2015-09-01 00:40:00	0.4	-0.09	0.254	1.933	0.361	-0.033	0.145	2.729	1	0.35	0.587	1.107	1.0	2.281	-0.015	2015-08-31	20:40:00	US/Eastern
SCZ	2015-09-01 00:55:00	0.4	-0.09	0.254	1.933	0.358	-0.034	0.144	2.714	1	0.35	0.587	1.107	1.0	2.281	-0.015	2015-08-31	20:55:00	US/Eastern
SCZ	2015-09-01 01:10:00	0.4	-0.09	0.254	1.933	0.354	-0.034	0.144	2.699	1	0.35	0.587	1.107	1.0	2.281	-0.015	2015-08-31	21:10:00	US/Eastern
SCZ	2015-09-01 01:25:00	0.4	-0.09	0.254	1.933	0.35	-0.034	0.143	2.685	1	0.35	0.587	1.107	1.0	2.281	-0.015	2015-08-31	21:25:00	US/Eastern
SCZ	2015-09-01 01:40:00	0.4	-0.09	0.254	1.933	0.347	-0.034	0.143	2.67	1	0.35	0.587	1.107	1.0	2.281	-0.015	2015-08-31	21:40:00	US/Eastern
SCZ	2015-09-01 01:55:00	0.4	-0.09	0.254	1.933	0.343	-0.034	0.142	2.656	1	0.35	0.587	1.107	1.0	2.281	-0.015	2015-08-31	21:55:00	US/Eastern
SCZ	2015-09-01 02:10:00	0.4	-0.09	0.254	1.933	0.339	-0.034	0.142	2.641	1	0.35	0.587	1.107	1.0	2.281	-0.015	2015-08-31	22:10:00	US/Eastern
SCZ	2015-09-01 02:25:00	0.4	-0.09	0.254	1.933	0.336	-0.035	0.141	2.627	1	0.35	0.587	1.107	1.0	2.281	-0.015	2015-08-31	22:25:00	US/Eastern
SCZ	2015-09-01 02:40:00	0.4	-0.09	0.254	1.933	0.332	-0.035	0.141	2.612	1	0.35	0.587	1.107	1.0	2.281	-0.015	2015-08-31	22:40:00	US/Eastern
SCZ	2015-09-01 02:55:00	0.4	-0.09	0.254	1.933	0.329	-0.035	0.14	2.598	1	0.35	0.587	1.107	1.0	2.281	-0.015	2015-08-31	22:55:00	US/Eastern
