Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SPXU.txt

Data for: 2015-09-01 00:10:00 UTC - 2015-12-31 23:55:00 UTC
Generated: 2016-02-06 22:26:11 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SPXU	2015-09-01 00:10:00	3.006	0.162	1.233	2.306	2.08	0.142	0.852	2.275	11	6.44	4.421	1.032	0.455	2.231	-0.018	2015-08-31	20:10:00	US/Eastern
SPXU	2015-09-01 00:25:00	2.256	0.125	1.151	1.852	1.785	0.127	0.818	2.026	10	6.386	4.373	0.826	0.4	2.129	-0.25	2015-08-31	20:25:00	US/Eastern
SPXU	2015-09-01 00:40:00	2.256	0.126	1.151	1.851	1.766	0.126	0.816	2.009	10	6.382	4.374	0.827	0.4	2.129	-0.017	2015-08-31	20:40:00	US/Eastern
SPXU	2015-09-01 00:55:00	2.256	0.126	1.151	1.851	1.748	0.126	0.815	1.992	10	6.379	4.374	0.828	0.4	2.129	-0.017	2015-08-31	20:55:00	US/Eastern
SPXU	2015-09-01 01:10:00	2.256	0.126	1.151	1.85	1.73	0.125	0.813	1.975	10	6.375	4.375	0.829	0.4	2.129	-0.017	2015-08-31	21:10:00	US/Eastern
SPXU	2015-09-01 01:25:00	2.256	0.127	1.151	1.85	1.712	0.124	0.811	1.958	10	6.371	4.376	0.829	0.4	2.129	-0.017	2015-08-31	21:25:00	US/Eastern
SPXU	2015-09-01 01:40:00	2.256	0.127	1.151	1.849	1.694	0.124	0.809	1.941	10	6.368	4.377	0.83	0.4	2.129	-0.017	2015-08-31	21:40:00	US/Eastern
SPXU	2015-09-01 01:55:00	2.256	0.128	1.151	1.848	1.677	0.123	0.807	1.925	10	6.364	4.377	0.831	0.4	2.129	-0.017	2015-08-31	21:55:00	US/Eastern
SPXU	2015-09-01 02:10:00	2.256	0.128	1.151	1.848	1.659	0.122	0.806	1.908	10	6.36	4.378	0.831	0.4	2.129	-0.017	2015-08-31	22:10:00	US/Eastern
SPXU	2015-09-01 02:25:00	2.944	0.163	1.226	2.268	2.325	0.156	0.883	2.458	11	6.407	4.428	1.037	0.364	2.231	0.55	2015-08-31	22:25:00	US/Eastern
SPXU	2015-09-01 02:40:00	2.944	0.164	1.226	2.267	2.301	0.155	0.879	2.44	11	6.403	4.429	1.038	0.364	2.231	-0.018	2015-08-31	22:40:00	US/Eastern
SPXU	2015-09-01 02:55:00	2.944	0.164	1.226	2.267	2.277	0.154	0.876	2.423	11	6.399	4.43	1.039	0.364	2.231	-0.018	2015-08-31	22:55:00	US/Eastern
SPXU	2015-09-01 03:10:00	2.944	0.165	1.226	2.266	2.254	0.153	0.873	2.405	11	6.396	4.43	1.039	0.364	2.231	-0.018	2015-08-31	23:10:00	US/Eastern
SPXU	2015-09-01 03:25:00	2.944	0.165	1.226	2.266	2.23	0.152	0.871	2.387	11	6.392	4.431	1.04	0.364	2.231	-0.018	2015-08-31	23:25:00	US/Eastern
SPXU	2015-09-01 03:40:00	2.944	0.166	1.226	2.265	2.207	0.151	0.868	2.37	11	6.389	4.432	1.04	0.364	2.231	-0.018	2015-08-31	23:40:00	US/Eastern
SPXU	2015-09-01 03:55:00	2.944	0.166	1.227	2.265	2.184	0.15	0.865	2.352	11	6.385	4.433	1.041	0.364	2.231	-0.018	2015-08-31	23:55:00	US/Eastern
SPXU	2015-09-01 04:10:00	2.944	0.167	1.227	2.264	2.162	0.149	0.862	2.335	11	6.381	4.434	1.042	0.364	2.231	-0.018	2015-09-01	00:10:00	US/Eastern
SPXU	2015-09-01 04:25:00	2.944	0.167	1.227	2.264	2.139	0.148	0.859	2.317	11	6.378	4.434	1.042	0.364	2.231	-0.018	2015-09-01	00:25:00	US/Eastern
SPXU	2015-09-01 04:40:00	2.944	0.168	1.227	2.263	2.117	0.147	0.857	2.299	11	6.374	4.435	1.043	0.364	2.231	-0.018	2015-09-01	00:40:00	US/Eastern
SPXU	2015-09-01 04:55:00	2.944	0.168	1.227	2.263	2.095	0.146	0.854	2.282	11	6.37	4.436	1.044	0.364	2.231	-0.018	2015-09-01	00:55:00	US/Eastern
SPXU	2015-09-01 05:10:00	2.944	0.169	1.227	2.262	2.073	0.145	0.852	2.264	11	6.367	4.437	1.044	0.364	2.231	-0.018	2015-09-01	01:10:00	US/Eastern
SPXU	2015-09-01 05:25:00	2.944	0.169	1.227	2.262	2.052	0.145	0.849	2.247	11	6.363	4.437	1.045	0.364	2.231	-0.018	2015-09-01	01:25:00	US/Eastern
SPXU	2015-09-01 05:40:00	2.944	0.17	1.227	2.261	2.031	0.144	0.847	2.229	11	6.359	4.438	1.046	0.364	2.231	-0.018	2015-09-01	01:40:00	US/Eastern
SPXU	2015-09-01 05:55:00	2.944	0.17	1.227	2.261	2.01	0.143	0.844	2.212	11	6.356	4.439	1.046	0.364	2.231	-0.017	2015-09-01	01:55:00	US/Eastern
SPXU	2015-09-01 06:10:00	2.944	0.17	1.227	2.26	1.989	0.142	0.842	2.194	11	6.352	4.44	1.047	0.364	2.231	-0.017	2015-09-01	02:10:00	US/Eastern
SPXU	2015-09-01 06:25:00	2.944	0.171	1.227	2.26	1.968	0.141	0.839	2.177	11	6.348	4.44	1.048	0.364	2.231	-0.017	2015-09-01	02:25:00	US/Eastern
SPXU	2015-09-01 06:40:00	2.944	0.171	1.227	2.259	1.948	0.14	0.837	2.159	11	6.345	4.441	1.048	0.364	2.231	-0.017	2015-09-01	02:40:00	US/Eastern
SPXU	2015-09-01 06:55:00	2.944	0.172	1.227	2.259	1.928	0.14	0.835	2.142	11	6.341	4.442	1.049	0.364	2.231	-0.017	2015-09-01	02:55:00	US/Eastern
SPXU	2015-09-01 07:10:00	2.944	0.172	1.227	2.258	1.908	0.139	0.833	2.125	11	6.338	4.442	1.05	0.364	2.231	-0.017	2015-09-01	03:10:00	US/Eastern
SPXU	2015-09-01 07:25:00	2.944	0.173	1.227	2.258	1.888	0.138	0.83	2.107	11	6.334	4.443	1.05	0.364	2.231	-0.017	2015-09-01	03:25:00	US/Eastern
SPXU	2015-09-01 07:40:00	2.944	0.173	1.227	2.257	1.868	0.137	0.828	2.09	11	6.33	4.444	1.051	0.364	2.231	-0.017	2015-09-01	03:40:00	US/Eastern
SPXU	2015-09-01 07:55:00	2.944	0.174	1.227	2.257	1.849	0.136	0.826	2.073	11	6.327	4.445	1.051	0.364	2.231	-0.017	2015-09-01	03:55:00	US/Eastern
SPXU	2015-09-01 08:10:00	2.944	0.174	1.227	2.256	1.83	0.136	0.824	2.056	11	6.323	4.445	1.052	0.364	2.231	-0.017	2015-09-01	04:10:00	US/Eastern
SPXU	2015-09-01 08:25:00	2.944	0.175	1.227	2.256	1.811	0.135	0.822	2.039	11	6.319	4.446	1.053	0.364	2.231	-0.017	2015-09-01	04:25:00	US/Eastern
SPXU	2015-09-01 08:40:00	2.944	0.175	1.227	2.255	1.792	0.134	0.82	2.022	11	6.316	4.447	1.053	0.364	2.231	-0.017	2015-09-01	04:40:00	US/Eastern
SPXU	2015-09-01 08:55:00	2.944	0.176	1.228	2.255	1.773	0.133	0.818	2.004	11	6.312	4.447	1.054	0.364	2.231	-0.017	2015-09-01	04:55:00	US/Eastern
SPXU	2015-09-01 09:10:00	2.944	0.176	1.228	2.254	1.755	0.133	0.816	1.988	11	6.308	4.448	1.055	0.364	2.231	-0.017	2015-09-01	05:10:00	US/Eastern
SPXU	2015-09-01 09:25:00	2.944	0.177	1.228	2.254	1.737	0.132	0.814	1.971	11	6.305	4.449	1.055	0.364	2.231	-0.017	2015-09-01	05:25:00	US/Eastern
SPXU	2015-09-01 09:40:00	2.944	0.177	1.228	2.254	1.719	0.131	0.813	1.954	11	6.301	4.45	1.056	0.364	2.231	-0.017	2015-09-01	05:40:00	US/Eastern
SPXU	2015-09-01 09:55:00	2.944	0.178	1.228	2.253	1.701	0.131	0.811	1.937	11	6.297	4.45	1.057	0.364	2.231	-0.017	2015-09-01	05:55:00	US/Eastern
SPXU	2015-09-01 10:10:00	2.944	0.178	1.228	2.253	1.683	0.13	0.809	1.92	10	6.244	4.401	0.854	0.3	2.129	-0.017	2015-09-01	06:10:00	US/Eastern
SPXU	2015-09-01 10:25:00	2.944	0.179	1.228	2.252	1.666	0.129	0.807	1.904	10	6.24	4.401	0.854	0.3	2.129	-0.017	2015-09-01	06:25:00	US/Eastern
SPXU	2015-09-01 10:40:00	2.944	0.179	1.228	2.252	1.649	0.129	0.806	1.887	10	6.236	4.402	0.855	0.3	2.129	-0.017	2015-09-01	06:40:00	US/Eastern
SPXU	2015-09-01 10:55:00	2.944	0.18	1.228	2.251	1.632	0.128	0.804	1.87	10	6.233	4.403	0.856	0.3	2.129	-0.017	2015-09-01	06:55:00	US/Eastern
SPXU	2015-09-01 11:10:00	2.944	0.18	1.228	2.251	1.615	0.127	0.802	1.854	11	6.279	4.454	1.06	0.364	2.231	-0.016	2015-09-01	07:10:00	US/Eastern
SPXU	2015-09-01 11:25:00	2.944	0.181	1.228	2.25	1.598	0.127	0.801	1.838	11	6.276	4.454	1.061	0.364	2.231	-0.016	2015-09-01	07:25:00	US/Eastern
SPXU	2015-09-01 11:40:00	2.944	0.181	1.228	2.25	1.581	0.126	0.799	1.821	11	6.272	4.455	1.061	0.364	2.231	-0.016	2015-09-01	07:40:00	US/Eastern
SPXU	2015-09-01 11:55:00	2.944	0.182	1.228	2.249	1.565	0.125	0.798	1.805	11	6.268	4.456	1.062	0.364	2.231	-0.016	2015-09-01	07:55:00	US/Eastern
