Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - UCO.txt

Data for: 2015-09-01 00:10:00 UTC - 2015-12-31 23:55:00 UTC
Generated: 2016-02-06 22:26:11 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
UCO	2015-09-01 00:10:00	4.316	1.301	2.161	1.396	2.75	0.913	1.394	1.318	110	47.367	29.046	2.156	0.291	2.79	-0.018	2015-08-31	20:10:00	US/Eastern
UCO	2015-09-01 00:25:00	3.862	1.28	2.129	1.213	2.556	0.904	1.381	1.196	109	47.3	28.926	2.133	0.294	2.776	-0.122	2015-08-31	20:25:00	US/Eastern
UCO	2015-09-01 00:40:00	3.662	1.271	2.116	1.129	2.456	0.9	1.375	1.132	106	47.133	28.587	2.059	0.302	2.735	-0.064	2015-08-31	20:40:00	US/Eastern
UCO	2015-09-01 00:55:00	3.863	1.283	2.128	1.212	2.631	0.909	1.386	1.243	107	47.167	28.689	2.086	0.308	2.749	0.111	2015-08-31	20:55:00	US/Eastern
UCO	2015-09-01 01:10:00	3.863	1.285	2.128	1.212	2.604	0.909	1.384	1.225	107	47.15	28.682	2.087	0.308	2.749	-0.018	2015-08-31	21:10:00	US/Eastern
UCO	2015-09-01 01:25:00	3.863	1.287	2.127	1.211	2.577	0.908	1.382	1.208	107	47.133	28.675	2.088	0.308	2.749	-0.017	2015-08-31	21:25:00	US/Eastern
UCO	2015-09-01 01:40:00	4.063	1.299	2.14	1.292	2.75	0.918	1.393	1.315	108	47.167	28.778	2.114	0.315	2.763	0.108	2015-08-31	21:40:00	US/Eastern
UCO	2015-09-01 01:55:00	4.063	1.3	2.14	1.291	2.722	0.917	1.391	1.297	108	47.15	28.771	2.115	0.315	2.763	-0.018	2015-08-31	21:55:00	US/Eastern
UCO	2015-09-01 02:10:00	4.063	1.302	2.139	1.291	2.694	0.916	1.389	1.279	108	47.133	28.764	2.116	0.315	2.763	-0.018	2015-08-31	22:10:00	US/Eastern
UCO	2015-09-01 02:25:00	4.063	1.304	2.139	1.29	2.666	0.916	1.387	1.262	108	47.117	28.756	2.117	0.315	2.763	-0.018	2015-08-31	22:25:00	US/Eastern
UCO	2015-09-01 02:40:00	3.03	1.254	2.08	0.854	2.05	0.886	1.352	0.861	108	47.1	28.749	2.118	0.315	2.763	-0.401	2015-08-31	22:40:00	US/Eastern
UCO	2015-09-01 02:55:00	3.305	1.269	2.093	0.973	2.302	0.899	1.365	1.028	109	47.133	28.854	2.144	0.312	2.776	0.167	2015-08-31	22:55:00	US/Eastern
UCO	2015-09-01 03:10:00	3.305	1.271	2.092	0.972	2.278	0.899	1.363	1.012	109	47.117	28.847	2.145	0.312	2.776	-0.016	2015-08-31	23:10:00	US/Eastern
UCO	2015-09-01 03:25:00	3.805	1.298	2.12	1.183	2.751	0.923	1.392	1.313	110	47.15	28.953	2.171	0.309	2.79	0.301	2015-08-31	23:25:00	US/Eastern
UCO	2015-09-01 03:40:00	3.805	1.3	2.12	1.182	2.722	0.922	1.39	1.295	110	47.133	28.946	2.172	0.309	2.79	-0.018	2015-08-31	23:40:00	US/Eastern
UCO	2015-09-01 03:55:00	4.474	1.335	2.165	1.45	3.362	0.955	1.44	1.672	111	47.167	29.054	2.197	0.315	2.803	0.377	2015-08-31	23:55:00	US/Eastern
UCO	2015-09-01 04:10:00	4.474	1.336	2.165	1.449	3.327	0.954	1.437	1.652	111	47.15	29.047	2.198	0.315	2.803	-0.02	2015-09-01	00:10:00	US/Eastern
UCO	2015-09-01 04:25:00	4.474	1.338	2.164	1.449	3.293	0.953	1.434	1.632	111	47.133	29.04	2.199	0.315	2.803	-0.02	2015-09-01	00:25:00	US/Eastern
UCO	2015-09-01 04:40:00	4.474	1.34	2.164	1.448	3.259	0.952	1.43	1.612	111	47.117	29.032	2.2	0.315	2.803	-0.02	2015-09-01	00:40:00	US/Eastern
UCO	2015-09-01 04:55:00	4.474	1.342	2.163	1.448	3.225	0.951	1.427	1.593	111	47.1	29.025	2.202	0.315	2.803	-0.02	2015-09-01	00:55:00	US/Eastern
UCO	2015-09-01 05:10:00	4.474	1.343	2.163	1.447	3.192	0.951	1.424	1.573	111	47.083	29.018	2.203	0.315	2.803	-0.02	2015-09-01	01:10:00	US/Eastern
UCO	2015-09-01 05:25:00	3.974	1.32	2.127	1.248	2.974	0.94	1.407	1.446	109	46.967	28.781	2.155	0.312	2.776	-0.128	2015-09-01	01:25:00	US/Eastern
UCO	2015-09-01 05:40:00	3.974	1.322	2.126	1.247	2.944	0.94	1.404	1.427	109	46.95	28.774	2.156	0.312	2.776	-0.019	2015-09-01	01:40:00	US/Eastern
UCO	2015-09-01 05:55:00	3.974	1.324	2.126	1.247	2.913	0.939	1.402	1.408	109	46.933	28.767	2.158	0.312	2.776	-0.019	2015-09-01	01:55:00	US/Eastern
UCO	2015-09-01 06:10:00	3.974	1.325	2.125	1.246	2.883	0.938	1.4	1.389	109	46.917	28.759	2.159	0.312	2.776	-0.019	2015-09-01	02:10:00	US/Eastern
UCO	2015-09-01 06:25:00	3.974	1.327	2.125	1.245	2.853	0.937	1.397	1.371	109	46.9	28.752	2.16	0.312	2.776	-0.019	2015-09-01	02:25:00	US/Eastern
UCO	2015-09-01 06:40:00	3.974	1.329	2.125	1.245	2.823	0.937	1.395	1.353	109	46.883	28.745	2.161	0.312	2.776	-0.018	2015-09-01	02:40:00	US/Eastern
UCO	2015-09-01 06:55:00	3.974	1.331	2.124	1.244	2.794	0.936	1.393	1.334	109	46.867	28.737	2.162	0.312	2.776	-0.018	2015-09-01	02:55:00	US/Eastern
UCO	2015-09-01 07:10:00	4.224	1.345	2.141	1.345	2.856	0.94	1.397	1.372	108	46.8	28.617	2.139	0.315	2.763	0.038	2015-09-01	03:10:00	US/Eastern
UCO	2015-09-01 07:25:00	4.224	1.347	2.14	1.344	2.827	0.939	1.395	1.353	108	46.783	28.609	2.14	0.315	2.763	-0.018	2015-09-01	03:25:00	US/Eastern
UCO	2015-09-01 07:40:00	4.224	1.348	2.14	1.344	2.798	0.939	1.392	1.335	108	46.767	28.602	2.141	0.315	2.763	-0.018	2015-09-01	03:40:00	US/Eastern
UCO	2015-09-01 07:55:00	4.224	1.35	2.139	1.343	2.769	0.938	1.39	1.317	108	46.75	28.594	2.142	0.315	2.763	-0.018	2015-09-01	03:55:00	US/Eastern
UCO	2015-09-01 08:10:00	4.224	1.352	2.139	1.343	2.74	0.937	1.388	1.299	108	46.733	28.587	2.143	0.315	2.763	-0.018	2015-09-01	04:10:00	US/Eastern
UCO	2015-09-01 08:25:00	4.224	1.353	2.138	1.342	2.711	0.937	1.386	1.281	108	46.717	28.579	2.144	0.315	2.763	-0.018	2015-09-01	04:25:00	US/Eastern
UCO	2015-09-01 08:40:00	4.536	1.371	2.161	1.465	2.797	0.942	1.392	1.333	107	46.65	28.459	2.121	0.318	2.749	0.053	2015-09-01	04:40:00	US/Eastern
UCO	2015-09-01 08:55:00	4.431	1.367	2.152	1.423	2.663	0.936	1.382	1.249	107	46.633	28.452	2.122	0.318	2.749	-0.084	2015-09-01	04:55:00	US/Eastern
UCO	2015-09-01 09:10:00	4.431	1.369	2.152	1.423	2.635	0.935	1.38	1.232	107	46.617	28.444	2.123	0.318	2.749	-0.018	2015-09-01	05:10:00	US/Eastern
UCO	2015-09-01 09:25:00	4.431	1.371	2.151	1.423	2.608	0.935	1.378	1.214	107	46.6	28.436	2.124	0.318	2.749	-0.018	2015-09-01	05:25:00	US/Eastern
UCO	2015-09-01 09:40:00	4.431	1.373	2.15	1.422	2.581	0.934	1.376	1.197	107	46.583	28.429	2.125	0.318	2.749	-0.018	2015-09-01	05:40:00	US/Eastern
UCO	2015-09-01 09:55:00	4.431	1.374	2.15	1.422	2.554	0.933	1.375	1.179	107	46.567	28.421	2.126	0.318	2.749	-0.017	2015-09-01	05:55:00	US/Eastern
UCO	2015-09-01 10:10:00	4.431	1.376	2.149	1.421	2.528	0.933	1.373	1.162	107	46.55	28.413	2.128	0.318	2.749	-0.017	2015-09-01	06:10:00	US/Eastern
UCO	2015-09-01 10:25:00	4.731	1.393	2.172	1.537	3.085	0.962	1.412	1.504	104	46.383	28.075	2.052	0.327	2.707	0.342	2015-09-01	06:25:00	US/Eastern
