Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - USMV.txt

Data for: 2015-09-01 00:10:00 UTC - 2015-12-31 20:10:00 UTC
Generated: 2016-02-06 22:26:11 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
USMV	2015-09-01 00:10:00	-0.687	-0.134	0.463	-1.195	-0.551	-0.037	0.18	-2.851	2	2.508	3.966	-0.128	1.0	1.58	0.015	2015-08-31	20:10:00	US/Eastern
USMV	2015-09-01 00:25:00	-0.687	-0.134	0.463	-1.195	-0.545	-0.036	0.18	-2.836	2	2.506	3.966	-0.128	1.0	1.58	0.015	2015-08-31	20:25:00	US/Eastern
USMV	2015-09-01 00:40:00	-0.687	-0.134	0.463	-1.195	-0.54	-0.036	0.179	-2.82	2	2.504	3.966	-0.127	1.0	1.58	0.015	2015-08-31	20:40:00	US/Eastern
USMV	2015-09-01 00:55:00	-0.687	-0.134	0.463	-1.196	-0.534	-0.035	0.178	-2.805	2	2.502	3.967	-0.127	1.0	1.58	0.016	2015-08-31	20:55:00	US/Eastern
USMV	2015-09-01 01:10:00	-0.687	-0.134	0.463	-1.196	-0.529	-0.035	0.177	-2.789	2	2.5	3.967	-0.126	1.0	1.58	0.016	2015-08-31	21:10:00	US/Eastern
USMV	2015-09-01 01:25:00	-0.687	-0.134	0.463	-1.196	-0.523	-0.035	0.176	-2.774	2	2.498	3.967	-0.126	1.0	1.58	0.016	2015-08-31	21:25:00	US/Eastern
USMV	2015-09-01 01:40:00	-0.687	-0.133	0.463	-1.197	-0.518	-0.034	0.175	-2.758	2	2.496	3.968	-0.125	1.0	1.58	0.016	2015-08-31	21:40:00	US/Eastern
USMV	2015-09-01 01:55:00	-0.687	-0.133	0.463	-1.197	-0.512	-0.034	0.174	-2.742	2	2.494	3.968	-0.124	1.0	1.58	0.016	2015-08-31	21:55:00	US/Eastern
USMV	2015-09-01 02:10:00	-0.687	-0.133	0.463	-1.198	-0.507	-0.034	0.174	-2.727	2	2.492	3.968	-0.124	1.0	1.58	0.016	2015-08-31	22:10:00	US/Eastern
USMV	2015-09-01 02:25:00	-0.687	-0.133	0.463	-1.198	-0.502	-0.033	0.173	-2.711	2	2.49	3.968	-0.123	1.0	1.58	0.016	2015-08-31	22:25:00	US/Eastern
