Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VGK.txt

Data for: 2015-09-01 00:10:00 UTC - 2015-12-31 23:55:00 UTC
Generated: 2016-02-06 22:26:11 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VGK	2015-09-01 00:10:00	-1.15	-0.101	0.653	-1.605	-0.782	-0.095	0.424	-1.623	4	3.681	2.014	0.158	1.0	1.781	0.015	2015-08-31	20:10:00	US/Eastern
VGK	2015-09-01 00:25:00	-1.15	-0.101	0.653	-1.606	-0.774	-0.094	0.423	-1.607	4	3.68	2.015	0.159	1.0	1.781	0.015	2015-08-31	20:25:00	US/Eastern
VGK	2015-09-01 00:40:00	-1.15	-0.101	0.653	-1.607	-0.766	-0.094	0.422	-1.592	4	3.678	2.016	0.16	1.0	1.781	0.015	2015-08-31	20:40:00	US/Eastern
VGK	2015-09-01 00:55:00	-1.15	-0.1	0.653	-1.608	-0.758	-0.093	0.422	-1.577	4	3.677	2.017	0.16	1.0	1.781	0.015	2015-08-31	20:55:00	US/Eastern
VGK	2015-09-01 01:10:00	-1.15	-0.1	0.653	-1.608	-0.75	-0.093	0.421	-1.562	4	3.675	2.018	0.161	1.0	1.781	0.015	2015-08-31	21:10:00	US/Eastern
VGK	2015-09-01 01:25:00	-1.15	-0.1	0.653	-1.609	-0.742	-0.092	0.42	-1.547	4	3.673	2.019	0.162	1.0	1.781	0.015	2015-08-31	21:25:00	US/Eastern
VGK	2015-09-01 01:40:00	-1.15	-0.099	0.653	-1.61	-0.735	-0.092	0.42	-1.532	4	3.672	2.02	0.162	1.0	1.781	0.015	2015-08-31	21:40:00	US/Eastern
VGK	2015-09-01 01:55:00	-1.15	-0.099	0.652	-1.611	-0.727	-0.091	0.419	-1.517	4	3.67	2.021	0.163	1.0	1.781	0.015	2015-08-31	21:55:00	US/Eastern
VGK	2015-09-01 02:10:00	-1.15	-0.099	0.652	-1.612	-0.72	-0.091	0.419	-1.502	4	3.669	2.022	0.164	1.0	1.781	0.015	2015-08-31	22:10:00	US/Eastern
VGK	2015-09-01 02:25:00	-1.15	-0.098	0.652	-1.612	-0.712	-0.09	0.418	-1.488	4	3.667	2.023	0.165	1.0	1.781	0.015	2015-08-31	22:25:00	US/Eastern
VGK	2015-09-01 02:40:00	-1.15	-0.098	0.652	-1.613	-0.705	-0.09	0.417	-1.473	4	3.666	2.024	0.165	1.0	1.781	0.015	2015-08-31	22:40:00	US/Eastern
VGK	2015-09-01 02:55:00	-1.15	-0.098	0.652	-1.614	-0.697	-0.089	0.417	-1.459	4	3.664	2.025	0.166	1.0	1.781	0.014	2015-08-31	22:55:00	US/Eastern
VGK	2015-09-01 03:10:00	-1.15	-0.097	0.652	-1.615	-0.69	-0.089	0.416	-1.444	4	3.663	2.026	0.167	1.0	1.781	0.014	2015-08-31	23:10:00	US/Eastern
VGK	2015-09-01 03:25:00	-1.15	-0.097	0.652	-1.615	-0.683	-0.089	0.416	-1.43	4	3.661	2.027	0.167	1.0	1.781	0.014	2015-08-31	23:25:00	US/Eastern
VGK	2015-09-01 03:40:00	-1.15	-0.097	0.652	-1.616	-0.676	-0.088	0.415	-1.416	4	3.659	2.028	0.168	1.0	1.781	0.014	2015-08-31	23:40:00	US/Eastern
VGK	2015-09-01 03:55:00	-1.15	-0.096	0.652	-1.617	-0.669	-0.088	0.415	-1.402	4	3.658	2.029	0.169	1.0	1.781	0.014	2015-08-31	23:55:00	US/Eastern
VGK	2015-09-01 04:10:00	-1.15	-0.096	0.651	-1.618	-0.662	-0.087	0.414	-1.388	4	3.656	2.03	0.169	1.0	1.781	0.014	2015-09-01	00:10:00	US/Eastern
VGK	2015-09-01 04:25:00	-1.15	-0.096	0.651	-1.619	-0.655	-0.087	0.414	-1.374	4	3.655	2.03	0.17	1.0	1.781	0.014	2015-09-01	00:25:00	US/Eastern
