Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VV.txt

Data for: 2015-09-01 03:25:00 UTC - 2015-12-17 21:25:00 UTC
Generated: 2016-02-06 22:26:11 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VV	2015-09-01 03:25:00	0.375	-0.066	0.182	2.423	0.374	-0.023	0.126	3.134	1	0.6	1.095	0.365	1.0	1.899	0.0	2015-08-31	23:25:00	US/Eastern
VV	2015-09-01 03:40:00	0.375	-0.066	0.182	2.423	0.37	-0.023	0.126	3.121	1	0.6	1.095	0.365	1.0	1.899	-0.013	2015-08-31	23:40:00	US/Eastern
VV	2015-09-01 03:55:00	0.375	-0.066	0.182	2.423	0.366	-0.023	0.125	3.107	1	0.6	1.095	0.365	1.0	1.899	-0.013	2015-08-31	23:55:00	US/Eastern
VV	2015-09-01 04:10:00	0.375	-0.066	0.182	2.423	0.362	-0.023	0.125	3.094	1	0.6	1.095	0.365	1.0	1.899	-0.013	2015-09-01	00:10:00	US/Eastern
VV	2015-09-01 04:25:00	0.375	-0.066	0.182	2.423	0.358	-0.023	0.124	3.08	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	00:25:00	US/Eastern
VV	2015-09-01 04:40:00	0.375	-0.066	0.182	2.423	0.355	-0.024	0.123	3.067	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	00:40:00	US/Eastern
VV	2015-09-01 04:55:00	0.375	-0.066	0.182	2.423	0.351	-0.024	0.123	3.053	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	00:55:00	US/Eastern
VV	2015-09-01 05:10:00	0.375	-0.066	0.182	2.423	0.347	-0.024	0.122	3.039	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	01:10:00	US/Eastern
VV	2015-09-01 05:25:00	0.375	-0.066	0.182	2.423	0.344	-0.024	0.122	3.025	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	01:25:00	US/Eastern
VV	2015-09-01 05:40:00	0.375	-0.066	0.182	2.423	0.34	-0.024	0.121	3.012	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	01:40:00	US/Eastern
VV	2015-09-01 05:55:00	0.375	-0.066	0.182	2.423	0.337	-0.024	0.12	2.998	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	01:55:00	US/Eastern
VV	2015-09-01 06:10:00	0.375	-0.066	0.182	2.423	0.333	-0.025	0.12	2.984	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	02:10:00	US/Eastern
VV	2015-09-01 06:25:00	0.375	-0.066	0.182	2.423	0.33	-0.025	0.119	2.97	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	02:25:00	US/Eastern
VV	2015-09-01 06:40:00	0.375	-0.066	0.182	2.423	0.326	-0.025	0.119	2.956	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	02:40:00	US/Eastern
VV	2015-09-01 06:55:00	0.375	-0.066	0.182	2.423	0.323	-0.025	0.118	2.942	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	02:55:00	US/Eastern
VV	2015-09-01 07:10:00	0.375	-0.066	0.182	2.423	0.32	-0.025	0.118	2.928	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	03:10:00	US/Eastern
VV	2015-09-01 07:25:00	0.375	-0.066	0.182	2.423	0.316	-0.025	0.117	2.914	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	03:25:00	US/Eastern
VV	2015-09-01 07:40:00	0.375	-0.066	0.182	2.423	0.313	-0.026	0.117	2.9	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	03:40:00	US/Eastern
VV	2015-09-01 07:55:00	0.375	-0.066	0.182	2.423	0.31	-0.026	0.116	2.885	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	03:55:00	US/Eastern
VV	2015-09-01 08:10:00	0.375	-0.066	0.182	2.423	0.307	-0.026	0.116	2.871	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	04:10:00	US/Eastern
VV	2015-09-01 08:25:00	0.375	-0.066	0.182	2.423	0.303	-0.026	0.115	2.857	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	04:25:00	US/Eastern
VV	2015-09-01 08:40:00	0.375	-0.066	0.182	2.423	0.3	-0.026	0.115	2.843	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	04:40:00	US/Eastern
VV	2015-09-01 08:55:00	0.375	-0.066	0.182	2.423	0.297	-0.026	0.114	2.828	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	04:55:00	US/Eastern
VV	2015-09-01 09:10:00	0.375	-0.066	0.182	2.423	0.294	-0.027	0.114	2.814	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	05:10:00	US/Eastern
VV	2015-09-01 09:25:00	0.375	-0.066	0.182	2.423	0.291	-0.027	0.113	2.8	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	05:25:00	US/Eastern
VV	2015-09-01 09:40:00	0.375	-0.066	0.182	2.423	0.288	-0.027	0.113	2.785	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	05:40:00	US/Eastern
VV	2015-09-01 09:55:00	0.375	-0.066	0.182	2.423	0.285	-0.027	0.113	2.771	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	05:55:00	US/Eastern
VV	2015-09-01 10:10:00	0.375	-0.066	0.182	2.423	0.282	-0.027	0.112	2.756	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	06:10:00	US/Eastern
VV	2015-09-01 10:25:00	0.375	-0.066	0.182	2.423	0.279	-0.027	0.112	2.742	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	06:25:00	US/Eastern
VV	2015-09-01 10:40:00	0.375	-0.066	0.182	2.423	0.276	-0.027	0.111	2.728	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	06:40:00	US/Eastern
VV	2015-09-01 10:55:00	0.375	-0.066	0.182	2.423	0.273	-0.028	0.111	2.713	1	0.6	1.095	0.365	1.0	1.899	-0.014	2015-09-01	06:55:00	US/Eastern
