Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - BGU.txt

Data for: 2016-02-25 23:10:00 UTC - 2016-11-26 12:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
BGU	2016-02-25 23:10:00	0.075	0.004	0.017	4.249	0.075	0.004	0.017	4.249	1	0.05	0.224	4.249	1.0	1.813	0.0	2016-02-25	18:10:00	US/Eastern
BGU	2016-02-25 23:25:00	0.075	0.004	0.017	4.249	0.074	0.004	0.016	4.249	1	0.05	0.224	4.249	1.0	1.813	0.0	2016-02-25	18:25:00	US/Eastern
BGU	2016-02-25 23:40:00	0.075	0.004	0.017	4.249	0.073	0.004	0.016	4.249	1	0.05	0.224	4.249	1.0	1.813	0.0	2016-02-25	18:40:00	US/Eastern
BGU	2016-02-25 23:55:00	0.075	0.004	0.017	4.249	0.072	0.004	0.016	4.249	1	0.05	0.224	4.249	1.0	1.813	0.0	2016-02-25	18:55:00	US/Eastern
BGU	2016-02-26 00:10:00	0.075	0.004	0.017	4.249	0.071	0.004	0.016	4.249	1	0.05	0.224	4.249	1.0	1.813	0.0	2016-02-25	19:10:00	US/Eastern
BGU	2016-02-26 00:25:00	0.075	0.004	0.017	4.249	0.071	0.004	0.016	4.249	1	0.05	0.224	4.249	1.0	1.813	0.0	2016-02-25	19:25:00	US/Eastern
BGU	2016-02-26 00:40:00	0.075	0.004	0.017	4.249	0.07	0.004	0.016	4.249	1	0.05	0.224	4.249	1.0	1.813	0.0	2016-02-25	19:40:00	US/Eastern
BGU	2016-02-26 00:55:00	0.075	0.004	0.017	4.249	0.069	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	1.813	0.0	2016-02-25	19:55:00	US/Eastern
BGU	2016-02-26 01:10:00	0.075	0.004	0.017	4.249	0.069	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	1.813	0.0	2016-02-25	20:10:00	US/Eastern
BGU	2016-02-26 01:25:00	0.075	0.004	0.017	4.249	0.068	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	1.813	0.0	2016-02-25	20:25:00	US/Eastern
BGU	2016-02-26 01:40:00	0.075	0.004	0.017	4.249	0.067	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	1.813	0.0	2016-02-25	20:40:00	US/Eastern
