Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - BOM.txt

Data for: 2016-01-29 14:55:00 UTC - 2016-12-17 09:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
BOM	2016-01-29 14:55:00	0.125	-0.026	0.104	1.458	0.124	-0.016	0.074	1.9	1	0.55	1.395	0.323	1.0	1.423	1.564	2016-01-29	09:55:00	US/Eastern
BOM	2016-01-29 15:10:00	0.125	-0.026	0.104	1.458	0.122	-0.016	0.073	1.886	1	0.55	1.395	0.323	1.0	1.423	1.551	2016-01-29	10:10:00	US/Eastern
BOM	2016-01-29 15:25:00	0.125	-0.026	0.104	1.458	0.121	-0.016	0.073	1.873	1	0.55	1.395	0.323	1.0	1.423	1.538	2016-01-29	10:25:00	US/Eastern
BOM	2016-01-29 15:40:00	0.125	-0.026	0.104	1.458	0.12	-0.016	0.073	1.86	1	0.55	1.395	0.323	1.0	1.423	-0.013	2016-01-29	10:40:00	US/Eastern
BOM	2016-01-29 15:55:00	0.125	-0.026	0.104	1.458	0.119	-0.016	0.073	1.847	1	0.55	1.395	0.323	1.0	1.423	-0.026	2016-01-29	10:55:00	US/Eastern
BOM	2016-01-29 16:10:00	0.125	-0.026	0.104	1.458	0.117	-0.016	0.073	1.834	1	0.55	1.395	0.323	1.0	1.423	-0.039	2016-01-29	11:10:00	US/Eastern
BOM	2016-01-29 16:25:00	0.125	-0.026	0.104	1.458	0.116	-0.016	0.073	1.821	1	0.55	1.395	0.323	1.0	1.423	-0.052	2016-01-29	11:25:00	US/Eastern
BOM	2016-01-29 16:40:00	0.125	-0.026	0.104	1.458	0.115	-0.016	0.073	1.808	1	0.55	1.395	0.323	1.0	1.423	-0.065	2016-01-29	11:40:00	US/Eastern
BOM	2016-01-29 16:55:00	0.125	-0.026	0.104	1.458	0.114	-0.016	0.073	1.795	1	0.55	1.395	0.323	1.0	1.423	-0.013	2016-01-29	11:55:00	US/Eastern
BOM	2016-01-29 17:10:00	0.125	-0.026	0.104	1.458	0.113	-0.017	0.072	1.783	1	0.55	1.395	0.323	1.0	1.423	-0.026	2016-01-29	12:10:00	US/Eastern
BOM	2016-01-29 17:25:00	0.125	-0.026	0.104	1.458	0.111	-0.017	0.072	1.77	1	0.55	1.395	0.323	1.0	1.423	-0.038	2016-01-29	12:25:00	US/Eastern
BOM	2016-01-29 17:40:00	0.125	-0.026	0.104	1.458	0.11	-0.017	0.072	1.757	1	0.55	1.395	0.323	1.0	1.423	-0.051	2016-01-29	12:40:00	US/Eastern
BOM	2016-01-29 17:55:00	0.125	-0.026	0.104	1.458	0.109	-0.017	0.072	1.745	1	0.55	1.395	0.323	1.0	1.423	-0.063	2016-01-29	12:55:00	US/Eastern
BOM	2016-01-29 18:10:00	0.125	-0.026	0.104	1.458	0.108	-0.017	0.072	1.733	1	0.55	1.395	0.323	1.0	1.423	-0.012	2016-01-29	13:10:00	US/Eastern
BOM	2016-01-29 18:25:00	0.125	-0.026	0.104	1.458	0.107	-0.017	0.072	1.72	1	0.55	1.395	0.323	1.0	1.423	-0.025	2016-01-29	13:25:00	US/Eastern
BOM	2016-01-29 18:40:00	0.125	-0.026	0.104	1.458	0.106	-0.017	0.072	1.708	1	0.55	1.395	0.323	1.0	1.423	-0.037	2016-01-29	13:40:00	US/Eastern
BOM	2016-01-29 18:55:00	0.125	-0.026	0.104	1.458	0.105	-0.017	0.072	1.696	1	0.55	1.395	0.323	1.0	1.423	-0.049	2016-01-29	13:55:00	US/Eastern
BOM	2016-01-29 19:10:00	0.125	-0.026	0.104	1.458	0.104	-0.017	0.072	1.684	1	0.55	1.395	0.323	1.0	1.423	-0.061	2016-01-29	14:10:00	US/Eastern
BOM	2016-01-29 19:25:00	0.125	-0.026	0.104	1.458	0.103	-0.017	0.072	1.672	1	0.55	1.395	0.323	1.0	1.423	-0.012	2016-01-29	14:25:00	US/Eastern
BOM	2016-01-29 19:40:00	0.125	-0.026	0.104	1.458	0.102	-0.017	0.071	1.66	1	0.55	1.395	0.323	1.0	1.423	-0.024	2016-01-29	14:40:00	US/Eastern
BOM	2016-01-29 19:55:00	0.125	-0.026	0.104	1.458	0.1	-0.017	0.071	1.648	1	0.55	1.395	0.323	1.0	1.423	-0.036	2016-01-29	14:55:00	US/Eastern
BOM	2016-01-29 20:10:00	0.125	-0.026	0.104	1.458	0.099	-0.017	0.071	1.636	1	0.55	1.395	0.323	1.0	1.423	-0.048	2016-01-29	15:10:00	US/Eastern
BOM	2016-01-29 20:25:00	0.125	-0.026	0.104	1.458	0.098	-0.017	0.071	1.624	1	0.55	1.395	0.323	1.0	1.423	-0.059	2016-01-29	15:25:00	US/Eastern
BOM	2016-01-29 20:40:00	0.125	-0.026	0.104	1.458	0.097	-0.017	0.071	1.613	1	0.55	1.395	0.323	1.0	1.423	-0.012	2016-01-29	15:40:00	US/Eastern
BOM	2016-01-29 20:55:00	0.125	-0.026	0.104	1.458	0.096	-0.017	0.071	1.601	1	0.55	1.395	0.323	1.0	1.423	-0.023	2016-01-29	15:55:00	US/Eastern
BOM	2016-01-29 21:10:00	0.125	-0.026	0.104	1.458	0.095	-0.017	0.071	1.59	1	0.55	1.395	0.323	1.0	1.423	-0.035	2016-01-29	16:10:00	US/Eastern
BOM	2016-01-29 21:25:00	0.125	-0.026	0.104	1.458	0.094	-0.017	0.071	1.578	1	0.55	1.395	0.323	1.0	1.423	-0.046	2016-01-29	16:25:00	US/Eastern
BOM	2016-01-29 21:40:00	0.125	-0.026	0.104	1.458	0.093	-0.017	0.071	1.567	1	0.55	1.395	0.323	1.0	1.423	-0.057	2016-01-29	16:40:00	US/Eastern
BOM	2016-01-29 21:55:00	0.125	-0.026	0.104	1.458	0.092	-0.018	0.071	1.556	1	0.55	1.395	0.323	1.0	1.423	-0.011	2016-01-29	16:55:00	US/Eastern
BOM	2016-01-29 22:10:00	0.125	-0.026	0.104	1.458	0.091	-0.018	0.071	1.544	1	0.55	1.395	0.323	1.0	1.423	-0.022	2016-01-29	17:10:00	US/Eastern
