Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - BONO.txt

Data for: 2016-07-22 19:55:00 UTC - 2016-07-24 22:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
BONO	2016-07-22 19:55:00	-0.187	-0.009	0.042	-4.249	-0.186	-0.009	0.042	-4.249	1	0.05	0.224	4.249	1.0	1.805	0.0	2016-07-22	15:55:00	US/Eastern
BONO	2016-07-22 20:10:00	-0.187	-0.009	0.042	-4.249	-0.184	-0.009	0.041	-4.249	1	0.05	0.224	4.249	1.0	1.805	0.0	2016-07-22	16:10:00	US/Eastern
BONO	2016-07-22 20:25:00	-0.187	-0.009	0.042	-4.249	-0.182	-0.009	0.041	-4.249	1	0.05	0.224	4.249	1.0	1.805	0.0	2016-07-22	16:25:00	US/Eastern
BONO	2016-07-22 20:40:00	-0.187	-0.009	0.042	-4.249	-0.18	-0.009	0.04	-4.249	1	0.05	0.224	4.249	1.0	1.805	0.0	2016-07-22	16:40:00	US/Eastern
BONO	2016-07-22 20:55:00	-0.187	-0.009	0.042	-4.249	-0.178	-0.009	0.04	-4.249	1	0.05	0.224	4.249	1.0	1.805	0.0	2016-07-22	16:55:00	US/Eastern
BONO	2016-07-22 21:10:00	-0.187	-0.009	0.042	-4.249	-0.176	-0.009	0.039	-4.249	1	0.05	0.224	4.249	1.0	1.805	0.0	2016-07-22	17:10:00	US/Eastern
BONO	2016-07-22 21:25:00	-0.187	-0.009	0.042	-4.249	-0.175	-0.009	0.039	-4.249	1	0.05	0.224	4.249	1.0	1.805	0.0	2016-07-22	17:25:00	US/Eastern
BONO	2016-07-22 21:40:00	-0.187	-0.009	0.042	-4.249	-0.173	-0.009	0.039	-4.249	1	0.05	0.224	4.249	1.0	1.805	0.0	2016-07-22	17:40:00	US/Eastern
BONO	2016-07-22 21:55:00	-0.187	-0.009	0.042	-4.249	-0.171	-0.009	0.038	-4.249	1	0.05	0.224	4.249	1.0	1.805	0.0	2016-07-22	17:55:00	US/Eastern
BONO	2016-07-22 22:10:00	-0.187	-0.009	0.042	-4.249	-0.169	-0.008	0.038	-4.249	1	0.05	0.224	4.249	1.0	1.805	0.0	2016-07-22	18:10:00	US/Eastern
BONO	2016-07-22 22:25:00	-0.187	-0.009	0.042	-4.249	-0.167	-0.008	0.037	-4.249	1	0.05	0.224	4.249	1.0	1.805	0.0	2016-07-22	18:25:00	US/Eastern
BONO	2016-07-22 22:40:00	-0.187	-0.009	0.042	-4.249	-0.166	-0.008	0.037	-4.249	1	0.05	0.224	4.249	1.0	1.805	0.0	2016-07-22	18:40:00	US/Eastern
