Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - BRF.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-30 13:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
BRF	2016-01-20 05:10:00	-0.15	-0.053	0.119	-0.819	-0.105	-0.026	0.054	-1.457	1	0.6	0.754	0.531	1.0	1.711	0.085	2016-01-20	00:10:00	US/Eastern
BRF	2016-01-20 05:25:00	-0.15	-0.053	0.119	-0.819	-0.104	-0.026	0.054	-1.44	1	0.6	0.754	0.531	1.0	1.711	0.017	2016-01-20	00:25:00	US/Eastern
BRF	2016-01-20 05:40:00	-0.15	-0.053	0.119	-0.819	-0.103	-0.026	0.054	-1.424	1	0.6	0.754	0.531	1.0	1.711	0.033	2016-01-20	00:40:00	US/Eastern
BRF	2016-01-20 05:55:00	-0.15	-0.053	0.119	-0.819	-0.102	-0.025	0.054	-1.407	1	0.6	0.754	0.531	1.0	1.711	0.05	2016-01-20	00:55:00	US/Eastern
BRF	2016-01-20 06:10:00	-0.15	-0.053	0.119	-0.819	-0.101	-0.025	0.054	-1.39	1	0.6	0.754	0.531	1.0	1.711	0.067	2016-01-20	01:10:00	US/Eastern
BRF	2016-01-20 06:25:00	-0.15	-0.053	0.119	-0.819	-0.1	-0.025	0.054	-1.374	1	0.6	0.754	0.531	1.0	1.711	0.083	2016-01-20	01:25:00	US/Eastern
BRF	2016-01-20 06:40:00	-0.15	-0.053	0.119	-0.819	-0.099	-0.025	0.054	-1.358	1	0.6	0.754	0.531	1.0	1.711	0.016	2016-01-20	01:40:00	US/Eastern
BRF	2016-01-20 06:55:00	-0.15	-0.053	0.119	-0.819	-0.098	-0.025	0.054	-1.342	1	0.6	0.754	0.531	1.0	1.711	0.032	2016-01-20	01:55:00	US/Eastern
BRF	2016-01-20 07:10:00	-0.15	-0.053	0.119	-0.819	-0.097	-0.025	0.054	-1.325	1	0.6	0.754	0.531	1.0	1.711	0.049	2016-01-20	02:10:00	US/Eastern
BRF	2016-01-20 07:25:00	-0.15	-0.053	0.119	-0.819	-0.096	-0.025	0.054	-1.31	1	0.6	0.754	0.531	1.0	1.711	0.065	2016-01-20	02:25:00	US/Eastern
BRF	2016-01-20 07:40:00	-0.15	-0.053	0.119	-0.819	-0.095	-0.025	0.054	-1.294	1	0.6	0.754	0.531	1.0	1.711	0.08	2016-01-20	02:40:00	US/Eastern
BRF	2016-01-20 07:55:00	-0.15	-0.053	0.119	-0.819	-0.094	-0.025	0.054	-1.278	1	0.6	0.754	0.531	1.0	1.711	0.016	2016-01-20	02:55:00	US/Eastern
BRF	2016-01-20 08:10:00	-0.15	-0.053	0.119	-0.819	-0.093	-0.025	0.054	-1.262	1	0.6	0.754	0.531	1.0	1.711	0.031	2016-01-20	03:10:00	US/Eastern
BRF	2016-01-20 08:25:00	-0.15	-0.053	0.119	-0.819	-0.092	-0.025	0.053	-1.247	1	0.6	0.754	0.531	1.0	1.711	0.047	2016-01-20	03:25:00	US/Eastern
BRF	2016-01-20 08:40:00	-0.15	-0.053	0.119	-0.819	-0.091	-0.025	0.053	-1.231	1	0.6	0.754	0.531	1.0	1.711	0.062	2016-01-20	03:40:00	US/Eastern
BRF	2016-01-20 08:55:00	-0.15	-0.053	0.119	-0.819	-0.09	-0.025	0.053	-1.216	1	0.6	0.754	0.531	1.0	1.711	0.078	2016-01-20	03:55:00	US/Eastern
BRF	2016-01-20 09:10:00	-0.15	-0.053	0.119	-0.819	-0.089	-0.025	0.053	-1.201	1	0.6	0.754	0.531	1.0	1.711	0.015	2016-01-20	04:10:00	US/Eastern
BRF	2016-01-20 09:25:00	-0.15	-0.053	0.119	-0.819	-0.088	-0.025	0.053	-1.186	1	0.6	0.754	0.531	1.0	1.711	0.03	2016-01-20	04:25:00	US/Eastern
BRF	2016-01-20 09:40:00	-0.15	-0.053	0.119	-0.819	-0.087	-0.025	0.053	-1.17	1	0.6	0.754	0.531	1.0	1.711	0.045	2016-01-20	04:40:00	US/Eastern
BRF	2016-01-20 09:55:00	-0.15	-0.053	0.119	-0.819	-0.086	-0.025	0.053	-1.156	1	0.6	0.754	0.531	1.0	1.711	0.06	2016-01-20	04:55:00	US/Eastern
BRF	2016-01-20 10:10:00	-0.15	-0.053	0.119	-0.819	-0.085	-0.025	0.053	-1.141	1	0.6	0.754	0.531	1.0	1.711	0.075	2016-01-20	05:10:00	US/Eastern
BRF	2016-01-20 10:25:00	-0.15	-0.053	0.119	-0.819	-0.084	-0.025	0.053	-1.126	1	0.6	0.754	0.531	1.0	1.711	0.015	2016-01-20	05:25:00	US/Eastern
BRF	2016-01-20 10:40:00	-0.15	-0.053	0.119	-0.819	-0.083	-0.025	0.053	-1.112	1	0.6	0.754	0.531	1.0	1.711	0.029	2016-01-20	05:40:00	US/Eastern
BRF	2016-01-20 10:55:00	-0.15	-0.053	0.119	-0.819	-0.083	-0.025	0.053	-1.097	1	0.6	0.754	0.531	1.0	1.711	0.044	2016-01-20	05:55:00	US/Eastern
BRF	2016-01-20 11:10:00	-0.15	-0.053	0.119	-0.819	-0.082	-0.024	0.053	-1.083	1	0.6	0.754	0.531	1.0	1.711	0.058	2016-01-20	06:10:00	US/Eastern
BRF	2016-01-20 11:25:00	-0.15	-0.053	0.119	-0.819	-0.081	-0.024	0.053	-1.068	1	0.6	0.754	0.531	1.0	1.711	0.072	2016-01-20	06:25:00	US/Eastern
BRF	2016-01-20 11:40:00	-0.15	-0.053	0.119	-0.819	-0.08	-0.024	0.053	-1.054	1	0.6	0.754	0.531	1.0	1.711	0.014	2016-01-20	06:40:00	US/Eastern
BRF	2016-01-20 11:55:00	-0.15	-0.053	0.119	-0.819	-0.079	-0.024	0.053	-1.04	1	0.6	0.754	0.531	1.0	1.711	0.028	2016-01-20	06:55:00	US/Eastern
BRF	2016-01-20 12:10:00	-0.15	-0.053	0.119	-0.819	-0.078	-0.024	0.053	-1.026	1	0.6	0.754	0.531	1.0	1.711	0.042	2016-01-20	07:10:00	US/Eastern
BRF	2016-01-20 12:25:00	-0.15	-0.053	0.119	-0.819	-0.078	-0.024	0.053	-1.013	1	0.6	0.754	0.531	1.0	1.711	0.056	2016-01-20	07:25:00	US/Eastern
BRF	2016-01-20 12:40:00	-0.15	-0.053	0.119	-0.819	-0.077	-0.024	0.053	-0.999	1	0.6	0.754	0.531	1.0	1.711	0.07	2016-01-20	07:40:00	US/Eastern
BRF	2016-01-20 12:55:00	-0.15	-0.053	0.119	-0.819	-0.076	-0.024	0.053	-0.985	1	0.6	0.754	0.531	1.0	1.711	0.014	2016-01-20	07:55:00	US/Eastern
BRF	2016-01-20 13:10:00	-0.15	-0.053	0.119	-0.819	-0.075	-0.024	0.052	-0.972	1	0.6	0.754	0.531	1.0	1.711	0.027	2016-01-20	08:10:00	US/Eastern
BRF	2016-01-20 13:25:00	-0.15	-0.053	0.119	-0.819	-0.074	-0.024	0.052	-0.958	1	0.6	0.754	0.531	1.0	1.711	0.04	2016-01-20	08:25:00	US/Eastern
BRF	2016-01-20 13:40:00	-0.15	-0.053	0.119	-0.819	-0.074	-0.024	0.052	-0.945	1	0.6	0.754	0.531	1.0	1.711	0.054	2016-01-20	08:40:00	US/Eastern
BRF	2016-01-20 13:55:00	-0.15	-0.053	0.119	-0.819	-0.073	-0.024	0.052	-0.932	1	0.6	0.754	0.531	1.0	1.711	0.067	2016-01-20	08:55:00	US/Eastern
BRF	2016-01-20 14:10:00	-0.15	-0.053	0.119	-0.819	-0.072	-0.024	0.052	-0.919	1	0.6	0.754	0.531	1.0	1.427	0.013	2016-01-20	09:10:00	US/Eastern
BRF	2016-01-20 14:25:00	-0.15	-0.053	0.119	-0.818	-0.071	-0.024	0.052	-0.906	1	0.6	0.754	0.531	1.0	1.427	0.026	2016-01-20	09:25:00	US/Eastern
BRF	2016-01-20 14:40:00	-0.15	-0.053	0.119	-0.818	-0.071	-0.024	0.052	-0.892	1	0.6	0.754	0.531	1.0	1.427	0.04	2016-01-20	09:40:00	US/Eastern
BRF	2016-01-20 14:55:00	-0.15	-0.053	0.119	-0.817	-0.07	-0.024	0.052	-0.879	1	0.6	0.754	0.531	1.0	1.427	0.053	2016-01-20	09:55:00	US/Eastern
