Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - BWV.txt

Data for: 2016-02-09 00:40:00 UTC - 2016-10-15 15:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
BWV	2016-02-09 00:40:00	0.2	0.01	0.045	4.249	0.2	0.01	0.045	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	19:40:00	US/Eastern
BWV	2016-02-09 00:55:00	0.2	0.01	0.045	4.249	0.198	0.01	0.044	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	19:55:00	US/Eastern
BWV	2016-02-09 01:10:00	0.2	0.01	0.045	4.249	0.196	0.01	0.044	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	20:10:00	US/Eastern
BWV	2016-02-09 01:25:00	0.2	0.01	0.045	4.249	0.194	0.01	0.043	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	20:25:00	US/Eastern
BWV	2016-02-09 01:40:00	0.2	0.01	0.045	4.249	0.192	0.01	0.043	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	20:40:00	US/Eastern
BWV	2016-02-09 01:55:00	0.2	0.01	0.045	4.249	0.19	0.009	0.042	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	20:55:00	US/Eastern
BWV	2016-02-09 02:10:00	0.2	0.01	0.045	4.249	0.188	0.009	0.042	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	21:10:00	US/Eastern
BWV	2016-02-09 02:25:00	0.2	0.01	0.045	4.249	0.186	0.009	0.042	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	21:25:00	US/Eastern
BWV	2016-02-09 02:40:00	0.2	0.01	0.045	4.249	0.184	0.009	0.041	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	21:40:00	US/Eastern
BWV	2016-02-09 02:55:00	0.2	0.01	0.045	4.249	0.182	0.009	0.041	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	21:55:00	US/Eastern
BWV	2016-02-09 03:10:00	0.2	0.01	0.045	4.249	0.18	0.009	0.04	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	22:10:00	US/Eastern
BWV	2016-02-09 03:25:00	0.2	0.01	0.045	4.249	0.178	0.009	0.04	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	22:25:00	US/Eastern
BWV	2016-02-09 03:40:00	0.2	0.01	0.045	4.249	0.176	0.009	0.039	4.249	1	0.05	0.224	4.249	1.0	1.978	0.0	2016-02-08	22:40:00	US/Eastern
