Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - CEW.txt

Data for: 2016-01-26 16:40:00 UTC - 2016-12-14 12:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
CEW	2016-01-26 16:40:00	0.3	0.003	0.09	3.322	0.298	0.009	0.072	3.994	3	0.2	0.696	4.024	1.0	5.264	3.77	2016-01-26	11:40:00	US/Eastern
CEW	2016-01-26 16:55:00	0.3	0.003	0.09	3.322	0.295	0.009	0.072	3.989	3	0.2	0.696	4.024	1.0	5.264	3.765	2016-01-26	11:55:00	US/Eastern
CEW	2016-01-26 17:10:00	0.3	0.003	0.09	3.322	0.292	0.009	0.071	3.984	3	0.2	0.696	4.024	1.0	5.264	3.761	2016-01-26	12:10:00	US/Eastern
CEW	2016-01-26 17:25:00	0.3	0.003	0.09	3.322	0.289	0.009	0.07	3.979	3	0.2	0.696	4.024	1.0	5.264	3.756	2016-01-26	12:25:00	US/Eastern
CEW	2016-01-26 17:40:00	0.3	0.003	0.09	3.322	0.286	0.009	0.07	3.974	3	0.2	0.696	4.024	1.0	5.264	-0.005	2016-01-26	12:40:00	US/Eastern
CEW	2016-01-26 17:55:00	0.3	0.003	0.09	3.322	0.283	0.009	0.069	3.969	3	0.2	0.696	4.024	1.0	5.264	-0.01	2016-01-26	12:55:00	US/Eastern
CEW	2016-01-26 18:10:00	0.3	0.003	0.09	3.322	0.28	0.008	0.069	3.964	3	0.2	0.696	4.024	1.0	5.264	-0.015	2016-01-26	13:10:00	US/Eastern
CEW	2016-01-26 18:25:00	0.3	0.003	0.09	3.322	0.277	0.008	0.068	3.959	3	0.2	0.696	4.024	1.0	5.264	-0.021	2016-01-26	13:25:00	US/Eastern
CEW	2016-01-26 18:40:00	0.3	0.003	0.09	3.322	0.274	0.008	0.067	3.953	3	0.2	0.696	4.024	1.0	5.264	-0.026	2016-01-26	13:40:00	US/Eastern
CEW	2016-01-26 18:55:00	0.3	0.003	0.09	3.322	0.271	0.008	0.067	3.948	3	0.2	0.696	4.024	1.0	5.264	-0.005	2016-01-26	13:55:00	US/Eastern
CEW	2016-01-26 19:10:00	0.3	0.003	0.09	3.322	0.269	0.008	0.066	3.942	3	0.2	0.696	4.024	1.0	5.264	-0.011	2016-01-26	14:10:00	US/Eastern
CEW	2016-01-26 19:25:00	0.3	0.003	0.09	3.322	0.266	0.008	0.066	3.937	3	0.2	0.696	4.024	1.0	5.264	-0.017	2016-01-26	14:25:00	US/Eastern
CEW	2016-01-26 19:40:00	0.3	0.003	0.09	3.322	0.263	0.008	0.065	3.931	3	0.2	0.696	4.024	1.0	5.264	-0.022	2016-01-26	14:40:00	US/Eastern
CEW	2016-01-26 19:55:00	0.3	0.003	0.09	3.322	0.26	0.007	0.064	3.925	3	0.2	0.696	4.024	1.0	5.264	-0.028	2016-01-26	14:55:00	US/Eastern
CEW	2016-01-26 20:10:00	0.3	0.003	0.09	3.322	0.258	0.007	0.064	3.919	3	0.2	0.696	4.024	1.0	5.264	-0.006	2016-01-26	15:10:00	US/Eastern
CEW	2016-01-26 20:25:00	0.3	0.003	0.09	3.322	0.255	0.007	0.063	3.913	3	0.2	0.696	4.024	1.0	5.264	-0.012	2016-01-26	15:25:00	US/Eastern
CEW	2016-01-26 20:40:00	0.3	0.003	0.09	3.322	0.252	0.007	0.063	3.907	3	0.2	0.696	4.024	1.0	5.264	-0.018	2016-01-26	15:40:00	US/Eastern
CEW	2016-01-26 20:55:00	0.3	0.003	0.09	3.322	0.25	0.007	0.062	3.901	3	0.2	0.696	4.024	1.0	5.264	-0.024	2016-01-26	15:55:00	US/Eastern
CEW	2016-01-26 21:10:00	0.3	0.003	0.09	3.322	0.247	0.007	0.062	3.895	3	0.2	0.696	4.024	1.0	5.264	-0.03	2016-01-26	16:10:00	US/Eastern
CEW	2016-01-26 21:25:00	0.3	0.003	0.09	3.322	0.245	0.007	0.061	3.888	3	0.2	0.696	4.024	1.0	5.264	-0.006	2016-01-26	16:25:00	US/Eastern
CEW	2016-01-26 21:40:00	0.3	0.003	0.09	3.322	0.242	0.007	0.061	3.882	3	0.2	0.696	4.024	1.0	5.264	-0.013	2016-01-26	16:40:00	US/Eastern
CEW	2016-01-26 21:55:00	0.3	0.003	0.09	3.322	0.24	0.006	0.06	3.875	3	0.2	0.696	4.024	1.0	5.264	-0.019	2016-01-26	16:55:00	US/Eastern
CEW	2016-01-26 22:10:00	0.3	0.003	0.09	3.322	0.237	0.006	0.06	3.869	3	0.2	0.696	4.024	1.0	5.264	-0.026	2016-01-26	17:10:00	US/Eastern
CEW	2016-01-26 22:25:00	0.3	0.003	0.09	3.322	0.235	0.006	0.059	3.862	3	0.2	0.696	4.024	1.0	5.264	-0.033	2016-01-26	17:25:00	US/Eastern
CEW	2016-01-26 22:40:00	0.3	0.003	0.09	3.322	0.232	0.006	0.059	3.855	3	0.2	0.696	4.024	1.0	5.264	-0.007	2016-01-26	17:40:00	US/Eastern
CEW	2016-01-26 22:55:00	0.3	0.003	0.09	3.322	0.23	0.006	0.058	3.848	3	0.2	0.696	4.024	1.0	5.264	-0.014	2016-01-26	17:55:00	US/Eastern
CEW	2016-01-26 23:10:00	0.3	0.003	0.09	3.322	0.227	0.006	0.058	3.841	3	0.2	0.696	4.024	1.0	5.264	-0.021	2016-01-26	18:10:00	US/Eastern
CEW	2016-01-26 23:25:00	0.3	0.003	0.09	3.322	0.225	0.006	0.057	3.834	3	0.2	0.696	4.024	1.0	5.264	-0.028	2016-01-26	18:25:00	US/Eastern
CEW	2016-01-26 23:40:00	0.3	0.003	0.09	3.322	0.223	0.006	0.057	3.826	3	0.2	0.696	4.024	1.0	5.264	-0.035	2016-01-26	18:40:00	US/Eastern
CEW	2016-01-26 23:55:00	0.3	0.003	0.09	3.322	0.22	0.005	0.056	3.819	3	0.2	0.696	4.024	1.0	5.264	-0.007	2016-01-26	18:55:00	US/Eastern
CEW	2016-01-27 00:10:00	0.3	0.003	0.09	3.322	0.218	0.005	0.056	3.812	3	0.2	0.696	4.024	1.0	5.264	-0.015	2016-01-26	19:10:00	US/Eastern
CEW	2016-01-27 00:25:00	0.3	0.003	0.09	3.322	0.216	0.005	0.055	3.804	3	0.2	0.696	4.024	1.0	5.264	-0.022	2016-01-26	19:25:00	US/Eastern
CEW	2016-01-27 00:40:00	0.3	0.003	0.09	3.322	0.214	0.005	0.055	3.796	3	0.2	0.696	4.024	1.0	5.264	-0.03	2016-01-26	19:40:00	US/Eastern
CEW	2016-01-27 00:55:00	0.3	0.003	0.09	3.322	0.211	0.005	0.054	3.788	3	0.2	0.696	4.024	1.0	5.264	-0.038	2016-01-26	19:55:00	US/Eastern
CEW	2016-01-27 01:10:00	0.3	0.003	0.09	3.322	0.209	0.005	0.054	3.781	3	0.2	0.696	4.024	1.0	5.264	-0.008	2016-01-26	20:10:00	US/Eastern
CEW	2016-01-27 01:25:00	0.3	0.003	0.09	3.322	0.207	0.005	0.054	3.772	3	0.2	0.696	4.024	1.0	5.264	-0.016	2016-01-26	20:25:00	US/Eastern
CEW	2016-01-27 01:40:00	0.3	0.003	0.09	3.322	0.205	0.005	0.053	3.764	3	0.2	0.696	4.024	1.0	5.264	-0.024	2016-01-26	20:40:00	US/Eastern
CEW	2016-01-27 01:55:00	0.3	0.003	0.09	3.322	0.203	0.005	0.053	3.756	3	0.2	0.696	4.024	1.0	5.264	-0.032	2016-01-26	20:55:00	US/Eastern
CEW	2016-01-27 02:10:00	0.3	0.003	0.09	3.322	0.201	0.005	0.052	3.748	3	0.2	0.696	4.024	1.0	5.264	-0.041	2016-01-26	21:10:00	US/Eastern
CEW	2016-01-27 02:25:00	0.3	0.003	0.09	3.322	0.199	0.004	0.052	3.739	3	0.2	0.696	4.024	1.0	5.264	-0.008	2016-01-26	21:25:00	US/Eastern
CEW	2016-01-27 02:40:00	0.3	0.003	0.09	3.322	0.197	0.004	0.052	3.731	3	0.2	0.696	4.024	1.0	5.264	-0.017	2016-01-26	21:40:00	US/Eastern
CEW	2016-01-27 02:55:00	0.3	0.003	0.09	3.322	0.195	0.004	0.051	3.722	3	0.2	0.696	4.024	1.0	5.264	-0.026	2016-01-26	21:55:00	US/Eastern
CEW	2016-01-27 03:10:00	0.3	0.003	0.09	3.322	0.192	0.004	0.051	3.713	3	0.2	0.696	4.024	1.0	5.264	-0.035	2016-01-26	22:10:00	US/Eastern
CEW	2016-01-27 03:25:00	0.3	0.003	0.09	3.322	0.191	0.004	0.05	3.704	3	0.2	0.696	4.024	1.0	5.264	-0.043	2016-01-26	22:25:00	US/Eastern
CEW	2016-01-27 03:40:00	0.3	0.003	0.09	3.322	0.189	0.004	0.05	3.695	3	0.2	0.696	4.024	1.0	5.264	-0.009	2016-01-26	22:40:00	US/Eastern
CEW	2016-01-27 03:55:00	0.3	0.003	0.09	3.322	0.187	0.004	0.05	3.686	3	0.2	0.696	4.024	1.0	5.264	-0.018	2016-01-26	22:55:00	US/Eastern
CEW	2016-01-27 04:10:00	0.3	0.003	0.09	3.322	0.185	0.004	0.049	3.677	3	0.2	0.696	4.024	1.0	5.264	-0.027	2016-01-26	23:10:00	US/Eastern
CEW	2016-01-27 04:25:00	0.3	0.003	0.09	3.322	0.183	0.004	0.049	3.667	3	0.2	0.696	4.024	1.0	5.264	-0.037	2016-01-26	23:25:00	US/Eastern
CEW	2016-01-27 04:40:00	0.3	0.003	0.09	3.322	0.181	0.004	0.048	3.658	3	0.2	0.696	4.024	1.0	5.264	-0.046	2016-01-26	23:40:00	US/Eastern
CEW	2016-01-27 04:55:00	0.3	0.003	0.09	3.322	0.179	0.003	0.048	3.648	3	0.2	0.696	4.024	1.0	5.264	-0.01	2016-01-26	23:55:00	US/Eastern
CEW	2016-01-27 05:10:00	0.3	0.003	0.09	3.322	0.177	0.003	0.048	3.639	3	0.2	0.696	4.024	1.0	5.264	-0.019	2016-01-27	00:10:00	US/Eastern
CEW	2016-01-27 05:25:00	0.3	0.003	0.09	3.322	0.175	0.003	0.047	3.629	3	0.2	0.696	4.024	1.0	5.264	-0.029	2016-01-27	00:25:00	US/Eastern
CEW	2016-01-27 05:40:00	0.3	0.003	0.09	3.322	0.173	0.003	0.047	3.619	3	0.2	0.696	4.024	1.0	5.264	-0.039	2016-01-27	00:40:00	US/Eastern
CEW	2016-01-27 05:55:00	0.3	0.003	0.09	3.322	0.172	0.003	0.047	3.609	3	0.2	0.696	4.024	1.0	5.264	-0.049	2016-01-27	00:55:00	US/Eastern
CEW	2016-01-27 06:10:00	0.3	0.003	0.09	3.322	0.17	0.003	0.046	3.599	3	0.2	0.696	4.024	1.0	5.264	-0.01	2016-01-27	01:10:00	US/Eastern
CEW	2016-01-27 06:25:00	0.3	0.003	0.09	3.322	0.168	0.003	0.046	3.588	3	0.2	0.696	4.024	1.0	5.264	-0.02	2016-01-27	01:25:00	US/Eastern
CEW	2016-01-27 06:40:00	0.3	0.003	0.09	3.322	0.166	0.003	0.046	3.578	3	0.2	0.696	4.024	1.0	5.264	-0.031	2016-01-27	01:40:00	US/Eastern
CEW	2016-01-27 06:55:00	0.3	0.003	0.09	3.322	0.165	0.003	0.045	3.567	3	0.2	0.696	4.024	1.0	5.264	-0.041	2016-01-27	01:55:00	US/Eastern
CEW	2016-01-27 07:10:00	0.3	0.003	0.09	3.322	0.163	0.003	0.045	3.557	3	0.2	0.696	4.024	1.0	5.264	-0.052	2016-01-27	02:10:00	US/Eastern
CEW	2016-01-27 07:25:00	0.3	0.003	0.09	3.322	0.161	0.003	0.045	3.546	3	0.2	0.696	4.024	1.0	5.264	-0.011	2016-01-27	02:25:00	US/Eastern
