Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - CMBS.txt

Data for: 2016-01-20 15:55:00 UTC - 2016-12-15 21:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
CMBS	2016-01-20 15:55:00	0.1	-0.005	0.051	2.057	0.099	-0.005	0.049	2.102	2	0.15	0.489	3.78	1.0	4.274	1.878	2016-01-20	10:55:00	US/Eastern
CMBS	2016-01-20 16:10:00	0.1	-0.005	0.051	2.057	0.098	-0.005	0.049	2.087	2	0.15	0.489	3.78	1.0	4.274	1.863	2016-01-20	11:10:00	US/Eastern
CMBS	2016-01-20 16:25:00	0.1	-0.005	0.051	2.057	0.097	-0.005	0.049	2.072	2	0.15	0.489	3.78	1.0	4.274	1.848	2016-01-20	11:25:00	US/Eastern
CMBS	2016-01-20 16:40:00	0.1	-0.005	0.051	2.057	0.096	-0.005	0.049	2.057	2	0.15	0.489	3.78	1.0	4.274	-0.015	2016-01-20	11:40:00	US/Eastern
CMBS	2016-01-20 16:55:00	0.1	-0.005	0.051	2.057	0.095	-0.005	0.049	2.042	2	0.15	0.489	3.78	1.0	4.274	-0.03	2016-01-20	11:55:00	US/Eastern
CMBS	2016-01-20 17:10:00	0.1	-0.005	0.051	2.057	0.094	-0.005	0.049	2.027	2	0.15	0.489	3.78	1.0	4.274	-0.044	2016-01-20	12:10:00	US/Eastern
CMBS	2016-01-20 17:25:00	0.1	-0.005	0.051	2.057	0.093	-0.005	0.049	2.013	2	0.15	0.489	3.78	1.0	4.274	-0.059	2016-01-20	12:25:00	US/Eastern
CMBS	2016-01-20 17:40:00	0.1	-0.005	0.051	2.057	0.092	-0.005	0.049	1.998	2	0.15	0.489	3.78	1.0	4.274	-0.074	2016-01-20	12:40:00	US/Eastern
CMBS	2016-01-20 17:55:00	0.1	-0.005	0.051	2.057	0.091	-0.005	0.049	1.984	2	0.15	0.489	3.78	1.0	4.274	-0.015	2016-01-20	12:55:00	US/Eastern
CMBS	2016-01-20 18:10:00	0.1	-0.005	0.051	2.057	0.09	-0.005	0.048	1.969	2	0.15	0.489	3.78	1.0	4.274	-0.029	2016-01-20	13:10:00	US/Eastern
CMBS	2016-01-20 18:25:00	0.1	-0.005	0.051	2.057	0.089	-0.005	0.048	1.955	2	0.15	0.489	3.78	1.0	4.274	-0.044	2016-01-20	13:25:00	US/Eastern
CMBS	2016-01-20 18:40:00	0.1	-0.005	0.051	2.057	0.088	-0.005	0.048	1.94	2	0.15	0.489	3.78	1.0	4.274	-0.058	2016-01-20	13:40:00	US/Eastern
CMBS	2016-01-20 18:55:00	0.1	-0.005	0.051	2.057	0.088	-0.005	0.048	1.926	2	0.15	0.489	3.78	1.0	4.274	-0.072	2016-01-20	13:55:00	US/Eastern
CMBS	2016-01-20 19:10:00	0.1	-0.005	0.051	2.057	0.087	-0.005	0.048	1.912	2	0.15	0.489	3.78	1.0	4.274	-0.014	2016-01-20	14:10:00	US/Eastern
CMBS	2016-01-20 19:25:00	0.1	-0.005	0.051	2.057	0.086	-0.005	0.048	1.897	2	0.15	0.489	3.78	1.0	4.274	-0.028	2016-01-20	14:25:00	US/Eastern
