Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - CRUD.txt

Data for: 2016-04-12 22:40:00 UTC - 2016-07-25 20:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
CRUD	2016-04-12 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	18:40:00	US/Eastern
CRUD	2016-04-12 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	18:55:00	US/Eastern
CRUD	2016-04-12 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	19:10:00	US/Eastern
CRUD	2016-04-12 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	19:25:00	US/Eastern
CRUD	2016-04-12 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	19:40:00	US/Eastern
CRUD	2016-04-12 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	19:55:00	US/Eastern
CRUD	2016-04-13 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	20:10:00	US/Eastern
CRUD	2016-04-13 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	20:25:00	US/Eastern
CRUD	2016-04-13 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	20:40:00	US/Eastern
CRUD	2016-04-13 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	20:55:00	US/Eastern
CRUD	2016-04-13 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	21:10:00	US/Eastern
CRUD	2016-04-13 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	21:25:00	US/Eastern
CRUD	2016-04-13 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	21:40:00	US/Eastern
CRUD	2016-04-13 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	21:55:00	US/Eastern
CRUD	2016-04-13 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	22:10:00	US/Eastern
CRUD	2016-04-13 02:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	22:25:00	US/Eastern
CRUD	2016-04-13 02:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	22:40:00	US/Eastern
CRUD	2016-04-13 02:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	22:55:00	US/Eastern
CRUD	2016-04-13 03:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.726	0.0	2016-04-12	23:10:00	US/Eastern
