Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - CVOL.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
CVOL	2016-01-20 05:10:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.413	4.617	2.076	0.333	2.439	0.0	2016-01-20	00:10:00	US/Eastern
CVOL	2016-01-20 05:25:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.422	4.632	2.068	0.333	2.439	0.0	2016-01-20	00:25:00	US/Eastern
CVOL	2016-01-20 05:40:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.431	4.645	2.06	0.333	2.439	0.0	2016-01-20	00:40:00	US/Eastern
CVOL	2016-01-20 05:55:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.441	4.659	2.052	0.333	2.439	0.0	2016-01-20	00:55:00	US/Eastern
CVOL	2016-01-20 06:10:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.45	4.673	2.044	0.333	2.439	0.0	2016-01-20	01:10:00	US/Eastern
CVOL	2016-01-20 06:25:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.459	4.687	2.036	0.333	2.439	0.0	2016-01-20	01:25:00	US/Eastern
CVOL	2016-01-20 06:40:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.469	4.701	2.028	0.333	2.439	0.0	2016-01-20	01:40:00	US/Eastern
CVOL	2016-01-20 06:55:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.478	4.714	2.02	0.333	2.439	0.0	2016-01-20	01:55:00	US/Eastern
CVOL	2016-01-20 07:10:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.488	4.728	2.012	0.333	2.439	0.0	2016-01-20	02:10:00	US/Eastern
CVOL	2016-01-20 07:25:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.497	4.742	2.004	0.333	2.439	0.0	2016-01-20	02:25:00	US/Eastern
CVOL	2016-01-20 07:40:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.506	4.755	1.997	0.333	2.439	0.0	2016-01-20	02:40:00	US/Eastern
CVOL	2016-01-20 07:55:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.516	4.769	1.989	0.333	2.439	0.0	2016-01-20	02:55:00	US/Eastern
CVOL	2016-01-20 08:10:00	0.0	0.044	0.111	-0.399	0.0	0.019	0.044	-0.424	12	2.525	4.782	1.981	0.333	2.439	0.0	2016-01-20	03:10:00	US/Eastern
