Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - DEM.txt

Data for: 2016-01-20 17:25:00 UTC - 2016-12-30 21:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
DEM	2016-01-20 17:25:00	-0.25	-0.012	0.056	-4.249	-0.249	-0.012	0.056	-4.249	1	0.1	0.308	2.924	1.0	3.066	0.0	2016-01-20	12:25:00	US/Eastern
DEM	2016-01-20 17:40:00	-0.25	-0.012	0.056	-4.249	-0.247	-0.012	0.055	-4.249	1	0.1	0.308	2.924	1.0	3.066	0.0	2016-01-20	12:40:00	US/Eastern
DEM	2016-01-20 17:55:00	-0.25	-0.012	0.056	-4.249	-0.244	-0.012	0.055	-4.249	1	0.1	0.308	2.924	1.0	3.066	0.0	2016-01-20	12:55:00	US/Eastern
DEM	2016-01-20 18:10:00	-0.25	-0.012	0.056	-4.249	-0.242	-0.012	0.054	-4.249	1	0.1	0.308	2.924	1.0	3.066	0.0	2016-01-20	13:10:00	US/Eastern
DEM	2016-01-20 18:25:00	-0.25	-0.012	0.056	-4.249	-0.239	-0.012	0.054	-4.249	1	0.1	0.308	2.924	1.0	3.066	0.0	2016-01-20	13:25:00	US/Eastern
DEM	2016-01-20 18:40:00	-0.25	-0.012	0.056	-4.249	-0.237	-0.012	0.053	-4.249	1	0.1	0.308	2.924	1.0	3.066	0.0	2016-01-20	13:40:00	US/Eastern
DEM	2016-01-20 18:55:00	-0.25	-0.012	0.056	-4.249	-0.234	-0.012	0.052	-4.249	1	0.1	0.308	2.924	1.0	3.066	0.0	2016-01-20	13:55:00	US/Eastern
DEM	2016-01-20 19:10:00	-0.25	-0.012	0.056	-4.249	-0.232	-0.012	0.052	-4.249	1	0.1	0.308	2.924	1.0	3.066	0.0	2016-01-20	14:10:00	US/Eastern
DEM	2016-01-20 19:25:00	-0.25	-0.012	0.056	-4.249	-0.23	-0.011	0.051	-4.249	1	0.1	0.308	2.924	1.0	3.066	0.0	2016-01-20	14:25:00	US/Eastern
DEM	2016-01-20 19:40:00	-0.5	-0.025	0.112	-4.249	-0.476	-0.024	0.106	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	14:40:00	US/Eastern
DEM	2016-01-20 19:55:00	-0.5	-0.025	0.112	-4.249	-0.471	-0.024	0.105	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	14:55:00	US/Eastern
DEM	2016-01-20 20:10:00	-0.5	-0.025	0.112	-4.249	-0.466	-0.023	0.104	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	15:10:00	US/Eastern
DEM	2016-01-20 20:25:00	-0.5	-0.025	0.112	-4.249	-0.461	-0.023	0.103	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	15:25:00	US/Eastern
DEM	2016-01-20 20:40:00	-0.5	-0.025	0.112	-4.249	-0.457	-0.023	0.102	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	15:40:00	US/Eastern
DEM	2016-01-20 20:55:00	-0.5	-0.025	0.112	-4.249	-0.452	-0.023	0.101	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	15:55:00	US/Eastern
DEM	2016-01-20 21:10:00	-0.5	-0.025	0.112	-4.249	-0.447	-0.022	0.1	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	16:10:00	US/Eastern
DEM	2016-01-20 21:25:00	-0.5	-0.025	0.112	-4.249	-0.443	-0.022	0.099	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	16:25:00	US/Eastern
DEM	2016-01-20 21:40:00	-0.5	-0.025	0.112	-4.249	-0.438	-0.022	0.098	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	16:40:00	US/Eastern
DEM	2016-01-20 21:55:00	-0.5	-0.025	0.112	-4.249	-0.434	-0.022	0.097	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	16:55:00	US/Eastern
DEM	2016-01-20 22:10:00	-0.5	-0.025	0.112	-4.249	-0.429	-0.021	0.096	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	17:10:00	US/Eastern
DEM	2016-01-20 22:25:00	-0.5	-0.025	0.112	-4.249	-0.425	-0.021	0.095	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	17:25:00	US/Eastern
DEM	2016-01-20 22:40:00	-0.5	-0.025	0.112	-4.249	-0.42	-0.021	0.094	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	17:40:00	US/Eastern
DEM	2016-01-20 22:55:00	-0.5	-0.025	0.112	-4.249	-0.416	-0.021	0.093	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	17:55:00	US/Eastern
DEM	2016-01-20 23:10:00	-0.5	-0.025	0.112	-4.249	-0.412	-0.021	0.092	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	18:10:00	US/Eastern
DEM	2016-01-20 23:25:00	-0.5	-0.025	0.112	-4.249	-0.407	-0.02	0.091	-4.249	2	0.15	0.489	3.78	1.0	4.274	0.0	2016-01-20	18:25:00	US/Eastern
