Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - DIG.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
DIG	2016-01-20 05:10:00	-0.4	-0.016	0.146	-2.628	-0.207	-0.004	0.095	-2.134	4	1.713	1.668	1.372	0.75	2.187	0.122	2016-01-20	00:10:00	US/Eastern
DIG	2016-01-20 05:25:00	-0.4	-0.016	0.146	-2.623	-0.205	-0.004	0.095	-2.11	4	1.714	1.667	1.371	0.75	2.187	0.024	2016-01-20	00:25:00	US/Eastern
DIG	2016-01-20 05:40:00	-0.4	-0.017	0.146	-2.618	-0.202	-0.004	0.095	-2.087	4	1.715	1.667	1.371	0.75	2.187	0.048	2016-01-20	00:40:00	US/Eastern
DIG	2016-01-20 05:55:00	-0.4	-0.017	0.147	-2.613	-0.2	-0.004	0.095	-2.063	4	1.716	1.666	1.371	0.75	2.187	0.071	2016-01-20	00:55:00	US/Eastern
DIG	2016-01-20 06:10:00	-0.4	-0.017	0.147	-2.608	-0.198	-0.004	0.095	-2.039	4	1.717	1.666	1.371	0.75	2.187	0.095	2016-01-20	01:10:00	US/Eastern
DIG	2016-01-20 06:25:00	-0.4	-0.017	0.147	-2.603	-0.196	-0.004	0.095	-2.016	4	1.718	1.665	1.37	0.75	2.187	0.118	2016-01-20	01:25:00	US/Eastern
DIG	2016-01-20 06:40:00	-0.4	-0.017	0.147	-2.599	-0.194	-0.004	0.095	-1.993	4	1.719	1.665	1.37	0.75	2.187	0.023	2016-01-20	01:40:00	US/Eastern
DIG	2016-01-20 06:55:00	-0.4	-0.018	0.147	-2.594	-0.192	-0.004	0.095	-1.97	4	1.72	1.664	1.37	0.75	2.187	0.046	2016-01-20	01:55:00	US/Eastern
DIG	2016-01-20 07:10:00	-0.4	-0.018	0.148	-2.589	-0.19	-0.004	0.096	-1.947	4	1.721	1.664	1.37	0.75	2.187	0.069	2016-01-20	02:10:00	US/Eastern
DIG	2016-01-20 07:25:00	-0.4	-0.018	0.148	-2.584	-0.188	-0.004	0.096	-1.924	4	1.722	1.664	1.369	0.75	2.187	0.092	2016-01-20	02:25:00	US/Eastern
DIG	2016-01-20 07:40:00	-0.4	-0.018	0.148	-2.579	-0.186	-0.004	0.096	-1.901	4	1.723	1.663	1.369	0.75	2.187	0.115	2016-01-20	02:40:00	US/Eastern
