Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - DOG.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-29 05:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
DOG	2016-01-20 05:10:00	-0.625	-0.062	0.262	-2.152	-0.441	-0.044	0.165	-2.408	4	1.431	1.331	1.93	0.75	2.497	0.09	2016-01-20	00:10:00	US/Eastern
DOG	2016-01-20 05:25:00	-0.625	-0.062	0.262	-2.152	-0.436	-0.044	0.164	-2.39	4	1.432	1.331	1.93	0.75	2.497	0.018	2016-01-20	00:25:00	US/Eastern
DOG	2016-01-20 05:40:00	-0.625	-0.062	0.262	-2.152	-0.432	-0.043	0.164	-2.372	3	1.382	1.245	1.3	0.667	2.152	0.036	2016-01-20	00:40:00	US/Eastern
DOG	2016-01-20 05:55:00	-0.625	-0.062	0.262	-2.152	-0.427	-0.043	0.163	-2.354	3	1.383	1.244	1.3	0.667	2.152	0.054	2016-01-20	00:55:00	US/Eastern
DOG	2016-01-20 06:10:00	-0.625	-0.062	0.262	-2.152	-0.423	-0.043	0.163	-2.337	3	1.383	1.244	1.3	0.667	2.152	0.072	2016-01-20	01:10:00	US/Eastern
DOG	2016-01-20 06:25:00	-0.625	-0.062	0.262	-2.152	-0.419	-0.043	0.162	-2.319	3	1.384	1.243	1.3	0.667	2.152	0.09	2016-01-20	01:25:00	US/Eastern
DOG	2016-01-20 06:40:00	-0.625	-0.062	0.262	-2.152	-0.414	-0.042	0.162	-2.301	3	1.384	1.243	1.3	0.667	2.152	0.018	2016-01-20	01:40:00	US/Eastern
DOG	2016-01-20 06:55:00	-0.625	-0.062	0.262	-2.152	-0.41	-0.042	0.161	-2.283	3	1.385	1.243	1.3	0.667	2.152	0.036	2016-01-20	01:55:00	US/Eastern
DOG	2016-01-20 07:10:00	-0.625	-0.062	0.262	-2.152	-0.406	-0.042	0.161	-2.265	3	1.385	1.242	1.3	0.667	2.152	0.054	2016-01-20	02:10:00	US/Eastern
DOG	2016-01-20 07:25:00	-0.625	-0.062	0.262	-2.152	-0.402	-0.042	0.16	-2.247	3	1.386	1.242	1.3	0.667	2.152	0.072	2016-01-20	02:25:00	US/Eastern
DOG	2016-01-20 07:40:00	-0.625	-0.062	0.262	-2.152	-0.397	-0.042	0.16	-2.229	3	1.386	1.241	1.3	0.667	2.152	0.09	2016-01-20	02:40:00	US/Eastern
DOG	2016-01-20 07:55:00	-0.625	-0.062	0.262	-2.152	-0.393	-0.041	0.159	-2.211	3	1.387	1.241	1.3	0.667	2.152	0.018	2016-01-20	02:55:00	US/Eastern
DOG	2016-01-20 08:10:00	-0.625	-0.062	0.262	-2.152	-0.389	-0.041	0.159	-2.193	3	1.388	1.241	1.3	0.667	2.152	0.036	2016-01-20	03:10:00	US/Eastern
DOG	2016-01-20 08:25:00	-0.625	-0.062	0.262	-2.152	-0.385	-0.041	0.158	-2.176	3	1.388	1.24	1.3	0.667	2.152	0.053	2016-01-20	03:25:00	US/Eastern
DOG	2016-01-20 08:40:00	-0.625	-0.062	0.262	-2.152	-0.381	-0.041	0.158	-2.158	3	1.389	1.24	1.3	0.667	2.152	0.071	2016-01-20	03:40:00	US/Eastern
DOG	2016-01-20 08:55:00	-0.625	-0.062	0.262	-2.152	-0.377	-0.041	0.157	-2.14	3	1.389	1.24	1.3	0.667	2.152	0.089	2016-01-20	03:55:00	US/Eastern
DOG	2016-01-20 09:10:00	-0.625	-0.062	0.262	-2.152	-0.373	-0.04	0.157	-2.122	3	1.39	1.239	1.3	0.667	2.152	0.018	2016-01-20	04:10:00	US/Eastern
DOG	2016-01-20 09:25:00	-0.625	-0.062	0.262	-2.152	-0.369	-0.04	0.156	-2.105	3	1.39	1.239	1.3	0.667	2.152	0.035	2016-01-20	04:25:00	US/Eastern
DOG	2016-01-20 09:40:00	-0.625	-0.062	0.262	-2.152	-0.366	-0.04	0.156	-2.087	3	1.391	1.238	1.3	0.667	2.152	0.053	2016-01-20	04:40:00	US/Eastern
DOG	2016-01-20 09:55:00	-0.625	-0.062	0.262	-2.152	-0.362	-0.04	0.156	-2.07	3	1.391	1.238	1.3	0.667	2.152	0.071	2016-01-20	04:55:00	US/Eastern
DOG	2016-01-20 10:10:00	-0.625	-0.062	0.262	-2.152	-0.358	-0.04	0.155	-2.052	3	1.392	1.238	1.3	0.667	2.152	0.088	2016-01-20	05:10:00	US/Eastern
DOG	2016-01-20 10:25:00	-0.625	-0.062	0.262	-2.152	-0.354	-0.039	0.155	-2.035	3	1.392	1.237	1.3	0.667	2.152	0.017	2016-01-20	05:25:00	US/Eastern
DOG	2016-01-20 10:40:00	-0.625	-0.062	0.262	-2.152	-0.351	-0.039	0.154	-2.017	3	1.393	1.237	1.3	0.667	2.152	0.035	2016-01-20	05:40:00	US/Eastern
DOG	2016-01-20 10:55:00	-0.625	-0.062	0.262	-2.152	-0.347	-0.039	0.154	-2.0	3	1.393	1.236	1.3	0.667	2.152	0.052	2016-01-20	05:55:00	US/Eastern
DOG	2016-01-20 11:10:00	-0.625	-0.062	0.262	-2.152	-0.343	-0.039	0.154	-1.982	3	1.394	1.236	1.3	0.667	2.152	0.07	2016-01-20	06:10:00	US/Eastern
DOG	2016-01-20 11:25:00	-0.625	-0.062	0.262	-2.152	-0.34	-0.039	0.153	-1.965	3	1.394	1.236	1.3	0.667	2.152	0.087	2016-01-20	06:25:00	US/Eastern
DOG	2016-01-20 11:40:00	-0.625	-0.062	0.262	-2.152	-0.336	-0.039	0.153	-1.948	3	1.395	1.235	1.3	0.667	2.152	0.017	2016-01-20	06:40:00	US/Eastern
DOG	2016-01-20 11:55:00	-0.625	-0.062	0.262	-2.152	-0.333	-0.038	0.153	-1.931	3	1.395	1.235	1.3	0.667	2.152	0.034	2016-01-20	06:55:00	US/Eastern
DOG	2016-01-20 12:10:00	-0.625	-0.062	0.262	-2.152	-0.329	-0.038	0.152	-1.914	3	1.396	1.234	1.3	0.667	2.152	0.051	2016-01-20	07:10:00	US/Eastern
DOG	2016-01-20 12:25:00	-0.625	-0.062	0.262	-2.152	-0.326	-0.038	0.152	-1.897	3	1.396	1.234	1.3	0.667	2.152	0.069	2016-01-20	07:25:00	US/Eastern
DOG	2016-01-20 12:40:00	-0.625	-0.062	0.262	-2.152	-0.323	-0.038	0.152	-1.88	3	1.397	1.234	1.3	0.667	2.152	0.086	2016-01-20	07:40:00	US/Eastern
DOG	2016-01-20 12:55:00	-0.625	-0.062	0.262	-2.152	-0.319	-0.038	0.151	-1.863	3	1.397	1.233	1.3	0.667	2.152	0.017	2016-01-20	07:55:00	US/Eastern
DOG	2016-01-20 13:10:00	-0.625	-0.062	0.262	-2.152	-0.316	-0.038	0.151	-1.846	3	1.398	1.233	1.3	0.667	2.152	0.034	2016-01-20	08:10:00	US/Eastern
DOG	2016-01-20 13:25:00	-0.625	-0.062	0.262	-2.152	-0.313	-0.037	0.151	-1.829	3	1.398	1.232	1.3	0.667	2.152	0.051	2016-01-20	08:25:00	US/Eastern
DOG	2016-01-20 13:40:00	-0.525	-0.057	0.251	-1.864	-0.21	-0.032	0.142	-1.249	4	1.449	1.318	1.936	0.75	2.497	0.631	2016-01-20	08:40:00	US/Eastern
DOG	2016-01-20 13:55:00	-0.525	-0.057	0.251	-1.864	-0.208	-0.032	0.142	-1.235	4	1.449	1.317	1.936	0.75	2.497	0.644	2016-01-20	08:55:00	US/Eastern
DOG	2016-01-20 14:10:00	-0.525	-0.057	0.251	-1.864	-0.205	-0.032	0.142	-1.222	4	1.45	1.317	1.936	0.75	2.219	0.013	2016-01-20	09:10:00	US/Eastern
DOG	2016-01-20 14:25:00	-0.525	-0.057	0.251	-1.862	-0.203	-0.032	0.142	-1.209	4	1.451	1.318	1.934	0.75	2.219	0.027	2016-01-20	09:25:00	US/Eastern
DOG	2016-01-20 14:40:00	-0.525	-0.057	0.251	-1.86	-0.201	-0.032	0.142	-1.196	4	1.452	1.319	1.931	0.75	2.219	0.04	2016-01-20	09:40:00	US/Eastern
DOG	2016-01-20 14:55:00	-0.525	-0.058	0.252	-1.858	-0.199	-0.032	0.142	-1.182	4	1.453	1.321	1.928	0.75	2.219	0.053	2016-01-20	09:55:00	US/Eastern
DOG	2016-01-20 15:10:00	-0.525	-0.058	0.252	-1.856	-0.197	-0.032	0.141	-1.169	4	1.454	1.322	1.926	0.75	2.219	0.066	2016-01-20	10:10:00	US/Eastern
DOG	2016-01-20 15:25:00	-0.525	-0.058	0.252	-1.854	-0.195	-0.032	0.141	-1.156	4	1.455	1.323	1.923	0.75	2.219	0.013	2016-01-20	10:25:00	US/Eastern
DOG	2016-01-20 15:40:00	-0.525	-0.058	0.252	-1.852	-0.193	-0.031	0.141	-1.144	4	1.456	1.325	1.92	0.75	2.219	0.026	2016-01-20	10:40:00	US/Eastern
DOG	2016-01-20 15:55:00	-0.525	-0.058	0.252	-1.85	-0.191	-0.031	0.141	-1.131	4	1.457	1.326	1.918	0.75	2.219	0.039	2016-01-20	10:55:00	US/Eastern
DOG	2016-01-20 16:10:00	-0.525	-0.058	0.253	-1.848	-0.189	-0.031	0.141	-1.118	4	1.458	1.327	1.915	0.75	2.219	0.051	2016-01-20	11:10:00	US/Eastern
