Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EEV.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-24 09:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EEV	2016-01-20 05:10:00	-0.1	0.0	0.122	-0.82	0.004	-0.002	0.066	0.095	2	1.081	1.175	0.782	1.0	1.861	0.002	2016-01-20	00:10:00	US/Eastern
EEV	2016-01-20 05:25:00	0.1	0.01	0.121	0.744	0.078	0.001	0.069	1.11	1	1.032	1.155	-0.028	1.0	1.221	1.015	2016-01-20	00:25:00	US/Eastern
EEV	2016-01-20 05:40:00	0.1	0.01	0.121	0.744	0.077	0.001	0.069	1.1	1	1.032	1.155	-0.028	1.0	1.221	1.004	2016-01-20	00:40:00	US/Eastern
EEV	2016-01-20 05:55:00	0.1	0.009	0.122	0.744	0.076	0.001	0.069	1.089	1	1.033	1.154	-0.028	1.0	1.221	0.994	2016-01-20	00:55:00	US/Eastern
EEV	2016-01-20 06:10:00	0.1	0.009	0.122	0.745	0.075	0.001	0.069	1.079	1	1.033	1.154	-0.029	1.0	1.221	0.983	2016-01-20	01:10:00	US/Eastern
EEV	2016-01-20 06:25:00	0.1	0.009	0.122	0.745	0.074	0.001	0.069	1.068	1	1.034	1.154	-0.029	1.0	1.221	0.973	2016-01-20	01:25:00	US/Eastern
EEV	2016-01-20 06:40:00	0.1	0.009	0.122	0.745	0.074	0.001	0.069	1.058	1	1.034	1.154	-0.03	1.0	1.221	-0.01	2016-01-20	01:40:00	US/Eastern
EEV	2016-01-20 06:55:00	0.1	0.009	0.122	0.745	0.073	0.001	0.069	1.048	1	1.035	1.153	-0.03	1.0	1.221	-0.02	2016-01-20	01:55:00	US/Eastern
EEV	2016-01-20 07:10:00	0.1	0.009	0.122	0.746	0.072	0.0	0.069	1.038	1	1.035	1.153	-0.031	1.0	1.221	-0.03	2016-01-20	02:10:00	US/Eastern
EEV	2016-01-20 07:25:00	0.1	0.009	0.122	0.746	0.071	0.0	0.069	1.029	1	1.036	1.153	-0.031	1.0	1.221	-0.04	2016-01-20	02:25:00	US/Eastern
