Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EIDO.txt

Data for: 2016-01-22 03:40:00 UTC - 2016-12-30 22:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EIDO	2016-01-22 03:40:00	0.2	0.025	0.051	3.455	0.2	0.02	0.046	3.876	2	0.55	0.887	1.635	1.0	2.17	4.383	2016-01-21	22:40:00	US/Eastern
EIDO	2016-01-22 03:55:00	0.2	0.025	0.051	3.455	0.197	0.02	0.046	3.869	2	0.55	0.887	1.635	1.0	2.17	4.376	2016-01-21	22:55:00	US/Eastern
EIDO	2016-01-22 04:10:00	0.2	0.025	0.051	3.455	0.195	0.019	0.046	3.861	2	0.55	0.887	1.635	1.0	2.17	4.368	2016-01-21	23:10:00	US/Eastern
EIDO	2016-01-22 04:25:00	0.2	0.025	0.051	3.455	0.193	0.019	0.045	3.854	2	0.55	0.887	1.635	1.0	2.17	4.361	2016-01-21	23:25:00	US/Eastern
EIDO	2016-01-22 04:40:00	0.2	0.025	0.051	3.455	0.191	0.019	0.045	3.846	2	0.55	0.887	1.635	1.0	2.17	4.353	2016-01-21	23:40:00	US/Eastern
EIDO	2016-01-22 04:55:00	0.2	0.025	0.051	3.455	0.189	0.019	0.044	3.839	2	0.55	0.887	1.635	1.0	2.17	-0.008	2016-01-21	23:55:00	US/Eastern
EIDO	2016-01-22 05:10:00	0.2	0.025	0.051	3.455	0.187	0.019	0.044	3.831	2	0.55	0.887	1.635	1.0	2.17	-0.016	2016-01-22	00:10:00	US/Eastern
EIDO	2016-01-22 05:25:00	0.2	0.025	0.051	3.455	0.186	0.019	0.044	3.823	2	0.55	0.887	1.635	1.0	2.17	-0.023	2016-01-22	00:25:00	US/Eastern
EIDO	2016-01-22 05:40:00	0.2	0.025	0.051	3.455	0.184	0.019	0.043	3.815	2	0.55	0.887	1.635	1.0	2.17	-0.032	2016-01-22	00:40:00	US/Eastern
EIDO	2016-01-22 05:55:00	0.2	0.025	0.051	3.455	0.182	0.019	0.043	3.806	2	0.55	0.887	1.635	1.0	2.17	-0.04	2016-01-22	00:55:00	US/Eastern
EIDO	2016-01-22 06:10:00	0.2	0.025	0.051	3.455	0.18	0.019	0.042	3.798	2	0.55	0.887	1.635	1.0	2.17	-0.008	2016-01-22	01:10:00	US/Eastern
EIDO	2016-01-22 06:25:00	0.2	0.025	0.051	3.455	0.178	0.019	0.042	3.79	2	0.55	0.887	1.635	1.0	2.17	-0.017	2016-01-22	01:25:00	US/Eastern
EIDO	2016-01-22 06:40:00	0.2	0.025	0.051	3.455	0.176	0.019	0.042	3.781	2	0.55	0.887	1.635	1.0	2.17	-0.025	2016-01-22	01:40:00	US/Eastern
EIDO	2016-01-22 06:55:00	0.2	0.025	0.051	3.455	0.174	0.018	0.041	3.772	2	0.55	0.887	1.635	1.0	2.17	-0.034	2016-01-22	01:55:00	US/Eastern
EIDO	2016-01-22 07:10:00	0.2	0.025	0.051	3.455	0.172	0.018	0.041	3.763	2	0.55	0.887	1.635	1.0	2.17	-0.043	2016-01-22	02:10:00	US/Eastern
EIDO	2016-01-22 07:25:00	0.2	0.025	0.051	3.455	0.171	0.018	0.041	3.754	2	0.55	0.887	1.635	1.0	2.17	-0.009	2016-01-22	02:25:00	US/Eastern
EIDO	2016-01-22 07:40:00	0.2	0.025	0.051	3.455	0.169	0.018	0.04	3.745	2	0.55	0.887	1.635	1.0	2.17	-0.018	2016-01-22	02:40:00	US/Eastern
EIDO	2016-01-22 07:55:00	0.2	0.025	0.051	3.455	0.167	0.018	0.04	3.736	2	0.55	0.887	1.635	1.0	2.17	-0.028	2016-01-22	02:55:00	US/Eastern
EIDO	2016-01-22 08:10:00	0.2	0.025	0.051	3.455	0.165	0.018	0.04	3.726	2	0.55	0.887	1.635	1.0	2.17	-0.037	2016-01-22	03:10:00	US/Eastern
EIDO	2016-01-22 08:25:00	0.2	0.025	0.051	3.455	0.164	0.018	0.039	3.717	2	0.55	0.887	1.635	1.0	2.17	-0.047	2016-01-22	03:25:00	US/Eastern
EIDO	2016-01-22 08:40:00	0.2	0.025	0.051	3.455	0.162	0.018	0.039	3.707	2	0.55	0.887	1.635	1.0	2.17	-0.01	2016-01-22	03:40:00	US/Eastern
EIDO	2016-01-22 08:55:00	0.2	0.025	0.051	3.455	0.16	0.018	0.039	3.697	2	0.55	0.887	1.635	1.0	2.17	-0.02	2016-01-22	03:55:00	US/Eastern
EIDO	2016-01-22 09:10:00	0.2	0.025	0.051	3.455	0.159	0.018	0.038	3.687	2	0.55	0.887	1.635	1.0	2.17	-0.03	2016-01-22	04:10:00	US/Eastern
EIDO	2016-01-22 09:25:00	0.2	0.025	0.051	3.455	0.157	0.018	0.038	3.677	2	0.55	0.887	1.635	1.0	2.17	-0.04	2016-01-22	04:25:00	US/Eastern
