Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EIS.txt

Data for: 2016-02-01 15:40:00 UTC - 2016-12-30 09:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EIS	2016-02-01 15:40:00	0.25	-0.023	0.145	1.877	0.248	-0.004	0.086	2.932	1	0.244	0.631	1.199	1.0	2.076	2.662	2016-02-01	10:40:00	US/Eastern
EIS	2016-02-01 15:55:00	0.25	-0.023	0.145	1.877	0.246	-0.004	0.086	2.917	1	0.243	0.63	1.203	1.0	2.076	2.648	2016-02-01	10:55:00	US/Eastern
EIS	2016-02-01 16:10:00	0.25	-0.023	0.145	1.877	0.243	-0.004	0.085	2.902	1	0.242	0.628	1.207	1.0	2.076	-0.015	2016-02-01	11:10:00	US/Eastern
EIS	2016-02-01 16:25:00	0.25	-0.023	0.145	1.876	0.241	-0.005	0.085	2.887	1	0.241	0.627	1.211	1.0	2.076	-0.03	2016-02-01	11:25:00	US/Eastern
EIS	2016-02-01 16:40:00	0.25	-0.023	0.145	1.876	0.238	-0.005	0.085	2.872	1	0.24	0.626	1.216	1.0	2.076	-0.045	2016-02-01	11:40:00	US/Eastern
EIS	2016-02-01 16:55:00	0.25	-0.023	0.145	1.876	0.236	-0.005	0.084	2.857	1	0.239	0.624	1.22	1.0	2.076	-0.06	2016-02-01	11:55:00	US/Eastern
EIS	2016-02-01 17:10:00	0.25	-0.023	0.145	1.876	0.233	-0.005	0.084	2.841	1	0.238	0.623	1.224	1.0	2.076	-0.076	2016-02-01	12:10:00	US/Eastern
EIS	2016-02-01 17:25:00	0.25	-0.022	0.145	1.876	0.231	-0.005	0.083	2.826	1	0.236	0.622	1.228	1.0	2.076	-0.015	2016-02-01	12:25:00	US/Eastern
EIS	2016-02-01 17:40:00	0.25	-0.022	0.145	1.876	0.229	-0.005	0.083	2.811	1	0.235	0.62	1.233	1.0	2.076	-0.031	2016-02-01	12:40:00	US/Eastern
EIS	2016-02-01 17:55:00	0.25	-0.022	0.145	1.875	0.226	-0.005	0.083	2.796	1	0.234	0.619	1.237	1.0	2.076	-0.046	2016-02-01	12:55:00	US/Eastern
EIS	2016-02-01 18:10:00	0.25	-0.022	0.145	1.875	0.224	-0.005	0.082	2.78	1	0.233	0.617	1.242	1.0	2.076	-0.061	2016-02-01	13:10:00	US/Eastern
EIS	2016-02-01 18:25:00	0.25	-0.022	0.145	1.875	0.222	-0.005	0.082	2.765	1	0.232	0.616	1.246	1.0	2.076	-0.077	2016-02-01	13:25:00	US/Eastern
EIS	2016-02-01 18:40:00	0.25	-0.022	0.145	1.875	0.219	-0.005	0.082	2.749	1	0.231	0.615	1.251	1.0	2.076	-0.015	2016-02-01	13:40:00	US/Eastern
EIS	2016-02-01 18:55:00	0.25	-0.022	0.145	1.875	0.217	-0.005	0.081	2.734	1	0.23	0.613	1.255	1.0	2.076	-0.031	2016-02-01	13:55:00	US/Eastern
EIS	2016-02-01 19:10:00	0.25	-0.022	0.145	1.875	0.215	-0.006	0.081	2.718	1	0.229	0.612	1.26	1.0	2.076	-0.046	2016-02-01	14:10:00	US/Eastern
EIS	2016-02-01 19:25:00	0.25	-0.022	0.145	1.874	0.212	-0.006	0.081	2.703	1	0.228	0.611	1.264	1.0	2.076	-0.062	2016-02-01	14:25:00	US/Eastern
EIS	2016-02-01 19:40:00	0.25	-0.022	0.145	1.874	0.21	-0.006	0.08	2.687	1	0.227	0.609	1.269	1.0	2.076	-0.078	2016-02-01	14:40:00	US/Eastern
EIS	2016-02-01 19:55:00	0.25	-0.022	0.145	1.874	0.208	-0.006	0.08	2.672	1	0.226	0.608	1.273	1.0	2.076	-0.016	2016-02-01	14:55:00	US/Eastern
EIS	2016-02-01 20:10:00	0.25	-0.022	0.145	1.874	0.206	-0.006	0.08	2.656	1	0.225	0.606	1.278	1.0	2.076	-0.031	2016-02-01	15:10:00	US/Eastern
EIS	2016-02-01 20:25:00	0.25	-0.022	0.145	1.874	0.204	-0.006	0.079	2.64	1	0.224	0.605	1.283	1.0	2.076	-0.047	2016-02-01	15:25:00	US/Eastern
EIS	2016-02-01 20:40:00	0.25	-0.021	0.145	1.874	0.202	-0.006	0.079	2.625	1	0.223	0.604	1.287	1.0	2.076	-0.062	2016-02-01	15:40:00	US/Eastern
EIS	2016-02-01 20:55:00	0.25	-0.021	0.145	1.873	0.2	-0.006	0.079	2.609	1	0.222	0.602	1.292	1.0	2.076	-0.078	2016-02-01	15:55:00	US/Eastern
EIS	2016-02-01 21:10:00	0.25	-0.021	0.145	1.873	0.198	-0.006	0.079	2.593	1	0.221	0.601	1.297	1.0	2.076	-0.016	2016-02-01	16:10:00	US/Eastern
EIS	2016-02-01 21:25:00	0.25	-0.021	0.145	1.873	0.196	-0.006	0.078	2.578	1	0.22	0.599	1.302	1.0	2.076	-0.031	2016-02-01	16:25:00	US/Eastern
EIS	2016-02-01 21:40:00	0.25	-0.021	0.145	1.873	0.193	-0.006	0.078	2.562	1	0.219	0.598	1.307	1.0	2.076	-0.047	2016-02-01	16:40:00	US/Eastern
EIS	2016-02-01 21:55:00	0.25	-0.021	0.145	1.873	0.191	-0.006	0.078	2.546	1	0.218	0.596	1.311	1.0	2.076	-0.063	2016-02-01	16:55:00	US/Eastern
EIS	2016-02-01 22:10:00	0.25	-0.021	0.145	1.873	0.189	-0.006	0.077	2.531	1	0.217	0.595	1.316	1.0	2.076	-0.078	2016-02-01	17:10:00	US/Eastern
EIS	2016-02-01 22:25:00	0.25	-0.021	0.145	1.873	0.188	-0.006	0.077	2.515	1	0.216	0.594	1.321	1.0	2.076	-0.016	2016-02-01	17:25:00	US/Eastern
EIS	2016-02-01 22:40:00	0.25	-0.021	0.145	1.872	0.186	-0.007	0.077	2.499	1	0.215	0.592	1.326	1.0	2.076	-0.031	2016-02-01	17:40:00	US/Eastern
EIS	2016-02-01 22:55:00	0.25	-0.021	0.145	1.872	0.184	-0.007	0.077	2.484	1	0.214	0.591	1.331	1.0	2.076	-0.047	2016-02-01	17:55:00	US/Eastern
EIS	2016-02-01 23:10:00	0.25	-0.021	0.145	1.872	0.182	-0.007	0.076	2.468	1	0.213	0.589	1.336	1.0	2.076	-0.063	2016-02-01	18:10:00	US/Eastern
EIS	2016-02-01 23:25:00	0.25	-0.021	0.145	1.872	0.18	-0.007	0.076	2.452	1	0.211	0.588	1.342	1.0	2.076	-0.078	2016-02-01	18:25:00	US/Eastern
EIS	2016-02-01 23:40:00	0.25	-0.021	0.145	1.872	0.178	-0.007	0.076	2.437	1	0.21	0.586	1.347	1.0	2.076	-0.016	2016-02-01	18:40:00	US/Eastern
EIS	2016-02-01 23:55:00	0.25	-0.021	0.145	1.872	0.176	-0.007	0.076	2.421	1	0.209	0.585	1.352	1.0	2.076	-0.031	2016-02-01	18:55:00	US/Eastern
EIS	2016-02-02 00:10:00	0.25	-0.02	0.145	1.871	0.174	-0.007	0.075	2.405	1	0.208	0.583	1.357	1.0	2.076	-0.047	2016-02-01	19:10:00	US/Eastern
EIS	2016-02-02 00:25:00	0.25	-0.02	0.144	1.871	0.173	-0.007	0.075	2.39	1	0.207	0.582	1.362	1.0	2.076	-0.063	2016-02-01	19:25:00	US/Eastern
EIS	2016-02-02 00:40:00	0.25	-0.02	0.144	1.871	0.171	-0.007	0.075	2.374	1	0.206	0.58	1.368	1.0	2.076	-0.078	2016-02-01	19:40:00	US/Eastern
EIS	2016-02-02 00:55:00	0.25	-0.02	0.144	1.871	0.169	-0.007	0.075	2.358	1	0.205	0.579	1.373	1.0	2.076	-0.016	2016-02-01	19:55:00	US/Eastern
EIS	2016-02-02 01:10:00	0.25	-0.02	0.144	1.871	0.167	-0.007	0.074	2.343	1	0.204	0.577	1.378	1.0	2.076	-0.031	2016-02-01	20:10:00	US/Eastern
EIS	2016-02-02 01:25:00	0.25	-0.02	0.144	1.871	0.165	-0.007	0.074	2.327	1	0.203	0.576	1.384	1.0	2.076	-0.047	2016-02-01	20:25:00	US/Eastern
EIS	2016-02-02 01:40:00	0.25	-0.02	0.144	1.87	0.164	-0.007	0.074	2.312	1	0.202	0.574	1.389	1.0	2.076	-0.062	2016-02-01	20:40:00	US/Eastern
EIS	2016-02-02 01:55:00	0.25	-0.02	0.144	1.87	0.162	-0.007	0.074	2.296	1	0.201	0.573	1.395	1.0	2.076	-0.078	2016-02-01	20:55:00	US/Eastern
EIS	2016-02-02 02:10:00	0.25	-0.02	0.144	1.87	0.16	-0.007	0.074	2.281	1	0.2	0.571	1.4	1.0	2.076	-0.015	2016-02-01	21:10:00	US/Eastern
EIS	2016-02-02 02:25:00	0.25	-0.02	0.144	1.87	0.159	-0.007	0.073	2.265	1	0.199	0.57	1.406	1.0	2.076	-0.031	2016-02-01	21:25:00	US/Eastern
EIS	2016-02-02 02:40:00	0.25	-0.02	0.144	1.87	0.157	-0.007	0.073	2.25	1	0.198	0.568	1.412	1.0	2.076	-0.046	2016-02-01	21:40:00	US/Eastern
EIS	2016-02-02 02:55:00	0.25	-0.02	0.144	1.87	0.155	-0.007	0.073	2.235	1	0.197	0.567	1.417	1.0	2.076	-0.062	2016-02-01	21:55:00	US/Eastern
EIS	2016-02-02 03:10:00	0.25	-0.02	0.144	1.87	0.154	-0.008	0.073	2.219	1	0.196	0.565	1.423	1.0	2.076	-0.077	2016-02-01	22:10:00	US/Eastern
EIS	2016-02-02 03:25:00	0.25	-0.019	0.144	1.869	0.152	-0.008	0.073	2.204	1	0.195	0.563	1.429	1.0	2.076	-0.015	2016-02-01	22:25:00	US/Eastern
