Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - ELD.txt

Data for: 2016-01-20 11:40:00 UTC - 2016-12-21 06:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
ELD	2016-01-20 11:40:00	-0.05	0.066	0.159	-0.734	-0.05	0.043	0.099	-0.941	1	2.279	2.719	-0.47	1.0	0.626	-0.471	2016-01-20	06:40:00	US/Eastern
ELD	2016-01-20 11:55:00	-0.05	0.066	0.159	-0.734	-0.049	0.043	0.099	-0.936	1	2.281	2.719	-0.471	1.0	0.626	-0.466	2016-01-20	06:55:00	US/Eastern
ELD	2016-01-20 12:10:00	-0.05	0.066	0.159	-0.734	-0.049	0.043	0.099	-0.931	1	2.283	2.718	-0.472	1.0	0.626	-0.461	2016-01-20	07:10:00	US/Eastern
ELD	2016-01-20 12:25:00	-0.05	0.066	0.159	-0.734	-0.048	0.043	0.099	-0.927	1	2.285	2.718	-0.473	1.0	0.626	-0.457	2016-01-20	07:25:00	US/Eastern
ELD	2016-01-20 12:40:00	-0.05	0.066	0.159	-0.734	-0.048	0.043	0.099	-0.922	1	2.288	2.718	-0.474	1.0	0.626	-0.452	2016-01-20	07:40:00	US/Eastern
ELD	2016-01-20 12:55:00	-0.05	0.066	0.159	-0.734	-0.047	0.043	0.099	-0.917	1	2.29	2.718	-0.475	1.0	0.626	0.005	2016-01-20	07:55:00	US/Eastern
ELD	2016-01-20 13:10:00	-0.05	0.066	0.159	-0.733	-0.047	0.043	0.099	-0.913	1	2.292	2.717	-0.475	1.0	0.626	0.009	2016-01-20	08:10:00	US/Eastern
ELD	2016-01-20 13:25:00	-0.05	0.066	0.159	-0.733	-0.046	0.043	0.099	-0.908	1	2.294	2.717	-0.476	1.0	0.626	0.014	2016-01-20	08:25:00	US/Eastern
ELD	2016-01-20 13:40:00	-0.05	0.066	0.159	-0.733	-0.046	0.043	0.099	-0.904	1	2.296	2.717	-0.477	1.0	0.626	0.018	2016-01-20	08:40:00	US/Eastern
ELD	2016-01-20 13:55:00	-0.05	0.066	0.159	-0.733	-0.045	0.043	0.099	-0.899	1	2.298	2.717	-0.478	1.0	0.626	0.023	2016-01-20	08:55:00	US/Eastern
ELD	2016-01-20 14:10:00	-0.05	0.066	0.159	-0.733	-0.045	0.043	0.099	-0.895	1	2.3	2.716	-0.479	1.0	0.51	0.004	2016-01-20	09:10:00	US/Eastern
ELD	2016-01-20 14:25:00	-0.05	0.066	0.159	-0.733	-0.045	0.043	0.099	-0.89	1	2.301	2.716	-0.479	1.0	0.51	0.009	2016-01-20	09:25:00	US/Eastern
ELD	2016-01-20 14:40:00	-0.05	0.066	0.159	-0.733	-0.044	0.043	0.099	-0.885	1	2.301	2.716	-0.479	1.0	0.51	0.014	2016-01-20	09:40:00	US/Eastern
ELD	2016-01-20 14:55:00	-0.05	0.066	0.159	-0.732	-0.044	0.043	0.099	-0.881	1	2.302	2.715	-0.479	1.0	0.51	0.018	2016-01-20	09:55:00	US/Eastern
ELD	2016-01-20 15:10:00	-0.05	0.066	0.159	-0.732	-0.043	0.043	0.099	-0.876	1	2.302	2.715	-0.48	1.0	0.51	0.023	2016-01-20	10:10:00	US/Eastern
ELD	2016-01-20 15:25:00	-0.05	0.066	0.159	-0.732	-0.043	0.043	0.099	-0.872	1	2.303	2.715	-0.48	1.0	0.51	0.005	2016-01-20	10:25:00	US/Eastern
ELD	2016-01-20 15:40:00	-0.05	0.066	0.159	-0.732	-0.042	0.043	0.099	-0.867	1	2.303	2.714	-0.48	1.0	0.51	0.009	2016-01-20	10:40:00	US/Eastern
ELD	2016-01-20 15:55:00	-0.05	0.066	0.159	-0.731	-0.042	0.043	0.099	-0.863	1	2.304	2.714	-0.48	1.0	0.51	0.013	2016-01-20	10:55:00	US/Eastern
ELD	2016-01-20 16:10:00	-0.05	0.066	0.159	-0.731	-0.041	0.043	0.099	-0.859	1	2.304	2.714	-0.481	1.0	0.51	0.018	2016-01-20	11:10:00	US/Eastern
ELD	2016-01-20 16:25:00	-0.05	0.066	0.159	-0.731	-0.041	0.043	0.099	-0.854	1	2.305	2.713	-0.481	1.0	0.51	0.022	2016-01-20	11:25:00	US/Eastern
ELD	2016-01-20 16:40:00	-0.05	0.066	0.159	-0.731	-0.041	0.043	0.099	-0.85	1	2.305	2.713	-0.481	1.0	0.51	0.004	2016-01-20	11:40:00	US/Eastern
ELD	2016-01-20 16:55:00	-0.05	0.066	0.159	-0.73	-0.04	0.043	0.099	-0.846	1	2.306	2.712	-0.481	1.0	0.51	0.009	2016-01-20	11:55:00	US/Eastern
ELD	2016-01-20 17:10:00	-0.05	0.066	0.159	-0.73	-0.04	0.043	0.099	-0.841	1	2.306	2.712	-0.482	1.0	0.51	0.013	2016-01-20	12:10:00	US/Eastern
ELD	2016-01-20 17:25:00	-0.05	0.066	0.159	-0.73	-0.039	0.043	0.099	-0.837	1	2.307	2.712	-0.482	1.0	0.51	0.017	2016-01-20	12:25:00	US/Eastern
ELD	2016-01-20 17:40:00	-0.05	0.066	0.159	-0.73	-0.039	0.043	0.099	-0.833	1	2.307	2.711	-0.482	1.0	0.51	0.021	2016-01-20	12:40:00	US/Eastern
ELD	2016-01-20 17:55:00	-0.05	0.066	0.159	-0.729	-0.038	0.043	0.099	-0.829	1	2.308	2.711	-0.482	1.0	0.51	0.004	2016-01-20	12:55:00	US/Eastern
ELD	2016-01-20 18:10:00	-0.05	0.066	0.159	-0.729	-0.038	0.043	0.099	-0.825	1	2.308	2.711	-0.483	1.0	0.51	0.008	2016-01-20	13:10:00	US/Eastern
ELD	2016-01-20 18:25:00	-0.05	0.066	0.159	-0.729	-0.038	0.043	0.099	-0.821	1	2.309	2.71	-0.483	1.0	0.51	0.012	2016-01-20	13:25:00	US/Eastern
ELD	2016-01-20 18:40:00	-0.05	0.066	0.159	-0.729	-0.037	0.043	0.099	-0.817	1	2.309	2.71	-0.483	1.0	0.51	0.016	2016-01-20	13:40:00	US/Eastern
ELD	2016-01-20 18:55:00	-0.05	0.066	0.159	-0.729	-0.037	0.043	0.099	-0.813	1	2.31	2.709	-0.483	1.0	0.51	0.02	2016-01-20	13:55:00	US/Eastern
ELD	2016-01-20 19:10:00	-0.05	0.066	0.159	-0.728	-0.037	0.043	0.099	-0.809	1	2.31	2.709	-0.484	1.0	0.51	0.004	2016-01-20	14:10:00	US/Eastern
ELD	2016-01-20 19:25:00	-0.05	0.066	0.159	-0.728	-0.036	0.043	0.099	-0.805	1	2.311	2.709	-0.484	1.0	0.51	0.008	2016-01-20	14:25:00	US/Eastern
ELD	2016-01-20 19:40:00	-0.05	0.066	0.159	-0.728	-0.036	0.043	0.099	-0.801	1	2.311	2.708	-0.484	1.0	0.51	0.012	2016-01-20	14:40:00	US/Eastern
ELD	2016-01-20 19:55:00	-0.05	0.066	0.159	-0.728	-0.035	0.043	0.099	-0.797	1	2.312	2.708	-0.484	1.0	0.51	0.015	2016-01-20	14:55:00	US/Eastern
ELD	2016-01-20 20:10:00	-0.05	0.066	0.159	-0.727	-0.035	0.043	0.099	-0.794	1	2.313	2.708	-0.485	1.0	0.51	0.019	2016-01-20	15:10:00	US/Eastern
ELD	2016-01-20 20:25:00	-0.05	0.066	0.159	-0.727	-0.035	0.043	0.099	-0.79	1	2.313	2.707	-0.485	1.0	0.51	0.004	2016-01-20	15:25:00	US/Eastern
ELD	2016-01-20 20:40:00	-0.05	0.066	0.159	-0.727	-0.034	0.043	0.099	-0.786	1	2.314	2.707	-0.485	1.0	0.51	0.007	2016-01-20	15:40:00	US/Eastern
