Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EMG.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EMG	2016-01-20 05:10:00	0.0	0.005	0.036	-0.139	0.0	0.002	0.021	-0.097	1	1.031	1.109	-0.028	1.0	1.221	0.0	2016-01-20	00:10:00	US/Eastern
EMG	2016-01-20 05:25:00	0.0	0.005	0.036	-0.139	0.0	0.002	0.021	-0.097	1	1.032	1.108	-0.029	1.0	1.221	0.0	2016-01-20	00:25:00	US/Eastern
EMG	2016-01-20 05:40:00	0.0	0.005	0.036	-0.139	0.0	0.002	0.021	-0.097	1	1.032	1.108	-0.029	1.0	1.221	0.0	2016-01-20	00:40:00	US/Eastern
EMG	2016-01-20 05:55:00	0.0	0.005	0.036	-0.139	0.0	0.002	0.021	-0.097	1	1.033	1.108	-0.03	1.0	1.221	0.0	2016-01-20	00:55:00	US/Eastern
EMG	2016-01-20 06:10:00	0.0	0.005	0.036	-0.139	0.0	0.002	0.021	-0.097	1	1.033	1.108	-0.03	1.0	1.221	0.0	2016-01-20	01:10:00	US/Eastern
EMG	2016-01-20 06:25:00	0.0	0.005	0.036	-0.139	0.0	0.002	0.021	-0.097	1	1.034	1.107	-0.031	1.0	1.221	0.0	2016-01-20	01:25:00	US/Eastern
EMG	2016-01-20 06:40:00	0.0	0.005	0.036	-0.139	0.0	0.002	0.021	-0.097	1	1.034	1.107	-0.031	1.0	1.221	0.0	2016-01-20	01:40:00	US/Eastern
EMG	2016-01-20 06:55:00	0.0	0.005	0.036	-0.139	0.0	0.002	0.021	-0.097	1	1.035	1.107	-0.032	1.0	1.221	0.0	2016-01-20	01:55:00	US/Eastern
EMG	2016-01-20 16:10:00	-0.1	0.0	0.043	-2.33	-0.099	-0.003	0.031	-3.141	1	1.05	1.099	-0.045	1.0	0.68	-3.045	2016-01-20	11:10:00	US/Eastern
EMG	2016-01-20 16:25:00	-0.1	0.0	0.043	-2.33	-0.098	-0.003	0.031	-3.127	1	1.05	1.099	-0.045	1.0	0.68	-3.03	2016-01-20	11:25:00	US/Eastern
EMG	2016-01-20 16:40:00	-0.1	0.0	0.043	-2.33	-0.097	-0.003	0.03	-3.112	1	1.05	1.099	-0.045	1.0	0.68	0.015	2016-01-20	11:40:00	US/Eastern
