Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EMLC.txt

Data for: 2016-01-23 01:10:00 UTC - 2016-12-31 18:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EMLC	2016-01-23 01:10:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	20:10:00	US/Eastern
EMLC	2016-01-23 01:25:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	20:25:00	US/Eastern
EMLC	2016-01-23 01:40:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	20:40:00	US/Eastern
EMLC	2016-01-23 01:55:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	20:55:00	US/Eastern
EMLC	2016-01-23 02:10:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	21:10:00	US/Eastern
EMLC	2016-01-23 02:25:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	21:25:00	US/Eastern
EMLC	2016-01-23 02:40:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	21:40:00	US/Eastern
EMLC	2016-01-23 02:55:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	21:55:00	US/Eastern
EMLC	2016-01-23 03:10:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	22:10:00	US/Eastern
EMLC	2016-01-23 03:25:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	22:25:00	US/Eastern
EMLC	2016-01-23 03:40:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	22:40:00	US/Eastern
EMLC	2016-01-23 03:55:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	22:55:00	US/Eastern
EMLC	2016-01-23 04:10:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	23:10:00	US/Eastern
EMLC	2016-01-23 04:25:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	23:25:00	US/Eastern
EMLC	2016-01-23 04:40:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	23:40:00	US/Eastern
EMLC	2016-01-23 04:55:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-22	23:55:00	US/Eastern
EMLC	2016-01-23 05:10:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-23	00:10:00	US/Eastern
EMLC	2016-01-23 05:25:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-23	00:25:00	US/Eastern
EMLC	2016-01-23 05:40:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-23	00:40:00	US/Eastern
EMLC	2016-01-23 05:55:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-23	00:55:00	US/Eastern
EMLC	2016-01-23 06:10:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-23	01:10:00	US/Eastern
EMLC	2016-01-23 06:25:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-23	01:25:00	US/Eastern
EMLC	2016-01-23 06:40:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-23	01:40:00	US/Eastern
EMLC	2016-01-23 06:55:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-23	01:55:00	US/Eastern
EMLC	2016-01-23 07:10:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-23	02:10:00	US/Eastern
EMLC	2016-01-23 07:25:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-23	02:25:00	US/Eastern
EMLC	2016-01-23 07:40:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-23	02:40:00	US/Eastern
EMLC	2016-01-23 07:55:00	0.0	-0.014	0.034	0.406	0.0	-0.006	0.014	0.408	1	0.2	0.41	1.949	1.0	2.425	0.0	2016-01-23	02:55:00	US/Eastern
