Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EPHE.txt

Data for: 2016-01-22 01:25:00 UTC - 2016-12-30 22:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EPHE	2016-01-22 01:25:00	0.1	-0.021	0.129	0.933	0.1	-0.011	0.08	1.398	1	0.377	0.676	0.922	1.0	1.703	1.18	2016-01-21	20:25:00	US/Eastern
EPHE	2016-01-22 01:40:00	0.1	-0.021	0.129	0.933	0.099	-0.011	0.079	1.387	1	0.376	0.676	0.922	1.0	1.703	1.169	2016-01-21	20:40:00	US/Eastern
EPHE	2016-01-22 01:55:00	0.1	-0.021	0.129	0.933	0.098	-0.011	0.079	1.376	1	0.376	0.676	0.923	1.0	1.703	1.159	2016-01-21	20:55:00	US/Eastern
EPHE	2016-01-22 02:10:00	0.1	-0.021	0.129	0.933	0.097	-0.012	0.079	1.365	1	0.375	0.676	0.924	1.0	1.703	1.148	2016-01-21	21:10:00	US/Eastern
EPHE	2016-01-22 02:25:00	0.1	-0.021	0.129	0.933	0.096	-0.012	0.079	1.355	1	0.374	0.676	0.925	1.0	1.703	-0.011	2016-01-21	21:25:00	US/Eastern
EPHE	2016-01-22 02:40:00	0.1	-0.021	0.129	0.933	0.095	-0.012	0.079	1.344	1	0.374	0.676	0.926	1.0	1.703	-0.021	2016-01-21	21:40:00	US/Eastern
EPHE	2016-01-22 02:55:00	0.1	-0.021	0.129	0.933	0.094	-0.012	0.079	1.333	1	0.373	0.676	0.927	1.0	1.703	-0.032	2016-01-21	21:55:00	US/Eastern
EPHE	2016-01-22 03:10:00	0.1	-0.021	0.129	0.933	0.093	-0.012	0.079	1.323	1	0.373	0.676	0.928	1.0	1.703	-0.043	2016-01-21	22:10:00	US/Eastern
EPHE	2016-01-22 03:25:00	0.1	-0.021	0.129	0.933	0.092	-0.012	0.079	1.312	1	0.372	0.676	0.929	1.0	1.703	-0.053	2016-01-21	22:25:00	US/Eastern
EPHE	2016-01-22 03:40:00	0.1	-0.021	0.129	0.933	0.091	-0.012	0.079	1.302	1	0.372	0.676	0.93	1.0	1.703	-0.01	2016-01-21	22:40:00	US/Eastern
EPHE	2016-01-22 03:55:00	0.1	-0.021	0.129	0.933	0.09	-0.012	0.079	1.292	1	0.371	0.675	0.931	1.0	1.703	-0.021	2016-01-21	22:55:00	US/Eastern
EPHE	2016-01-22 04:10:00	0.1	-0.021	0.129	0.933	0.089	-0.012	0.079	1.281	1	0.371	0.675	0.932	1.0	1.703	-0.031	2016-01-21	23:10:00	US/Eastern
EPHE	2016-01-22 04:25:00	0.1	-0.021	0.129	0.933	0.088	-0.012	0.079	1.271	1	0.37	0.675	0.933	1.0	1.703	-0.041	2016-01-21	23:25:00	US/Eastern
EPHE	2016-01-22 04:40:00	0.1	-0.021	0.129	0.933	0.087	-0.012	0.079	1.261	1	0.37	0.675	0.933	1.0	1.703	-0.051	2016-01-21	23:40:00	US/Eastern
EPHE	2016-01-22 04:55:00	0.1	-0.021	0.129	0.933	0.086	-0.012	0.079	1.251	1	0.369	0.675	0.934	1.0	1.703	-0.01	2016-01-21	23:55:00	US/Eastern
EPHE	2016-01-22 05:10:00	0.1	-0.021	0.129	0.933	0.085	-0.012	0.079	1.241	1	0.369	0.675	0.935	1.0	1.703	-0.02	2016-01-22	00:10:00	US/Eastern
EPHE	2016-01-22 05:25:00	0.1	-0.021	0.129	0.933	0.085	-0.012	0.078	1.232	1	0.368	0.675	0.936	1.0	1.703	-0.03	2016-01-22	00:25:00	US/Eastern
EPHE	2016-01-22 05:40:00	0.1	-0.021	0.129	0.933	0.084	-0.012	0.078	1.222	1	0.368	0.675	0.937	1.0	1.703	-0.039	2016-01-22	00:40:00	US/Eastern
EPHE	2016-01-22 05:55:00	0.1	-0.021	0.129	0.933	0.083	-0.012	0.078	1.212	1	0.367	0.675	0.938	1.0	1.703	-0.049	2016-01-22	00:55:00	US/Eastern
EPHE	2016-01-22 06:10:00	0.1	-0.021	0.129	0.933	0.082	-0.012	0.078	1.203	1	0.367	0.675	0.939	1.0	1.703	-0.01	2016-01-22	01:10:00	US/Eastern
EPHE	2016-01-22 06:25:00	0.1	-0.021	0.129	0.933	0.081	-0.012	0.078	1.193	1	0.366	0.674	0.94	1.0	1.703	-0.019	2016-01-22	01:25:00	US/Eastern
EPHE	2016-01-22 06:40:00	0.1	-0.021	0.129	0.933	0.08	-0.012	0.078	1.184	1	0.366	0.674	0.941	1.0	1.703	-0.028	2016-01-22	01:40:00	US/Eastern
EPHE	2016-01-22 06:55:00	0.1	-0.021	0.129	0.933	0.079	-0.012	0.078	1.174	1	0.365	0.674	0.942	1.0	1.703	-0.038	2016-01-22	01:55:00	US/Eastern
EPHE	2016-01-22 07:10:00	0.1	-0.021	0.129	0.933	0.079	-0.012	0.078	1.165	1	0.365	0.674	0.943	1.0	1.703	-0.047	2016-01-22	02:10:00	US/Eastern
EPHE	2016-01-22 07:25:00	0.1	-0.021	0.129	0.933	0.078	-0.012	0.078	1.156	1	0.364	0.674	0.944	1.0	1.703	-0.009	2016-01-22	02:25:00	US/Eastern
EPHE	2016-01-22 07:40:00	0.1	-0.021	0.129	0.933	0.077	-0.013	0.078	1.147	1	0.364	0.674	0.945	1.0	1.703	-0.018	2016-01-22	02:40:00	US/Eastern
EPHE	2016-01-22 07:55:00	0.1	-0.021	0.129	0.933	0.076	-0.013	0.078	1.138	1	0.363	0.674	0.945	1.0	1.703	-0.027	2016-01-22	02:55:00	US/Eastern
EPHE	2016-01-22 08:10:00	0.1	-0.021	0.129	0.933	0.075	-0.013	0.078	1.129	1	0.363	0.674	0.946	1.0	1.703	-0.036	2016-01-22	03:10:00	US/Eastern
EPHE	2016-01-22 08:25:00	0.1	-0.021	0.129	0.933	0.075	-0.013	0.078	1.12	1	0.362	0.674	0.947	1.0	1.703	-0.045	2016-01-22	03:25:00	US/Eastern
EPHE	2016-01-22 08:40:00	0.1	-0.021	0.129	0.933	0.074	-0.013	0.078	1.111	1	0.361	0.673	0.948	1.0	1.703	-0.009	2016-01-22	03:40:00	US/Eastern
EPHE	2016-01-22 08:55:00	0.1	-0.021	0.129	0.933	0.073	-0.013	0.078	1.103	1	0.361	0.673	0.949	1.0	1.703	-0.017	2016-01-22	03:55:00	US/Eastern
EPHE	2016-01-22 09:10:00	0.1	-0.021	0.129	0.933	0.072	-0.013	0.078	1.094	1	0.36	0.673	0.95	1.0	1.703	-0.026	2016-01-22	04:10:00	US/Eastern
EPHE	2016-01-22 09:25:00	0.1	-0.021	0.129	0.933	0.072	-0.013	0.078	1.085	1	0.36	0.673	0.951	1.0	1.703	-0.035	2016-01-22	04:25:00	US/Eastern
EPHE	2016-01-22 09:40:00	0.1	-0.021	0.129	0.933	0.071	-0.013	0.078	1.077	1	0.359	0.673	0.952	1.0	1.703	-0.043	2016-01-22	04:40:00	US/Eastern
EPHE	2016-01-22 09:55:00	0.1	-0.021	0.129	0.933	0.07	-0.013	0.078	1.069	1	0.359	0.673	0.953	1.0	1.703	-0.008	2016-01-22	04:55:00	US/Eastern
EPHE	2016-01-22 10:10:00	0.1	-0.021	0.129	0.933	0.069	-0.013	0.078	1.06	1	0.358	0.673	0.954	1.0	1.703	-0.017	2016-01-22	05:10:00	US/Eastern
EPHE	2016-01-22 10:25:00	0.1	-0.021	0.129	0.933	0.069	-0.013	0.078	1.052	1	0.358	0.673	0.955	1.0	1.703	-0.025	2016-01-22	05:25:00	US/Eastern
EPHE	2016-01-22 10:40:00	0.1	-0.021	0.129	0.933	0.068	-0.013	0.077	1.044	1	0.357	0.672	0.956	1.0	1.703	-0.033	2016-01-22	05:40:00	US/Eastern
EPHE	2016-01-22 10:55:00	0.1	-0.021	0.129	0.933	0.067	-0.013	0.077	1.036	1	0.357	0.672	0.957	1.0	1.703	-0.041	2016-01-22	05:55:00	US/Eastern
EPHE	2016-01-22 11:10:00	0.1	-0.021	0.129	0.933	0.067	-0.013	0.077	1.028	1	0.356	0.672	0.958	1.0	1.703	-0.008	2016-01-22	06:10:00	US/Eastern
EPHE	2016-01-22 11:25:00	0.1	-0.021	0.129	0.933	0.066	-0.013	0.077	1.02	1	0.356	0.672	0.959	1.0	1.703	-0.016	2016-01-22	06:25:00	US/Eastern
EPHE	2016-01-22 11:40:00	0.1	-0.021	0.129	0.933	0.065	-0.013	0.077	1.012	1	0.355	0.672	0.959	1.0	1.703	-0.024	2016-01-22	06:40:00	US/Eastern
EPHE	2016-01-22 11:55:00	0.1	-0.021	0.129	0.933	0.064	-0.013	0.077	1.004	1	0.355	0.672	0.96	1.0	1.703	-0.032	2016-01-22	06:55:00	US/Eastern
EPHE	2016-01-22 12:10:00	0.25	-0.013	0.141	1.872	0.214	-0.006	0.091	2.407	2	0.404	0.755	2.115	1.0	2.416	1.371	2016-01-22	07:10:00	US/Eastern
