Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EPP.txt

Data for: 2016-01-21 18:40:00 UTC - 2016-12-22 21:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EPP	2016-01-21 18:40:00	0.05	0.003	0.011	4.249	0.05	0.002	0.011	4.249	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	13:40:00	US/Eastern
EPP	2016-01-21 18:55:00	0.05	0.003	0.011	4.249	0.049	0.002	0.011	4.249	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	13:55:00	US/Eastern
EPP	2016-01-21 19:10:00	0.05	0.003	0.011	4.249	0.049	0.002	0.011	4.249	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	14:10:00	US/Eastern
EPP	2016-01-21 19:25:00	0.05	0.003	0.011	4.249	0.048	0.002	0.011	4.249	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	14:25:00	US/Eastern
EPP	2016-01-21 19:40:00	0.05	0.003	0.011	4.249	0.048	0.002	0.011	4.249	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	14:40:00	US/Eastern
EPP	2016-01-21 19:55:00	0.05	0.003	0.011	4.249	0.047	0.002	0.011	4.249	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	14:55:00	US/Eastern
EPP	2016-01-21 20:10:00	0.05	0.003	0.011	4.249	0.047	0.002	0.01	4.249	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	15:10:00	US/Eastern
EPP	2016-01-21 20:25:00	0.05	0.003	0.011	4.249	0.046	0.002	0.01	4.249	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	15:25:00	US/Eastern
EPP	2016-01-21 20:40:00	0.05	0.003	0.011	4.249	0.046	0.002	0.01	4.249	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	15:40:00	US/Eastern
EPP	2016-01-21 20:55:00	0.05	0.003	0.011	4.249	0.045	0.002	0.01	4.249	1	0.1	0.308	2.924	1.0	3.05	0.0	2016-01-21	15:55:00	US/Eastern
