Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EWH.txt

Data for: 2016-01-01 00:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EWH	2016-01-01 00:10:00	-0.25	-0.153	0.561	-0.173	-0.109	-0.098	0.44	-0.027	1	2.463	1.933	-0.757	1.0	0.497	0.003	2015-12-31	19:10:00	US/Eastern
EWH	2016-01-01 00:25:00	-0.25	-0.153	0.561	-0.172	-0.108	-0.098	0.44	-0.024	1	2.464	1.933	-0.758	1.0	0.497	0.003	2015-12-31	19:25:00	US/Eastern
EWH	2016-01-01 00:40:00	-0.25	-0.154	0.562	-0.171	-0.107	-0.098	0.44	-0.021	1	2.466	1.933	-0.758	1.0	0.497	0.003	2015-12-31	19:40:00	US/Eastern
EWH	2016-01-01 00:55:00	-0.25	-0.154	0.562	-0.171	-0.106	-0.098	0.44	-0.018	1	2.467	1.933	-0.759	1.0	0.497	0.003	2015-12-31	19:55:00	US/Eastern
EWH	2016-01-01 01:10:00	-0.25	-0.154	0.563	-0.17	-0.105	-0.098	0.44	-0.015	1	2.469	1.933	-0.76	1.0	0.497	0.003	2015-12-31	20:10:00	US/Eastern
EWH	2016-01-01 01:25:00	-0.25	-0.155	0.563	-0.169	-0.104	-0.098	0.441	-0.013	1	2.47	1.933	-0.761	1.0	0.497	0.003	2015-12-31	20:25:00	US/Eastern
EWH	2016-01-01 01:40:00	-0.25	-0.155	0.563	-0.168	-0.103	-0.098	0.441	-0.01	1	2.472	1.933	-0.761	1.0	0.497	0.003	2015-12-31	20:40:00	US/Eastern
EWH	2016-01-01 01:55:00	-0.25	-0.155	0.564	-0.168	-0.102	-0.098	0.441	-0.007	1	2.473	1.933	-0.762	1.0	0.497	0.003	2015-12-31	20:55:00	US/Eastern
EWH	2016-01-01 02:10:00	-0.25	-0.156	0.564	-0.167	-0.101	-0.098	0.441	-0.005	1	2.475	1.933	-0.763	1.0	0.497	0.003	2015-12-31	21:10:00	US/Eastern
EWH	2016-01-01 02:25:00	-0.25	-0.156	0.564	-0.166	-0.099	-0.099	0.441	-0.002	1	2.477	1.933	-0.764	1.0	0.497	0.003	2015-12-31	21:25:00	US/Eastern
EWH	2016-01-01 02:40:00	-0.25	-0.157	0.565	-0.165	-0.098	-0.099	0.441	0.001	1	2.478	1.933	-0.765	1.0	0.497	0.003	2015-12-31	21:40:00	US/Eastern
EWH	2016-01-01 02:55:00	-0.25	-0.157	0.565	-0.165	-0.097	-0.099	0.441	0.003	1	2.48	1.933	-0.765	1.0	0.497	0.003	2015-12-31	21:55:00	US/Eastern
EWH	2016-01-01 03:10:00	-0.25	-0.157	0.566	-0.164	-0.096	-0.099	0.441	0.006	1	2.481	1.933	-0.766	1.0	0.497	0.003	2015-12-31	22:10:00	US/Eastern
EWH	2016-01-01 03:25:00	-0.25	-0.158	0.566	-0.163	-0.095	-0.099	0.442	0.008	1	2.483	1.933	-0.767	1.0	0.497	0.003	2015-12-31	22:25:00	US/Eastern
EWH	2016-01-01 03:40:00	-0.25	-0.158	0.566	-0.162	-0.094	-0.099	0.442	0.011	1	2.484	1.933	-0.768	1.0	0.497	0.003	2015-12-31	22:40:00	US/Eastern
EWH	2016-01-01 03:55:00	-0.25	-0.158	0.567	-0.162	-0.093	-0.099	0.442	0.013	1	2.486	1.933	-0.769	1.0	0.497	0.002	2015-12-31	22:55:00	US/Eastern
EWH	2016-01-01 04:10:00	-0.25	-0.159	0.567	-0.161	-0.092	-0.099	0.442	0.016	1	2.488	1.933	-0.77	1.0	0.497	0.002	2015-12-31	23:10:00	US/Eastern
EWH	2016-01-01 07:25:00	0.0	-0.151	0.572	0.264	0.0	-0.097	0.444	0.218	1	2.508	1.933	-0.78	1.0	0.497	0.0	2016-01-01	02:25:00	US/Eastern
EWH	2016-01-01 07:40:00	0.0	-0.151	0.573	0.264	0.0	-0.097	0.444	0.219	2	2.559	1.905	-0.294	1.0	0.671	0.0	2016-01-01	02:40:00	US/Eastern
EWH	2016-01-01 07:55:00	0.0	-0.152	0.573	0.265	0.0	-0.097	0.445	0.219	2	2.561	1.905	-0.295	1.0	0.671	0.0	2016-01-01	02:55:00	US/Eastern
EWH	2016-01-01 08:10:00	0.0	-0.152	0.574	0.265	0.0	-0.097	0.445	0.219	2	2.563	1.905	-0.295	1.0	0.671	0.0	2016-01-01	03:10:00	US/Eastern
EWH	2016-01-01 08:25:00	0.0	-0.152	0.574	0.266	0.0	-0.098	0.445	0.219	2	2.564	1.905	-0.296	1.0	0.671	0.0	2016-01-01	03:25:00	US/Eastern
EWH	2016-01-01 08:40:00	0.0	-0.153	0.574	0.266	0.0	-0.098	0.445	0.22	2	2.566	1.904	-0.297	1.0	0.671	0.0	2016-01-01	03:40:00	US/Eastern
EWH	2016-01-01 08:55:00	0.0	-0.153	0.575	0.267	0.0	-0.098	0.445	0.22	2	2.567	1.904	-0.298	1.0	0.671	0.0	2016-01-01	03:55:00	US/Eastern
EWH	2016-01-01 09:10:00	0.25	-0.141	0.581	0.673	0.25	-0.086	0.452	0.742	3	2.619	1.902	0.2	1.0	1.399	0.522	2016-01-01	04:10:00	US/Eastern
EWH	2016-01-01 09:25:00	0.25	-0.141	0.582	0.673	0.247	-0.086	0.452	0.737	3	2.62	1.902	0.2	1.0	1.399	-0.005	2016-01-01	04:25:00	US/Eastern
EWH	2016-01-01 09:40:00	0.25	-0.142	0.582	0.673	0.244	-0.086	0.452	0.732	3	2.622	1.902	0.199	1.0	1.399	-0.005	2016-01-01	04:40:00	US/Eastern
EWH	2016-01-01 09:55:00	0.25	-0.142	0.582	0.673	0.242	-0.087	0.452	0.727	3	2.623	1.901	0.198	1.0	1.399	-0.005	2016-01-01	04:55:00	US/Eastern
EWH	2016-01-01 10:10:00	0.25	-0.143	0.583	0.674	0.239	-0.087	0.452	0.722	3	2.625	1.901	0.197	1.0	1.399	-0.005	2016-01-01	05:10:00	US/Eastern
EWH	2016-01-01 10:25:00	0.25	-0.143	0.583	0.674	0.237	-0.087	0.452	0.717	3	2.627	1.901	0.196	1.0	1.399	-0.005	2016-01-01	05:25:00	US/Eastern
EWH	2016-01-01 10:40:00	0.25	-0.143	0.583	0.674	0.234	-0.087	0.452	0.712	3	2.628	1.901	0.196	1.0	1.399	-0.005	2016-01-01	05:40:00	US/Eastern
EWH	2016-01-01 10:55:00	0.25	-0.144	0.584	0.674	0.232	-0.088	0.452	0.708	3	2.63	1.901	0.195	1.0	1.399	-0.005	2016-01-01	05:55:00	US/Eastern
EWH	2016-01-01 11:10:00	0.25	-0.144	0.584	0.674	0.23	-0.088	0.452	0.703	3	2.631	1.901	0.194	1.0	1.399	-0.005	2016-01-01	06:10:00	US/Eastern
EWH	2016-01-01 11:25:00	0.25	-0.144	0.585	0.675	0.227	-0.088	0.452	0.698	3	2.633	1.901	0.193	1.0	1.399	-0.005	2016-01-01	06:25:00	US/Eastern
