Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EWU.txt

Data for: 2016-01-04 10:25:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EWU	2016-01-04 10:25:00	-0.044	0.021	0.249	-0.26	-0.043	0.029	0.162	-0.447	1	1.123	1.417	-0.087	1.0	1.578	0.0	2016-01-04	05:25:00	US/Eastern
EWU	2016-01-04 10:40:00	-0.044	0.021	0.249	-0.26	-0.043	0.029	0.161	-0.444	1	1.122	1.417	-0.086	1.0	1.578	0.003	2016-01-04	05:40:00	US/Eastern
EWU	2016-01-04 10:55:00	-0.044	0.021	0.249	-0.259	-0.043	0.029	0.161	-0.441	1	1.12	1.416	-0.085	1.0	1.578	0.003	2016-01-04	05:55:00	US/Eastern
EWU	2016-01-04 11:10:00	-0.044	0.021	0.249	-0.259	-0.042	0.028	0.161	-0.438	1	1.119	1.416	-0.084	1.0	1.578	0.003	2016-01-04	06:10:00	US/Eastern
EWU	2016-01-04 11:25:00	-0.044	0.02	0.249	-0.258	-0.042	0.028	0.161	-0.435	1	1.117	1.415	-0.083	1.0	1.578	0.003	2016-01-04	06:25:00	US/Eastern
EWU	2016-01-04 11:40:00	-0.044	0.02	0.249	-0.257	-0.041	0.028	0.161	-0.431	1	1.116	1.415	-0.082	1.0	1.578	0.003	2016-01-04	06:40:00	US/Eastern
EWU	2016-01-04 11:55:00	-0.044	0.02	0.249	-0.257	-0.041	0.028	0.161	-0.428	1	1.114	1.415	-0.081	1.0	1.578	0.003	2016-01-04	06:55:00	US/Eastern
EWU	2016-01-04 12:10:00	-0.044	0.02	0.248	-0.256	-0.04	0.028	0.161	-0.425	1	1.113	1.414	-0.08	1.0	1.578	0.003	2016-01-04	07:10:00	US/Eastern
EWU	2016-01-04 12:25:00	-0.044	0.02	0.248	-0.256	-0.04	0.028	0.16	-0.422	1	1.111	1.414	-0.078	1.0	1.578	0.003	2016-01-04	07:25:00	US/Eastern
EWU	2016-01-04 12:40:00	-0.694	-0.013	0.295	-2.307	-0.689	-0.005	0.227	-3.019	2	1.159	1.427	0.589	1.0	1.971	-2.597	2016-01-04	07:40:00	US/Eastern
EWU	2016-01-04 12:55:00	-0.694	-0.013	0.295	-2.307	-0.682	-0.005	0.225	-3.005	2	1.158	1.426	0.59	1.0	1.971	0.014	2016-01-04	07:55:00	US/Eastern
EWU	2016-01-04 13:10:00	-0.694	-0.013	0.295	-2.308	-0.675	-0.005	0.224	-2.991	2	1.156	1.426	0.592	1.0	1.971	0.014	2016-01-04	08:10:00	US/Eastern
EWU	2016-01-04 13:25:00	-0.694	-0.013	0.295	-2.308	-0.668	-0.004	0.223	-2.977	2	1.155	1.426	0.593	1.0	1.971	0.014	2016-01-04	08:25:00	US/Eastern
EWU	2016-01-04 13:40:00	-0.694	-0.014	0.295	-2.308	-0.661	-0.004	0.222	-2.963	2	1.153	1.425	0.594	1.0	1.971	0.014	2016-01-04	08:40:00	US/Eastern
EWU	2016-01-04 13:55:00	-0.694	-0.014	0.295	-2.308	-0.654	-0.004	0.22	-2.949	2	1.152	1.425	0.595	1.0	1.971	0.014	2016-01-04	08:55:00	US/Eastern
EWU	2016-01-04 14:10:00	-0.694	-0.014	0.294	-2.309	-0.647	-0.004	0.219	-2.935	2	1.15	1.424	0.597	1.0	1.817	0.014	2016-01-04	09:10:00	US/Eastern
EWU	2016-01-04 14:25:00	-0.694	-0.014	0.295	-2.304	-0.641	-0.004	0.219	-2.911	2	1.151	1.425	0.596	1.0	1.817	0.023	2016-01-04	09:25:00	US/Eastern
EWU	2016-01-04 14:40:00	-0.694	-0.014	0.295	-2.3	-0.634	-0.004	0.218	-2.888	2	1.151	1.425	0.596	1.0	1.817	0.023	2016-01-04	09:40:00	US/Eastern
EWU	2016-01-04 14:55:00	-0.694	-0.015	0.296	-2.296	-0.627	-0.004	0.218	-2.865	2	1.152	1.425	0.595	1.0	1.817	0.023	2016-01-04	09:55:00	US/Eastern
EWU	2016-01-04 15:10:00	-0.694	-0.015	0.296	-2.292	-0.621	-0.004	0.217	-2.841	2	1.152	1.425	0.595	1.0	1.817	0.023	2016-01-04	10:10:00	US/Eastern
EWU	2016-01-04 15:25:00	-0.694	-0.015	0.297	-2.288	-0.614	-0.004	0.217	-2.818	2	1.153	1.425	0.595	1.0	1.817	0.023	2016-01-04	10:25:00	US/Eastern
