Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - FCV.txt

Data for: 2016-04-04 15:10:00 UTC - 2016-11-04 08:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
FCV	2016-04-04 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	11:10:00	US/Eastern
FCV	2016-04-04 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	11:25:00	US/Eastern
FCV	2016-04-04 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	11:40:00	US/Eastern
FCV	2016-04-04 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	11:55:00	US/Eastern
FCV	2016-04-04 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	12:10:00	US/Eastern
FCV	2016-04-04 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	12:25:00	US/Eastern
FCV	2016-04-04 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	12:40:00	US/Eastern
FCV	2016-04-04 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	12:55:00	US/Eastern
FCV	2016-04-04 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	13:10:00	US/Eastern
FCV	2016-04-04 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	13:25:00	US/Eastern
FCV	2016-04-04 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	13:40:00	US/Eastern
FCV	2016-04-04 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	13:55:00	US/Eastern
FCV	2016-04-04 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	14:10:00	US/Eastern
FCV	2016-04-04 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	14:25:00	US/Eastern
FCV	2016-04-04 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	14:40:00	US/Eastern
FCV	2016-04-04 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	14:55:00	US/Eastern
FCV	2016-04-04 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	15:10:00	US/Eastern
FCV	2016-04-04 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	15:25:00	US/Eastern
FCV	2016-04-04 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	15:40:00	US/Eastern
FCV	2016-04-04 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	15:55:00	US/Eastern
FCV	2016-04-04 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.956	0.0	2016-04-04	16:10:00	US/Eastern
