Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - FDIS.txt

Data for: 2016-01-21 06:25:00 UTC - 2016-12-31 01:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
FDIS	2016-01-21 06:25:00	0.1	0.0	0.055	1.811	0.099	0.0	0.037	2.641	1	0.316	0.662	1.033	1.0	1.79	2.485	2016-01-21	01:25:00	US/Eastern
FDIS	2016-01-21 06:40:00	0.1	0.0	0.055	1.811	0.098	0.0	0.037	2.625	1	0.316	0.662	1.034	1.0	1.79	2.469	2016-01-21	01:40:00	US/Eastern
FDIS	2016-01-21 06:55:00	0.1	0.0	0.055	1.811	0.097	0.0	0.037	2.609	1	0.315	0.662	1.035	1.0	1.79	2.453	2016-01-21	01:55:00	US/Eastern
FDIS	2016-01-21 07:10:00	0.1	0.0	0.055	1.811	0.096	0.0	0.037	2.592	1	0.315	0.661	1.036	1.0	1.79	2.437	2016-01-21	02:10:00	US/Eastern
FDIS	2016-01-21 07:25:00	0.1	0.0	0.055	1.811	0.095	0.0	0.037	2.576	1	0.314	0.661	1.037	1.0	1.79	2.421	2016-01-21	02:25:00	US/Eastern
FDIS	2016-01-21 07:40:00	0.1	0.0	0.055	1.811	0.094	0.0	0.037	2.56	1	0.314	0.661	1.038	1.0	1.79	-0.016	2016-01-21	02:40:00	US/Eastern
FDIS	2016-01-21 07:55:00	0.1	0.0	0.055	1.811	0.093	0.0	0.037	2.544	1	0.313	0.661	1.039	1.0	1.79	-0.032	2016-01-21	02:55:00	US/Eastern
FDIS	2016-01-21 08:10:00	0.1	0.0	0.055	1.811	0.092	0.0	0.037	2.528	1	0.313	0.661	1.04	1.0	1.79	-0.048	2016-01-21	03:10:00	US/Eastern
FDIS	2016-01-21 08:25:00	0.1	0.0	0.055	1.811	0.091	0.0	0.036	2.512	1	0.312	0.661	1.041	1.0	1.79	-0.065	2016-01-21	03:25:00	US/Eastern
FDIS	2016-01-21 08:40:00	0.1	0.0	0.055	1.811	0.091	0.0	0.036	2.496	1	0.311	0.661	1.042	1.0	1.79	-0.081	2016-01-21	03:40:00	US/Eastern
FDIS	2016-01-21 08:55:00	0.1	0.0	0.055	1.811	0.09	0.0	0.036	2.479	1	0.311	0.66	1.043	1.0	1.79	-0.016	2016-01-21	03:55:00	US/Eastern
FDIS	2016-01-21 09:10:00	0.1	0.0	0.055	1.811	0.089	0.0	0.036	2.463	1	0.31	0.66	1.045	1.0	1.79	-0.032	2016-01-21	04:10:00	US/Eastern
FDIS	2016-01-21 09:25:00	0.1	0.0	0.055	1.811	0.088	0.0	0.036	2.447	1	0.31	0.66	1.046	1.0	1.79	-0.048	2016-01-21	04:25:00	US/Eastern
FDIS	2016-01-21 09:40:00	0.1	0.0	0.055	1.811	0.087	0.0	0.036	2.431	1	0.309	0.66	1.047	1.0	1.79	-0.065	2016-01-21	04:40:00	US/Eastern
FDIS	2016-01-21 09:55:00	0.1	0.0	0.055	1.811	0.086	0.0	0.036	2.415	1	0.309	0.66	1.048	1.0	1.79	-0.081	2016-01-21	04:55:00	US/Eastern
FDIS	2016-01-21 10:10:00	0.1	0.0	0.055	1.811	0.085	0.0	0.036	2.399	1	0.308	0.66	1.049	1.0	1.79	-0.016	2016-01-21	05:10:00	US/Eastern
FDIS	2016-01-21 10:25:00	0.1	0.0	0.055	1.811	0.084	0.0	0.035	2.383	1	0.308	0.659	1.05	1.0	1.79	-0.032	2016-01-21	05:25:00	US/Eastern
FDIS	2016-01-21 10:40:00	0.1	0.0	0.055	1.811	0.083	0.0	0.035	2.366	1	0.307	0.659	1.051	1.0	1.79	-0.048	2016-01-21	05:40:00	US/Eastern
FDIS	2016-01-21 10:55:00	0.1	0.0	0.055	1.811	0.082	0.0	0.035	2.35	1	0.307	0.659	1.052	1.0	1.79	-0.064	2016-01-21	05:55:00	US/Eastern
FDIS	2016-01-21 11:10:00	0.1	0.0	0.055	1.811	0.082	0.0	0.035	2.334	1	0.306	0.659	1.053	1.0	1.79	-0.08	2016-01-21	06:10:00	US/Eastern
FDIS	2016-01-21 11:25:00	0.1	0.0	0.055	1.811	0.081	-0.001	0.035	2.318	1	0.306	0.659	1.054	1.0	1.79	-0.016	2016-01-21	06:25:00	US/Eastern
FDIS	2016-01-21 11:40:00	0.1	0.0	0.055	1.811	0.08	-0.001	0.035	2.302	1	0.305	0.659	1.055	1.0	1.79	-0.032	2016-01-21	06:40:00	US/Eastern
FDIS	2016-01-21 11:55:00	0.1	0.0	0.055	1.811	0.079	-0.001	0.035	2.286	1	0.305	0.658	1.056	1.0	1.79	-0.048	2016-01-21	06:55:00	US/Eastern
FDIS	2016-01-21 12:10:00	0.1	0.0	0.055	1.811	0.078	-0.001	0.035	2.27	1	0.304	0.658	1.057	1.0	1.79	-0.064	2016-01-21	07:10:00	US/Eastern
FDIS	2016-01-21 12:25:00	0.1	0.0	0.055	1.811	0.077	-0.001	0.035	2.255	1	0.304	0.658	1.058	1.0	1.79	-0.08	2016-01-21	07:25:00	US/Eastern
FDIS	2016-01-21 12:40:00	0.1	0.0	0.055	1.811	0.077	-0.001	0.035	2.239	1	0.303	0.658	1.059	1.0	1.79	-0.016	2016-01-21	07:40:00	US/Eastern
FDIS	2016-01-21 12:55:00	0.1	0.0	0.055	1.811	0.076	-0.001	0.034	2.223	1	0.303	0.658	1.06	1.0	1.79	-0.032	2016-01-21	07:55:00	US/Eastern
FDIS	2016-01-21 13:10:00	0.1	0.0	0.055	1.811	0.075	-0.001	0.034	2.207	1	0.302	0.658	1.061	1.0	1.79	-0.047	2016-01-21	08:10:00	US/Eastern
FDIS	2016-01-21 13:25:00	0.1	0.0	0.055	1.811	0.074	-0.001	0.034	2.191	1	0.302	0.657	1.062	1.0	1.79	-0.063	2016-01-21	08:25:00	US/Eastern
FDIS	2016-01-21 13:40:00	0.1	0.0	0.055	1.811	0.073	-0.001	0.034	2.176	1	0.301	0.657	1.063	1.0	1.79	-0.079	2016-01-21	08:40:00	US/Eastern
FDIS	2016-01-21 13:55:00	0.1	0.0	0.055	1.811	0.073	-0.001	0.034	2.16	1	0.301	0.657	1.064	1.0	1.79	-0.016	2016-01-21	08:55:00	US/Eastern
FDIS	2016-01-21 14:10:00	0.1	0.0	0.055	1.811	0.072	-0.001	0.034	2.144	1	0.3	0.657	1.066	1.0	1.761	-0.031	2016-01-21	09:10:00	US/Eastern
FDIS	2016-01-21 14:25:00	0.1	0.0	0.055	1.809	0.071	-0.001	0.034	2.125	1	0.301	0.657	1.064	1.0	1.761	-0.051	2016-01-21	09:25:00	US/Eastern
FDIS	2016-01-21 14:40:00	0.1	0.0	0.056	1.806	0.07	-0.001	0.034	2.106	1	0.301	0.657	1.063	1.0	1.761	-0.07	2016-01-21	09:40:00	US/Eastern
FDIS	2016-01-21 14:55:00	0.1	0.0	0.056	1.804	0.07	-0.001	0.034	2.086	1	0.302	0.657	1.062	1.0	1.761	-0.089	2016-01-21	09:55:00	US/Eastern
FDIS	2016-01-21 15:10:00	0.1	0.0	0.056	1.801	0.069	-0.001	0.034	2.067	1	0.302	0.658	1.061	1.0	1.761	-0.019	2016-01-21	10:10:00	US/Eastern
FDIS	2016-01-21 15:25:00	0.1	0.0	0.056	1.799	0.068	-0.001	0.034	2.048	1	0.303	0.658	1.06	1.0	1.761	-0.038	2016-01-21	10:25:00	US/Eastern
FDIS	2016-01-21 15:40:00	0.1	0.0	0.056	1.796	0.068	-0.001	0.034	2.029	1	0.303	0.658	1.059	1.0	1.761	-0.057	2016-01-21	10:40:00	US/Eastern
FDIS	2016-01-21 15:55:00	0.1	0.0	0.056	1.793	0.067	-0.001	0.034	2.01	1	0.304	0.658	1.058	1.0	1.761	-0.076	2016-01-21	10:55:00	US/Eastern
FDIS	2016-01-21 16:10:00	0.1	0.0	0.056	1.791	0.066	-0.001	0.034	1.991	1	0.304	0.658	1.057	1.0	1.761	-0.095	2016-01-21	11:10:00	US/Eastern
FDIS	2016-01-21 16:25:00	0.1	0.0	0.056	1.788	0.066	-0.001	0.034	1.973	1	0.305	0.658	1.056	1.0	1.761	-0.019	2016-01-21	11:25:00	US/Eastern
