Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - FNDA.txt

Data for: 2016-01-27 13:10:00 UTC - 2016-12-31 21:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
FNDA	2016-01-27 13:10:00	0.1	0.0	0.032	3.082	0.1	0.003	0.025	3.853	1	0.1	0.308	2.924	1.0	3.124	3.63	2016-01-27	08:10:00	US/Eastern
FNDA	2016-01-27 13:25:00	0.1	0.0	0.032	3.082	0.099	0.003	0.025	3.846	1	0.1	0.308	2.924	1.0	3.124	3.623	2016-01-27	08:25:00	US/Eastern
FNDA	2016-01-27 13:40:00	0.1	0.0	0.032	3.082	0.098	0.003	0.025	3.839	1	0.1	0.308	2.924	1.0	3.124	-0.007	2016-01-27	08:40:00	US/Eastern
FNDA	2016-01-27 13:55:00	0.1	0.0	0.032	3.082	0.097	0.002	0.025	3.832	1	0.1	0.308	2.924	1.0	3.124	-0.014	2016-01-27	08:55:00	US/Eastern
FNDA	2016-01-27 14:10:00	0.1	0.0	0.032	3.082	0.096	0.002	0.024	3.825	1	0.1	0.308	2.924	1.0	2.664	-0.022	2016-01-27	09:10:00	US/Eastern
FNDA	2016-01-27 14:25:00	0.1	0.0	0.033	3.073	0.095	0.002	0.024	3.8	1	0.101	0.309	2.916	1.0	2.664	-0.047	2016-01-27	09:25:00	US/Eastern
FNDA	2016-01-27 14:40:00	0.1	0.0	0.033	3.063	0.094	0.002	0.024	3.775	1	0.101	0.309	2.907	1.0	2.664	-0.072	2016-01-27	09:40:00	US/Eastern
FNDA	2016-01-27 14:55:00	0.1	0.0	0.033	3.054	0.093	0.002	0.024	3.749	1	0.102	0.31	2.899	1.0	2.664	-0.026	2016-01-27	09:55:00	US/Eastern
FNDA	2016-01-27 15:10:00	0.1	0.0	0.033	3.044	0.092	0.002	0.024	3.723	1	0.102	0.311	2.891	1.0	2.664	-0.052	2016-01-27	10:10:00	US/Eastern
FNDA	2016-01-27 15:25:00	0.1	0.0	0.033	3.035	0.091	0.002	0.024	3.696	1	0.103	0.311	2.883	1.0	2.664	-0.078	2016-01-27	10:25:00	US/Eastern
FNDA	2016-01-27 15:40:00	0.1	0.0	0.033	3.026	0.09	0.002	0.024	3.67	1	0.103	0.312	2.874	1.0	2.664	-0.105	2016-01-27	10:40:00	US/Eastern
