Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - GBF.txt

Data for: 2016-01-21 10:10:00 UTC - 2016-11-29 02:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
GBF	2016-01-21 10:10:00	0.0	0.02	0.068	-0.296	0.0	0.011	0.037	-0.295	1	0.35	0.587	1.107	1.0	1.878	0.0	2016-01-21	05:10:00	US/Eastern
GBF	2016-01-21 10:25:00	0.0	0.02	0.068	-0.296	0.0	0.011	0.037	-0.295	1	0.35	0.587	1.107	1.0	1.878	0.0	2016-01-21	05:25:00	US/Eastern
GBF	2016-01-21 10:40:00	0.0	0.02	0.068	-0.296	0.0	0.011	0.037	-0.295	1	0.35	0.587	1.107	1.0	1.878	0.0	2016-01-21	05:40:00	US/Eastern
GBF	2016-01-21 10:55:00	0.0	0.02	0.068	-0.296	0.0	0.011	0.037	-0.295	1	0.35	0.587	1.107	1.0	1.878	0.0	2016-01-21	05:55:00	US/Eastern
GBF	2016-01-21 11:10:00	0.0	0.02	0.068	-0.296	0.0	0.011	0.037	-0.295	1	0.35	0.587	1.107	1.0	1.878	0.0	2016-01-21	06:10:00	US/Eastern
GBF	2016-01-21 11:25:00	0.0	0.02	0.068	-0.296	0.0	0.011	0.037	-0.295	1	0.35	0.587	1.107	1.0	1.878	0.0	2016-01-21	06:25:00	US/Eastern
GBF	2016-01-21 11:40:00	0.0	0.02	0.068	-0.296	0.0	0.011	0.037	-0.295	1	0.35	0.587	1.107	1.0	1.878	0.0	2016-01-21	06:40:00	US/Eastern
GBF	2016-01-21 11:55:00	0.0	0.02	0.068	-0.296	0.0	0.011	0.037	-0.295	1	0.35	0.587	1.107	1.0	1.878	0.0	2016-01-21	06:55:00	US/Eastern
GBF	2016-01-21 12:10:00	0.0	0.02	0.068	-0.296	0.0	0.011	0.037	-0.295	1	0.35	0.587	1.107	1.0	1.878	0.0	2016-01-21	07:10:00	US/Eastern
GBF	2016-01-21 12:25:00	0.0	0.02	0.068	-0.296	0.0	0.011	0.037	-0.295	1	0.35	0.587	1.107	1.0	1.878	0.0	2016-01-21	07:25:00	US/Eastern
