Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - GLDX.txt

Data for: 2016-01-22 17:40:00 UTC - 2016-12-29 10:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
GLDX	2016-01-22 17:40:00	0.025	0.012	0.089	0.146	0.025	0.011	0.049	0.276	1	0.6	0.821	0.487	1.0	1.527	0.481	2016-01-22	12:40:00	US/Eastern
GLDX	2016-01-22 17:55:00	0.025	0.012	0.089	0.146	0.025	0.011	0.049	0.271	1	0.6	0.821	0.487	1.0	1.527	0.476	2016-01-22	12:55:00	US/Eastern
GLDX	2016-01-22 18:10:00	0.025	0.012	0.089	0.146	0.024	0.011	0.049	0.266	1	0.6	0.821	0.487	1.0	1.527	0.472	2016-01-22	13:10:00	US/Eastern
GLDX	2016-01-22 18:25:00	0.025	0.012	0.089	0.146	0.024	0.011	0.049	0.261	1	0.6	0.821	0.487	1.0	1.527	0.467	2016-01-22	13:25:00	US/Eastern
GLDX	2016-01-22 18:40:00	0.025	0.012	0.089	0.146	0.024	0.011	0.049	0.256	1	0.6	0.821	0.487	1.0	1.527	-0.005	2016-01-22	13:40:00	US/Eastern
GLDX	2016-01-22 18:55:00	0.025	0.012	0.089	0.146	0.024	0.011	0.049	0.251	1	0.6	0.821	0.487	1.0	1.527	-0.01	2016-01-22	13:55:00	US/Eastern
GLDX	2016-01-22 19:10:00	0.025	0.012	0.089	0.146	0.023	0.011	0.049	0.247	1	0.6	0.821	0.487	1.0	1.527	-0.014	2016-01-22	14:10:00	US/Eastern
GLDX	2016-01-22 19:25:00	0.025	0.012	0.089	0.146	0.023	0.011	0.049	0.242	1	0.6	0.821	0.487	1.0	1.527	-0.019	2016-01-22	14:25:00	US/Eastern
GLDX	2016-01-22 19:40:00	0.025	0.012	0.089	0.146	0.023	0.011	0.049	0.237	1	0.6	0.821	0.487	1.0	1.527	-0.024	2016-01-22	14:40:00	US/Eastern
GLDX	2016-01-22 19:55:00	0.025	0.012	0.089	0.146	0.023	0.011	0.049	0.233	1	0.6	0.821	0.487	1.0	1.527	-0.005	2016-01-22	14:55:00	US/Eastern
