Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - GRWN.txt

Data for: 2016-06-02 06:10:00 UTC - 2016-11-12 14:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
GRWN	2016-06-02 06:10:00	-0.05	-0.002	0.011	-4.249	-0.05	-0.002	0.011	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	02:10:00	US/Eastern
GRWN	2016-06-02 06:25:00	-0.05	-0.002	0.011	-4.249	-0.049	-0.002	0.011	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	02:25:00	US/Eastern
GRWN	2016-06-02 06:40:00	-0.05	-0.002	0.011	-4.249	-0.049	-0.002	0.011	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	02:40:00	US/Eastern
GRWN	2016-06-02 06:55:00	-0.05	-0.002	0.011	-4.249	-0.048	-0.002	0.011	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	02:55:00	US/Eastern
GRWN	2016-06-02 07:10:00	-0.05	-0.002	0.011	-4.249	-0.048	-0.002	0.011	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	03:10:00	US/Eastern
GRWN	2016-06-02 07:25:00	-0.05	-0.002	0.011	-4.249	-0.047	-0.002	0.011	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	03:25:00	US/Eastern
GRWN	2016-06-02 07:40:00	-0.05	-0.002	0.011	-4.249	-0.047	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	03:40:00	US/Eastern
GRWN	2016-06-02 07:55:00	-0.05	-0.002	0.011	-4.249	-0.046	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	03:55:00	US/Eastern
GRWN	2016-06-02 08:10:00	-0.05	-0.002	0.011	-4.249	-0.046	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	04:10:00	US/Eastern
GRWN	2016-06-02 08:25:00	-0.05	-0.002	0.011	-4.249	-0.046	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	04:25:00	US/Eastern
GRWN	2016-06-02 08:40:00	-0.05	-0.002	0.011	-4.249	-0.045	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	04:40:00	US/Eastern
GRWN	2016-06-02 08:55:00	-0.05	-0.002	0.011	-4.249	-0.045	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	04:55:00	US/Eastern
GRWN	2016-06-02 09:10:00	-0.05	-0.002	0.011	-4.249	-0.044	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	05:10:00	US/Eastern
GRWN	2016-06-02 09:25:00	-0.05	-0.002	0.011	-4.249	-0.044	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	05:25:00	US/Eastern
GRWN	2016-06-02 09:40:00	-0.05	-0.002	0.011	-4.249	-0.043	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	05:40:00	US/Eastern
GRWN	2016-06-02 09:55:00	-0.05	-0.002	0.011	-4.249	-0.043	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	05:55:00	US/Eastern
GRWN	2016-06-02 10:10:00	-0.05	-0.002	0.011	-4.249	-0.042	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	06:10:00	US/Eastern
GRWN	2016-06-02 10:25:00	-0.05	-0.002	0.011	-4.249	-0.042	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	06:25:00	US/Eastern
GRWN	2016-06-02 10:40:00	-0.05	-0.002	0.011	-4.249	-0.041	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.748	0.0	2016-06-02	06:40:00	US/Eastern
