Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - HAO.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-21 01:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
HAO	2016-01-20 05:10:00	-0.05	-0.028	0.064	-0.341	-0.029	-0.016	0.041	-0.304	1	0.55	0.759	0.593	1.0	1.75	0.035	2016-01-20	00:10:00	US/Eastern
HAO	2016-01-20 05:25:00	-0.05	-0.028	0.064	-0.341	-0.029	-0.016	0.041	-0.298	1	0.55	0.759	0.593	1.0	1.75	0.007	2016-01-20	00:25:00	US/Eastern
HAO	2016-01-20 05:40:00	-0.05	-0.028	0.064	-0.341	-0.028	-0.016	0.041	-0.291	1	0.55	0.759	0.593	1.0	1.75	0.014	2016-01-20	00:40:00	US/Eastern
HAO	2016-01-20 05:55:00	-0.05	-0.028	0.064	-0.341	-0.028	-0.016	0.041	-0.284	1	0.55	0.759	0.593	1.0	1.75	0.02	2016-01-20	00:55:00	US/Eastern
HAO	2016-01-20 06:10:00	-0.05	-0.028	0.064	-0.341	-0.028	-0.016	0.041	-0.277	1	0.55	0.759	0.593	1.0	1.75	0.027	2016-01-20	01:10:00	US/Eastern
HAO	2016-01-20 06:25:00	-0.05	-0.028	0.064	-0.341	-0.027	-0.016	0.041	-0.271	1	0.55	0.759	0.593	1.0	1.75	0.034	2016-01-20	01:25:00	US/Eastern
HAO	2016-01-20 06:40:00	-0.05	-0.028	0.064	-0.341	-0.027	-0.016	0.041	-0.264	1	0.55	0.759	0.593	1.0	1.75	0.007	2016-01-20	01:40:00	US/Eastern
HAO	2016-01-20 06:55:00	-0.05	-0.028	0.064	-0.341	-0.027	-0.016	0.041	-0.258	1	0.55	0.759	0.593	1.0	1.75	0.013	2016-01-20	01:55:00	US/Eastern
HAO	2016-01-20 07:10:00	-0.05	-0.028	0.064	-0.341	-0.027	-0.016	0.041	-0.251	1	0.55	0.759	0.593	1.0	1.75	0.019	2016-01-20	02:10:00	US/Eastern
HAO	2016-01-20 07:25:00	-0.05	-0.028	0.064	-0.341	-0.026	-0.016	0.041	-0.245	1	0.55	0.759	0.593	1.0	1.75	0.026	2016-01-20	02:25:00	US/Eastern
HAO	2016-01-20 07:40:00	-0.05	-0.028	0.064	-0.341	-0.026	-0.016	0.041	-0.239	1	0.55	0.759	0.593	1.0	1.75	0.032	2016-01-20	02:40:00	US/Eastern
HAO	2016-01-20 07:55:00	-0.05	-0.028	0.064	-0.341	-0.026	-0.016	0.041	-0.233	1	0.55	0.759	0.593	1.0	1.75	0.006	2016-01-20	02:55:00	US/Eastern
HAO	2016-01-20 08:10:00	-0.05	-0.028	0.064	-0.341	-0.026	-0.016	0.041	-0.226	1	0.55	0.759	0.593	1.0	1.75	0.012	2016-01-20	03:10:00	US/Eastern
HAO	2016-01-20 08:25:00	-0.05	-0.028	0.064	-0.341	-0.025	-0.016	0.041	-0.22	1	0.55	0.759	0.593	1.0	1.75	0.018	2016-01-20	03:25:00	US/Eastern
HAO	2016-01-20 08:40:00	-0.05	-0.028	0.064	-0.341	-0.025	-0.016	0.041	-0.214	1	0.55	0.759	0.593	1.0	1.75	0.024	2016-01-20	03:40:00	US/Eastern
HAO	2016-01-20 08:55:00	-0.05	-0.028	0.064	-0.341	-0.025	-0.016	0.041	-0.208	1	0.55	0.759	0.593	1.0	1.75	0.03	2016-01-20	03:55:00	US/Eastern
HAO	2016-01-20 09:10:00	-0.05	-0.028	0.064	-0.341	-0.024	-0.016	0.041	-0.202	1	0.55	0.759	0.593	1.0	1.75	0.006	2016-01-20	04:10:00	US/Eastern
HAO	2016-01-20 09:25:00	-0.05	-0.028	0.064	-0.341	-0.024	-0.016	0.041	-0.197	1	0.55	0.759	0.593	1.0	1.75	0.012	2016-01-20	04:25:00	US/Eastern
HAO	2016-01-20 09:40:00	-0.05	-0.028	0.064	-0.341	-0.024	-0.016	0.041	-0.191	1	0.55	0.759	0.593	1.0	1.75	0.018	2016-01-20	04:40:00	US/Eastern
HAO	2016-01-20 09:55:00	-0.05	-0.028	0.064	-0.341	-0.024	-0.016	0.041	-0.185	1	0.55	0.759	0.593	1.0	1.75	0.023	2016-01-20	04:55:00	US/Eastern
HAO	2016-01-20 10:10:00	-0.05	-0.028	0.064	-0.341	-0.023	-0.016	0.041	-0.179	1	0.55	0.759	0.593	1.0	1.75	0.029	2016-01-20	05:10:00	US/Eastern
HAO	2016-01-20 10:25:00	-0.05	-0.028	0.064	-0.341	-0.023	-0.016	0.041	-0.174	1	0.55	0.759	0.593	1.0	1.75	0.006	2016-01-20	05:25:00	US/Eastern
HAO	2016-01-20 10:40:00	-0.05	-0.028	0.064	-0.341	-0.023	-0.016	0.041	-0.168	1	0.55	0.759	0.593	1.0	1.75	0.011	2016-01-20	05:40:00	US/Eastern
HAO	2016-01-20 10:55:00	-0.05	-0.028	0.064	-0.341	-0.023	-0.016	0.041	-0.163	1	0.55	0.759	0.593	1.0	1.75	0.017	2016-01-20	05:55:00	US/Eastern
HAO	2016-01-20 11:10:00	-0.05	-0.028	0.064	-0.341	-0.023	-0.016	0.041	-0.157	1	0.55	0.759	0.593	1.0	1.75	0.022	2016-01-20	06:10:00	US/Eastern
HAO	2016-01-20 11:25:00	-0.05	-0.028	0.064	-0.341	-0.022	-0.016	0.041	-0.152	1	0.55	0.759	0.593	1.0	1.75	0.027	2016-01-20	06:25:00	US/Eastern
HAO	2016-01-20 11:40:00	-0.05	-0.028	0.064	-0.341	-0.022	-0.016	0.041	-0.147	1	0.55	0.759	0.593	1.0	1.75	0.005	2016-01-20	06:40:00	US/Eastern
HAO	2016-01-20 11:55:00	-0.05	-0.028	0.064	-0.341	-0.022	-0.016	0.041	-0.141	1	0.55	0.759	0.593	1.0	1.75	0.011	2016-01-20	06:55:00	US/Eastern
HAO	2016-01-20 12:10:00	-0.05	-0.028	0.064	-0.341	-0.022	-0.016	0.041	-0.136	1	0.55	0.759	0.593	1.0	1.75	0.016	2016-01-20	07:10:00	US/Eastern
HAO	2016-01-20 12:25:00	-0.05	-0.028	0.064	-0.341	-0.021	-0.016	0.041	-0.131	1	0.55	0.759	0.593	1.0	1.75	0.021	2016-01-20	07:25:00	US/Eastern
HAO	2016-01-20 12:40:00	-0.05	-0.028	0.064	-0.341	-0.021	-0.016	0.041	-0.126	1	0.55	0.759	0.593	1.0	1.75	0.026	2016-01-20	07:40:00	US/Eastern
HAO	2016-01-20 12:55:00	-0.05	-0.028	0.064	-0.341	-0.021	-0.016	0.041	-0.121	1	0.55	0.759	0.593	1.0	1.75	0.005	2016-01-20	07:55:00	US/Eastern
HAO	2016-01-20 13:10:00	-0.05	-0.028	0.064	-0.341	-0.021	-0.016	0.041	-0.116	1	0.55	0.759	0.593	1.0	1.75	0.01	2016-01-20	08:10:00	US/Eastern
HAO	2016-01-20 13:25:00	-0.05	-0.028	0.064	-0.341	-0.021	-0.016	0.041	-0.111	1	0.55	0.759	0.593	1.0	1.75	0.015	2016-01-20	08:25:00	US/Eastern
HAO	2016-01-20 13:40:00	-0.05	-0.028	0.064	-0.341	-0.02	-0.016	0.041	-0.106	1	0.55	0.759	0.593	1.0	1.75	0.02	2016-01-20	08:40:00	US/Eastern
