Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IAT.txt

Data for: 2016-01-21 17:25:00 UTC - 2016-12-28 22:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IAT	2016-01-21 17:25:00	0.1	-0.025	0.107	1.168	0.099	-0.01	0.054	2.044	1	0.3	0.571	1.225	1.0	1.924	1.719	2016-01-21	12:25:00	US/Eastern
IAT	2016-01-21 17:40:00	0.1	-0.025	0.107	1.168	0.098	-0.01	0.054	2.03	1	0.3	0.571	1.225	1.0	1.924	-0.014	2016-01-21	12:40:00	US/Eastern
IAT	2016-01-21 17:55:00	0.1	-0.025	0.107	1.168	0.097	-0.01	0.053	2.016	1	0.3	0.571	1.225	1.0	1.924	-0.028	2016-01-21	12:55:00	US/Eastern
IAT	2016-01-21 18:10:00	0.1	-0.025	0.107	1.168	0.096	-0.01	0.053	2.002	1	0.3	0.571	1.225	1.0	1.924	-0.042	2016-01-21	13:10:00	US/Eastern
IAT	2016-01-21 18:25:00	0.1	-0.025	0.107	1.168	0.095	-0.011	0.053	1.988	1	0.3	0.571	1.225	1.0	1.924	-0.056	2016-01-21	13:25:00	US/Eastern
IAT	2016-01-21 18:40:00	0.1	-0.025	0.107	1.168	0.094	-0.011	0.053	1.974	1	0.3	0.571	1.225	1.0	1.924	-0.07	2016-01-21	13:40:00	US/Eastern
IAT	2016-01-21 18:55:00	0.1	-0.025	0.107	1.168	0.093	-0.011	0.053	1.961	1	0.3	0.571	1.225	1.0	1.924	-0.014	2016-01-21	13:55:00	US/Eastern
IAT	2016-01-21 19:10:00	0.1	-0.025	0.107	1.168	0.092	-0.011	0.053	1.947	1	0.3	0.571	1.225	1.0	1.924	-0.027	2016-01-21	14:10:00	US/Eastern
IAT	2016-01-21 19:25:00	0.1	-0.025	0.107	1.168	0.091	-0.011	0.053	1.933	1	0.3	0.571	1.225	1.0	1.924	-0.041	2016-01-21	14:25:00	US/Eastern
IAT	2016-01-21 19:40:00	0.1	-0.025	0.107	1.168	0.09	-0.011	0.053	1.92	1	0.3	0.571	1.225	1.0	1.924	-0.055	2016-01-21	14:40:00	US/Eastern
IAT	2016-01-21 19:55:00	0.1	-0.025	0.107	1.168	0.089	-0.011	0.053	1.906	1	0.3	0.571	1.225	1.0	1.924	-0.068	2016-01-21	14:55:00	US/Eastern
IAT	2016-01-21 20:10:00	0.1	-0.025	0.107	1.168	0.089	-0.011	0.053	1.893	1	0.3	0.571	1.225	1.0	1.924	-0.013	2016-01-21	15:10:00	US/Eastern
IAT	2016-01-21 20:25:00	0.1	-0.025	0.107	1.168	0.088	-0.011	0.052	1.879	1	0.3	0.571	1.225	1.0	1.924	-0.027	2016-01-21	15:25:00	US/Eastern
IAT	2016-01-21 20:40:00	0.1	-0.025	0.107	1.168	0.087	-0.011	0.052	1.866	1	0.3	0.571	1.225	1.0	1.924	-0.04	2016-01-21	15:40:00	US/Eastern
IAT	2016-01-21 20:55:00	0.1	-0.025	0.107	1.168	0.086	-0.011	0.052	1.853	1	0.3	0.571	1.225	1.0	1.924	-0.053	2016-01-21	15:55:00	US/Eastern
IAT	2016-01-21 21:10:00	0.1	-0.025	0.107	1.168	0.085	-0.011	0.052	1.84	1	0.3	0.571	1.225	1.0	1.924	-0.066	2016-01-21	16:10:00	US/Eastern
IAT	2016-01-21 21:25:00	0.1	-0.025	0.107	1.168	0.084	-0.011	0.052	1.827	1	0.3	0.571	1.225	1.0	1.924	-0.013	2016-01-21	16:25:00	US/Eastern
IAT	2016-01-21 21:40:00	0.1	-0.025	0.107	1.168	0.083	-0.011	0.052	1.814	1	0.3	0.571	1.225	1.0	1.924	-0.026	2016-01-21	16:40:00	US/Eastern
IAT	2016-01-21 21:55:00	0.1	-0.025	0.107	1.168	0.082	-0.011	0.052	1.801	1	0.3	0.571	1.225	1.0	1.924	-0.039	2016-01-21	16:55:00	US/Eastern
IAT	2016-01-21 22:10:00	0.1	-0.025	0.107	1.168	0.081	-0.011	0.052	1.788	1	0.3	0.571	1.225	1.0	1.924	-0.052	2016-01-21	17:10:00	US/Eastern
