Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IEMG.txt

Data for: 2016-01-04 23:25:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IEMG	2016-01-04 23:25:00	0.0	-0.16	0.559	0.286	0.0	-0.074	0.292	0.253	1	0.942	1.602	0.036	1.0	1.44	0.0	2016-01-04	18:25:00	US/Eastern
IEMG	2016-01-04 23:40:00	0.25	-0.147	0.565	0.703	0.248	-0.061	0.3	1.031	2	0.991	1.619	0.623	1.0	1.841	0.778	2016-01-04	18:40:00	US/Eastern
IEMG	2016-01-04 23:55:00	0.25	-0.147	0.565	0.703	0.246	-0.062	0.3	1.024	2	0.989	1.619	0.625	1.0	1.841	-0.008	2016-01-04	18:55:00	US/Eastern
IEMG	2016-01-05 00:10:00	0.25	-0.147	0.565	0.703	0.243	-0.062	0.3	1.016	2	0.987	1.618	0.626	1.0	1.841	-0.008	2016-01-04	19:10:00	US/Eastern
IEMG	2016-01-05 00:25:00	0.25	-0.147	0.565	0.703	0.24	-0.062	0.3	1.009	2	0.986	1.618	0.627	1.0	1.841	-0.008	2016-01-04	19:25:00	US/Eastern
IEMG	2016-01-05 00:40:00	0.25	-0.147	0.565	0.703	0.238	-0.062	0.3	1.001	2	0.984	1.617	0.628	1.0	1.841	-0.007	2016-01-04	19:40:00	US/Eastern
IEMG	2016-01-05 00:55:00	0.25	-0.147	0.565	0.703	0.236	-0.062	0.299	0.994	2	0.983	1.617	0.629	1.0	1.841	-0.007	2016-01-04	19:55:00	US/Eastern
IEMG	2016-01-05 01:10:00	0.25	-0.147	0.565	0.703	0.233	-0.062	0.299	0.987	2	0.981	1.616	0.63	1.0	1.841	-0.007	2016-01-04	20:10:00	US/Eastern
IEMG	2016-01-05 01:25:00	0.25	-0.147	0.565	0.703	0.231	-0.062	0.299	0.979	2	0.98	1.615	0.632	1.0	1.841	-0.007	2016-01-04	20:25:00	US/Eastern
IEMG	2016-01-05 01:40:00	0.25	-0.147	0.565	0.703	0.228	-0.062	0.299	0.972	2	0.978	1.615	0.633	1.0	1.841	-0.007	2016-01-04	20:40:00	US/Eastern
IEMG	2016-01-05 01:55:00	0.25	-0.147	0.565	0.703	0.226	-0.063	0.299	0.965	2	0.977	1.614	0.634	1.0	1.841	-0.007	2016-01-04	20:55:00	US/Eastern
IEMG	2016-01-05 02:10:00	0.25	-0.147	0.565	0.703	0.224	-0.063	0.299	0.958	2	0.975	1.614	0.635	1.0	1.841	-0.007	2016-01-04	21:10:00	US/Eastern
IEMG	2016-01-05 02:25:00	0.25	-0.147	0.565	0.703	0.221	-0.063	0.299	0.951	2	0.973	1.613	0.636	1.0	1.841	-0.007	2016-01-04	21:25:00	US/Eastern
IEMG	2016-01-05 02:40:00	0.25	-0.147	0.565	0.703	0.219	-0.063	0.299	0.944	2	0.972	1.613	0.637	1.0	1.841	-0.007	2016-01-04	21:40:00	US/Eastern
IEMG	2016-01-05 02:55:00	0.25	-0.147	0.565	0.703	0.217	-0.063	0.299	0.937	2	0.97	1.612	0.639	1.0	1.841	-0.007	2016-01-04	21:55:00	US/Eastern
IEMG	2016-01-05 03:10:00	0.25	-0.147	0.565	0.703	0.214	-0.063	0.298	0.93	2	0.969	1.612	0.64	1.0	1.841	-0.007	2016-01-04	22:10:00	US/Eastern
IEMG	2016-01-05 03:25:00	0.25	-0.147	0.565	0.703	0.212	-0.063	0.298	0.924	2	0.967	1.611	0.641	1.0	1.841	-0.007	2016-01-04	22:25:00	US/Eastern
IEMG	2016-01-05 03:40:00	0.25	-0.147	0.565	0.703	0.21	-0.063	0.298	0.917	2	0.966	1.611	0.642	1.0	1.841	-0.007	2016-01-04	22:40:00	US/Eastern
IEMG	2016-01-05 03:55:00	0.25	-0.147	0.565	0.703	0.208	-0.063	0.298	0.91	2	0.964	1.61	0.643	1.0	1.841	-0.007	2016-01-04	22:55:00	US/Eastern
IEMG	2016-01-05 04:10:00	0.25	-0.147	0.565	0.703	0.206	-0.064	0.298	0.904	2	0.962	1.61	0.645	1.0	1.841	-0.007	2016-01-04	23:10:00	US/Eastern
IEMG	2016-01-05 04:25:00	0.25	-0.147	0.565	0.703	0.204	-0.064	0.298	0.897	2	0.961	1.609	0.646	1.0	1.841	-0.006	2016-01-04	23:25:00	US/Eastern
IEMG	2016-01-05 04:40:00	0.25	-0.147	0.565	0.703	0.201	-0.064	0.298	0.891	2	0.959	1.608	0.647	1.0	1.841	-0.006	2016-01-04	23:40:00	US/Eastern
IEMG	2016-01-05 04:55:00	0.25	-0.147	0.565	0.703	0.199	-0.064	0.298	0.884	2	0.958	1.608	0.648	1.0	1.841	-0.006	2016-01-04	23:55:00	US/Eastern
IEMG	2016-01-05 05:10:00	0.25	-0.147	0.565	0.703	0.197	-0.064	0.298	0.878	2	0.956	1.607	0.649	1.0	1.841	-0.006	2016-01-05	00:10:00	US/Eastern
IEMG	2016-01-05 05:25:00	0.25	-0.147	0.565	0.703	0.195	-0.064	0.297	0.872	2	0.955	1.607	0.651	1.0	1.841	-0.006	2016-01-05	00:25:00	US/Eastern
IEMG	2016-01-05 05:40:00	0.25	-0.147	0.565	0.703	0.193	-0.064	0.297	0.866	2	0.953	1.606	0.652	1.0	1.841	-0.006	2016-01-05	00:40:00	US/Eastern
IEMG	2016-01-05 05:55:00	0.25	-0.147	0.565	0.703	0.191	-0.064	0.297	0.86	2	0.952	1.606	0.653	1.0	1.841	-0.006	2016-01-05	00:55:00	US/Eastern
IEMG	2016-01-05 06:10:00	0.25	-0.147	0.565	0.703	0.189	-0.064	0.297	0.853	2	0.95	1.605	0.654	1.0	1.841	-0.006	2016-01-05	01:10:00	US/Eastern
IEMG	2016-01-05 06:25:00	0.25	-0.147	0.565	0.703	0.187	-0.065	0.297	0.847	2	0.948	1.605	0.655	1.0	1.841	-0.006	2016-01-05	01:25:00	US/Eastern
IEMG	2016-01-05 06:40:00	0.25	-0.147	0.565	0.703	0.185	-0.065	0.297	0.841	2	0.947	1.604	0.657	1.0	1.841	-0.006	2016-01-05	01:40:00	US/Eastern
IEMG	2016-01-05 06:55:00	0.25	-0.147	0.565	0.703	0.183	-0.065	0.297	0.836	2	0.945	1.603	0.658	1.0	1.841	-0.006	2016-01-05	01:55:00	US/Eastern
IEMG	2016-01-05 07:10:00	0.25	-0.147	0.565	0.703	0.182	-0.065	0.297	0.83	2	0.944	1.603	0.659	1.0	1.841	-0.006	2016-01-05	02:10:00	US/Eastern
IEMG	2016-01-05 07:25:00	0.25	-0.147	0.565	0.703	0.18	-0.065	0.297	0.824	2	0.942	1.602	0.66	1.0	1.841	-0.006	2016-01-05	02:25:00	US/Eastern
IEMG	2016-01-05 07:40:00	0.25	-0.147	0.565	0.703	0.178	-0.065	0.297	0.818	2	0.941	1.602	0.661	1.0	1.841	-0.006	2016-01-05	02:40:00	US/Eastern
IEMG	2016-01-05 07:55:00	0.25	-0.147	0.565	0.703	0.176	-0.065	0.297	0.813	2	0.939	1.601	0.663	1.0	1.841	-0.006	2016-01-05	02:55:00	US/Eastern
IEMG	2016-01-05 08:10:00	0.25	-0.147	0.565	0.703	0.174	-0.065	0.297	0.807	2	0.937	1.601	0.664	1.0	1.841	-0.006	2016-01-05	03:10:00	US/Eastern
IEMG	2016-01-05 08:25:00	0.25	-0.147	0.565	0.703	0.172	-0.065	0.296	0.801	2	0.936	1.6	0.665	1.0	1.841	-0.006	2016-01-05	03:25:00	US/Eastern
IEMG	2016-01-05 08:40:00	0.25	-0.147	0.565	0.703	0.171	-0.065	0.296	0.796	2	0.934	1.599	0.666	1.0	1.841	-0.006	2016-01-05	03:40:00	US/Eastern
IEMG	2016-01-05 08:55:00	0.25	-0.147	0.565	0.703	0.169	-0.065	0.296	0.79	2	0.933	1.599	0.668	1.0	1.841	-0.005	2016-01-05	03:55:00	US/Eastern
IEMG	2016-01-05 09:10:00	0.25	-0.147	0.565	0.703	0.167	-0.066	0.296	0.785	2	0.931	1.598	0.669	1.0	1.841	-0.005	2016-01-05	04:10:00	US/Eastern
IEMG	2016-01-05 09:25:00	0.25	-0.147	0.565	0.703	0.165	-0.066	0.296	0.78	2	0.93	1.598	0.67	1.0	1.841	-0.005	2016-01-05	04:25:00	US/Eastern
IEMG	2016-01-05 09:40:00	0.25	-0.147	0.565	0.703	0.164	-0.066	0.296	0.774	2	0.928	1.597	0.671	1.0	1.841	-0.005	2016-01-05	04:40:00	US/Eastern
IEMG	2016-01-05 09:55:00	0.25	-0.147	0.565	0.703	0.162	-0.066	0.296	0.769	2	0.927	1.596	0.672	1.0	1.841	-0.005	2016-01-05	04:55:00	US/Eastern
IEMG	2016-01-05 10:10:00	0.25	-0.147	0.565	0.703	0.16	-0.066	0.296	0.764	2	0.925	1.596	0.674	1.0	1.841	-0.005	2016-01-05	05:10:00	US/Eastern
IEMG	2016-01-05 10:25:00	0.25	-0.147	0.565	0.703	0.159	-0.066	0.296	0.759	2	0.923	1.595	0.675	1.0	1.841	-0.005	2016-01-05	05:25:00	US/Eastern
IEMG	2016-01-05 10:40:00	0.25	-0.147	0.565	0.703	0.157	-0.066	0.296	0.754	2	0.922	1.595	0.676	1.0	1.841	-0.005	2016-01-05	05:40:00	US/Eastern
IEMG	2016-01-05 10:55:00	0.25	-0.147	0.565	0.703	0.155	-0.066	0.296	0.748	2	0.92	1.594	0.677	1.0	1.841	-0.005	2016-01-05	05:55:00	US/Eastern
IEMG	2016-01-05 11:10:00	0.25	-0.147	0.565	0.703	0.154	-0.066	0.296	0.743	2	0.919	1.593	0.679	1.0	1.841	-0.005	2016-01-05	06:10:00	US/Eastern
