Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IGE.txt

Data for: 2016-01-20 23:10:00 UTC - 2016-10-30 00:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IGE	2016-01-20 23:10:00	0.2	0.015	0.049	3.78	0.199	0.013	0.045	4.1	1	0.15	0.366	2.32	1.0	2.614	4.324	2016-01-20	18:10:00	US/Eastern
IGE	2016-01-20 23:25:00	0.2	0.015	0.049	3.78	0.197	0.013	0.045	4.097	1	0.15	0.366	2.32	1.0	2.614	4.321	2016-01-20	18:25:00	US/Eastern
IGE	2016-01-20 23:40:00	0.2	0.015	0.049	3.78	0.195	0.012	0.045	4.094	1	0.15	0.366	2.32	1.0	2.614	4.317	2016-01-20	18:40:00	US/Eastern
IGE	2016-01-20 23:55:00	0.2	0.015	0.049	3.78	0.193	0.012	0.044	4.091	1	0.15	0.366	2.32	1.0	2.614	4.314	2016-01-20	18:55:00	US/Eastern
IGE	2016-01-21 00:10:00	0.2	0.015	0.049	3.78	0.191	0.012	0.044	4.088	1	0.15	0.366	2.32	1.0	2.614	-0.003	2016-01-20	19:10:00	US/Eastern
IGE	2016-01-21 00:25:00	0.2	0.015	0.049	3.78	0.189	0.012	0.043	4.084	1	0.15	0.366	2.32	1.0	2.614	-0.006	2016-01-20	19:25:00	US/Eastern
IGE	2016-01-21 00:40:00	0.2	0.015	0.049	3.78	0.187	0.012	0.043	4.081	1	0.15	0.366	2.32	1.0	2.614	-0.01	2016-01-20	19:40:00	US/Eastern
IGE	2016-01-21 00:55:00	0.2	0.015	0.049	3.78	0.185	0.012	0.042	4.078	1	0.15	0.366	2.32	1.0	2.614	-0.013	2016-01-20	19:55:00	US/Eastern
IGE	2016-01-21 01:10:00	0.2	0.015	0.049	3.78	0.183	0.012	0.042	4.074	1	0.15	0.366	2.32	1.0	2.614	-0.017	2016-01-20	20:10:00	US/Eastern
IGE	2016-01-21 01:25:00	0.2	0.015	0.049	3.78	0.181	0.012	0.042	4.071	1	0.15	0.366	2.32	1.0	2.614	-0.003	2016-01-20	20:25:00	US/Eastern
IGE	2016-01-21 01:40:00	0.2	0.015	0.049	3.78	0.179	0.012	0.041	4.067	1	0.15	0.366	2.32	1.0	2.614	-0.007	2016-01-20	20:40:00	US/Eastern
IGE	2016-01-21 01:55:00	0.2	0.015	0.049	3.78	0.177	0.012	0.041	4.064	1	0.15	0.366	2.32	1.0	2.614	-0.011	2016-01-20	20:55:00	US/Eastern
IGE	2016-01-21 02:10:00	0.2	0.015	0.049	3.78	0.176	0.011	0.04	4.06	1	0.15	0.366	2.32	1.0	2.614	-0.014	2016-01-20	21:10:00	US/Eastern
IGE	2016-01-21 02:25:00	0.2	0.015	0.049	3.78	0.174	0.011	0.04	4.056	1	0.15	0.366	2.32	1.0	2.614	-0.018	2016-01-20	21:25:00	US/Eastern
IGE	2016-01-21 02:40:00	0.2	0.015	0.049	3.78	0.172	0.011	0.04	4.052	1	0.15	0.366	2.32	1.0	2.614	-0.004	2016-01-20	21:40:00	US/Eastern
IGE	2016-01-21 02:55:00	0.2	0.015	0.049	3.78	0.17	0.011	0.039	4.048	1	0.15	0.366	2.32	1.0	2.614	-0.008	2016-01-20	21:55:00	US/Eastern
IGE	2016-01-21 03:10:00	0.2	0.015	0.049	3.78	0.168	0.011	0.039	4.044	1	0.15	0.366	2.32	1.0	2.614	-0.012	2016-01-20	22:10:00	US/Eastern
IGE	2016-01-21 03:25:00	0.2	0.015	0.049	3.78	0.167	0.011	0.039	4.04	1	0.15	0.366	2.32	1.0	2.614	-0.016	2016-01-20	22:25:00	US/Eastern
IGE	2016-01-21 03:40:00	0.2	0.015	0.049	3.78	0.165	0.011	0.038	4.036	1	0.15	0.366	2.32	1.0	2.614	-0.02	2016-01-20	22:40:00	US/Eastern
IGE	2016-01-21 03:55:00	0.2	0.015	0.049	3.78	0.163	0.011	0.038	4.032	1	0.15	0.366	2.32	1.0	2.614	-0.004	2016-01-20	22:55:00	US/Eastern
IGE	2016-01-21 04:10:00	0.2	0.015	0.049	3.78	0.161	0.011	0.037	4.028	1	0.15	0.366	2.32	1.0	2.614	-0.008	2016-01-20	23:10:00	US/Eastern
IGE	2016-01-21 04:25:00	0.2	0.015	0.049	3.78	0.16	0.011	0.037	4.023	1	0.15	0.366	2.32	1.0	2.614	-0.013	2016-01-20	23:25:00	US/Eastern
IGE	2016-01-21 04:40:00	0.2	0.015	0.049	3.78	0.158	0.011	0.037	4.019	1	0.15	0.366	2.32	1.0	2.614	-0.017	2016-01-20	23:40:00	US/Eastern
IGE	2016-01-21 04:55:00	0.2	0.015	0.049	3.78	0.157	0.01	0.036	4.014	1	0.15	0.366	2.32	1.0	2.614	-0.022	2016-01-20	23:55:00	US/Eastern
IGE	2016-01-21 05:10:00	0.2	0.015	0.049	3.78	0.155	0.01	0.036	4.01	1	0.15	0.366	2.32	1.0	2.614	-0.005	2016-01-21	00:10:00	US/Eastern
