Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - INDL.txt

Data for: 2016-01-20 10:40:00 UTC - 2016-12-31 13:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
INDL	2016-01-20 10:40:00	0.0	0.003	0.011	-0.224	0.0	0.001	0.007	-0.224	2	0.15	0.489	3.78	1.0	4.353	0.0	2016-01-20	05:40:00	US/Eastern
INDL	2016-01-20 10:55:00	0.0	0.003	0.011	-0.224	0.0	0.001	0.007	-0.224	2	0.15	0.489	3.78	1.0	4.353	0.0	2016-01-20	05:55:00	US/Eastern
INDL	2016-01-20 11:10:00	0.0	0.003	0.011	-0.224	0.0	0.001	0.007	-0.224	2	0.15	0.489	3.78	1.0	4.353	0.0	2016-01-20	06:10:00	US/Eastern
INDL	2016-01-20 11:25:00	0.0	0.003	0.011	-0.224	0.0	0.001	0.007	-0.224	2	0.15	0.489	3.78	1.0	4.353	0.0	2016-01-20	06:25:00	US/Eastern
INDL	2016-01-20 11:40:00	0.0	0.003	0.011	-0.224	0.0	0.001	0.007	-0.224	2	0.15	0.489	3.78	1.0	4.353	0.0	2016-01-20	06:40:00	US/Eastern
INDL	2016-01-20 11:55:00	0.0	0.003	0.011	-0.224	0.0	0.001	0.007	-0.224	2	0.15	0.489	3.78	1.0	4.353	0.0	2016-01-20	06:55:00	US/Eastern
INDL	2016-01-20 12:10:00	0.0	0.003	0.011	-0.224	0.0	0.001	0.007	-0.224	2	0.15	0.489	3.78	1.0	4.353	0.0	2016-01-20	07:10:00	US/Eastern
INDL	2016-01-20 12:25:00	0.0	0.003	0.011	-0.224	0.0	0.001	0.007	-0.224	2	0.15	0.489	3.78	1.0	4.353	0.0	2016-01-20	07:25:00	US/Eastern
INDL	2016-01-20 12:40:00	0.0	0.003	0.011	-0.224	0.0	0.001	0.007	-0.224	2	0.15	0.489	3.78	1.0	4.353	0.0	2016-01-20	07:40:00	US/Eastern
INDL	2016-01-20 12:55:00	0.0	0.003	0.011	-0.224	0.0	0.001	0.007	-0.224	2	0.15	0.489	3.78	1.0	4.353	0.0	2016-01-20	07:55:00	US/Eastern
