Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IPO.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IPO	2016-01-20 05:10:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.381	6.355	-0.217	0.6	0.795	0.0	2016-01-20	00:10:00	US/Eastern
IPO	2016-01-20 05:25:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.382	6.354	-0.217	0.6	0.795	0.0	2016-01-20	00:25:00	US/Eastern
IPO	2016-01-20 05:40:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.382	6.354	-0.218	0.6	0.795	0.0	2016-01-20	00:40:00	US/Eastern
IPO	2016-01-20 05:55:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.383	6.353	-0.218	0.6	0.795	0.0	2016-01-20	00:55:00	US/Eastern
IPO	2016-01-20 06:10:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.383	6.352	-0.218	0.6	0.795	0.0	2016-01-20	01:10:00	US/Eastern
IPO	2016-01-20 06:25:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.384	6.352	-0.218	0.6	0.795	0.0	2016-01-20	01:25:00	US/Eastern
IPO	2016-01-20 06:40:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.384	6.351	-0.218	0.6	0.795	0.0	2016-01-20	01:40:00	US/Eastern
IPO	2016-01-20 06:55:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.385	6.351	-0.218	0.6	0.795	0.0	2016-01-20	01:55:00	US/Eastern
IPO	2016-01-20 07:10:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.385	6.35	-0.218	0.6	0.795	0.0	2016-01-20	02:10:00	US/Eastern
IPO	2016-01-20 07:25:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.386	6.35	-0.218	0.6	0.795	0.0	2016-01-20	02:25:00	US/Eastern
IPO	2016-01-20 07:40:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.386	6.349	-0.218	0.6	0.795	0.0	2016-01-20	02:40:00	US/Eastern
IPO	2016-01-20 07:55:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.387	6.349	-0.218	0.6	0.795	0.0	2016-01-20	02:55:00	US/Eastern
IPO	2016-01-20 08:10:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.388	6.348	-0.219	0.6	0.795	0.0	2016-01-20	03:10:00	US/Eastern
IPO	2016-01-20 08:25:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.388	6.348	-0.219	0.6	0.795	0.0	2016-01-20	03:25:00	US/Eastern
IPO	2016-01-20 08:40:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.389	6.347	-0.219	0.6	0.795	0.0	2016-01-20	03:40:00	US/Eastern
IPO	2016-01-20 08:55:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.389	6.347	-0.219	0.6	0.795	0.0	2016-01-20	03:55:00	US/Eastern
IPO	2016-01-20 09:10:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.39	6.346	-0.219	0.6	0.795	0.0	2016-01-20	04:10:00	US/Eastern
IPO	2016-01-20 09:25:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.39	6.346	-0.219	0.6	0.795	0.0	2016-01-20	04:25:00	US/Eastern
IPO	2016-01-20 09:40:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.391	6.345	-0.219	0.6	0.795	0.0	2016-01-20	04:40:00	US/Eastern
IPO	2016-01-20 09:55:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.391	6.345	-0.219	0.6	0.795	0.0	2016-01-20	04:55:00	US/Eastern
IPO	2016-01-20 10:10:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.392	6.344	-0.219	0.6	0.795	0.0	2016-01-20	05:10:00	US/Eastern
IPO	2016-01-20 10:25:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.392	6.344	-0.219	0.6	0.795	0.0	2016-01-20	05:25:00	US/Eastern
IPO	2016-01-20 10:40:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.393	6.343	-0.22	0.6	0.795	0.0	2016-01-20	05:40:00	US/Eastern
IPO	2016-01-20 10:55:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.393	6.343	-0.22	0.6	0.795	0.0	2016-01-20	05:55:00	US/Eastern
IPO	2016-01-20 11:10:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.394	6.342	-0.22	0.6	0.795	0.0	2016-01-20	06:10:00	US/Eastern
IPO	2016-01-20 11:25:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.394	6.342	-0.22	0.6	0.795	0.0	2016-01-20	06:25:00	US/Eastern
IPO	2016-01-20 11:40:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.395	6.341	-0.22	0.6	0.795	0.0	2016-01-20	06:40:00	US/Eastern
IPO	2016-01-20 11:55:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.395	6.341	-0.22	0.6	0.795	0.0	2016-01-20	06:55:00	US/Eastern
IPO	2016-01-20 12:10:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.396	6.34	-0.22	0.6	0.795	0.0	2016-01-20	07:10:00	US/Eastern
IPO	2016-01-20 12:25:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.396	6.34	-0.22	0.6	0.795	0.0	2016-01-20	07:25:00	US/Eastern
IPO	2016-01-20 12:40:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.397	6.339	-0.22	0.6	0.795	0.0	2016-01-20	07:40:00	US/Eastern
IPO	2016-01-20 12:55:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.397	6.339	-0.22	0.6	0.795	0.0	2016-01-20	07:55:00	US/Eastern
IPO	2016-01-20 13:10:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.398	6.338	-0.221	0.6	0.795	0.0	2016-01-20	08:10:00	US/Eastern
IPO	2016-01-20 13:25:00	0.0	0.073	0.322	-0.227	0.0	0.05	0.18	-0.276	5	6.398	6.338	-0.221	0.6	0.795	0.0	2016-01-20	08:25:00	US/Eastern
IPO	2016-01-20 13:40:00	0.1	0.078	0.322	0.068	0.099	0.055	0.18	0.249	6	6.449	6.33	-0.071	0.667	1.186	0.526	2016-01-20	08:40:00	US/Eastern
IPO	2016-01-20 13:55:00	0.1	0.078	0.322	0.068	0.098	0.055	0.18	0.244	6	6.449	6.329	-0.071	0.667	1.186	0.52	2016-01-20	08:55:00	US/Eastern
