Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IPS.txt

Data for: 2016-01-25 14:40:00 UTC - 2016-10-22 09:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IPS	2016-01-25 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	09:40:00	US/Eastern
IPS	2016-01-25 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	09:55:00	US/Eastern
IPS	2016-01-25 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	10:10:00	US/Eastern
IPS	2016-01-25 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	10:25:00	US/Eastern
IPS	2016-01-25 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	10:40:00	US/Eastern
IPS	2016-01-25 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	10:55:00	US/Eastern
IPS	2016-01-25 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	11:10:00	US/Eastern
IPS	2016-01-25 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	11:25:00	US/Eastern
IPS	2016-01-25 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	11:40:00	US/Eastern
IPS	2016-01-25 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	11:55:00	US/Eastern
