Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - IWS.txt

Data for: 2016-01-01 00:10:00 UTC - 2016-12-31 05:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
IWS	2016-01-01 00:10:00	0.625	0.18	0.271	1.645	0.45	0.09	0.139	2.581	2	1.0	1.076	0.929	1.0	1.9	-0.02	2015-12-31	19:10:00	US/Eastern
IWS	2016-01-01 00:25:00	0.625	0.18	0.271	1.645	0.445	0.09	0.139	2.561	2	1.0	1.076	0.929	1.0	1.9	-0.02	2015-12-31	19:25:00	US/Eastern
IWS	2016-01-01 00:40:00	0.625	0.18	0.271	1.644	0.441	0.09	0.138	2.54	2	1.0	1.076	0.929	1.0	1.9	-0.02	2015-12-31	19:40:00	US/Eastern
IWS	2016-01-01 00:55:00	0.625	0.18	0.271	1.644	0.436	0.09	0.138	2.52	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	19:55:00	US/Eastern
IWS	2016-01-01 01:10:00	0.625	0.18	0.271	1.644	0.432	0.089	0.137	2.499	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	20:10:00	US/Eastern
IWS	2016-01-01 01:25:00	0.625	0.18	0.271	1.644	0.427	0.089	0.136	2.478	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	20:25:00	US/Eastern
IWS	2016-01-01 01:40:00	0.625	0.18	0.271	1.643	0.423	0.089	0.136	2.458	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	20:40:00	US/Eastern
IWS	2016-01-01 01:55:00	0.625	0.18	0.271	1.643	0.418	0.089	0.135	2.437	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	20:55:00	US/Eastern
IWS	2016-01-01 02:10:00	0.625	0.18	0.271	1.643	0.414	0.089	0.135	2.416	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	21:10:00	US/Eastern
IWS	2016-01-01 02:25:00	0.625	0.18	0.271	1.643	0.41	0.089	0.134	2.395	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	21:25:00	US/Eastern
IWS	2016-01-01 02:40:00	0.625	0.18	0.271	1.642	0.406	0.088	0.134	2.374	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	21:40:00	US/Eastern
IWS	2016-01-01 02:55:00	0.625	0.18	0.271	1.642	0.401	0.088	0.133	2.353	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	21:55:00	US/Eastern
IWS	2016-01-01 03:10:00	0.625	0.181	0.271	1.642	0.397	0.088	0.133	2.333	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	22:10:00	US/Eastern
IWS	2016-01-01 03:25:00	0.625	0.181	0.271	1.641	0.393	0.088	0.132	2.312	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	22:25:00	US/Eastern
IWS	2016-01-01 03:40:00	0.625	0.181	0.271	1.641	0.389	0.088	0.132	2.291	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	22:40:00	US/Eastern
IWS	2016-01-01 03:55:00	0.625	0.181	0.271	1.641	0.385	0.087	0.131	2.27	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	22:55:00	US/Eastern
IWS	2016-01-01 04:10:00	0.625	0.181	0.271	1.641	0.381	0.087	0.131	2.248	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	23:10:00	US/Eastern
IWS	2016-01-01 04:25:00	0.625	0.181	0.271	1.64	0.377	0.087	0.13	2.227	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	23:25:00	US/Eastern
IWS	2016-01-01 04:40:00	0.625	0.181	0.271	1.64	0.373	0.087	0.13	2.206	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	23:40:00	US/Eastern
IWS	2016-01-01 04:55:00	0.625	0.181	0.271	1.64	0.369	0.087	0.129	2.185	2	1.0	1.076	0.929	1.0	1.9	-0.021	2015-12-31	23:55:00	US/Eastern
IWS	2016-01-01 05:10:00	0.625	0.181	0.271	1.639	0.365	0.087	0.129	2.164	2	1.0	1.076	0.929	1.0	1.9	-0.021	2016-01-01	00:10:00	US/Eastern
IWS	2016-01-01 05:25:00	0.625	0.181	0.271	1.639	0.362	0.087	0.128	2.143	2	1.0	1.076	0.929	1.0	1.9	-0.021	2016-01-01	00:25:00	US/Eastern
IWS	2016-01-01 05:40:00	0.625	0.181	0.271	1.639	0.358	0.086	0.128	2.122	2	1.0	1.076	0.929	1.0	1.9	-0.021	2016-01-01	00:40:00	US/Eastern
IWS	2016-01-01 05:55:00	0.625	0.181	0.271	1.639	0.354	0.086	0.128	2.101	2	1.0	1.076	0.929	1.0	1.9	-0.021	2016-01-01	00:55:00	US/Eastern
