Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - JXI.txt

Data for: 2016-01-27 22:55:00 UTC - 2016-12-23 22:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
JXI	2016-01-27 22:55:00	0.05	0.004	0.012	3.78	0.05	0.004	0.012	3.779	1	0.2	0.41	1.949	1.0	2.435	4.003	2016-01-27	17:55:00	US/Eastern
JXI	2016-01-27 23:10:00	0.05	0.004	0.012	3.78	0.049	0.004	0.012	3.771	1	0.2	0.41	1.949	1.0	2.435	3.994	2016-01-27	18:10:00	US/Eastern
JXI	2016-01-27 23:25:00	0.05	0.004	0.012	3.78	0.049	0.004	0.012	3.762	1	0.2	0.41	1.949	1.0	2.435	3.986	2016-01-27	18:25:00	US/Eastern
JXI	2016-01-27 23:40:00	0.05	0.004	0.012	3.78	0.048	0.004	0.012	3.753	1	0.2	0.41	1.949	1.0	2.435	-0.009	2016-01-27	18:40:00	US/Eastern
JXI	2016-01-27 23:55:00	0.05	0.004	0.012	3.78	0.048	0.004	0.012	3.744	1	0.2	0.41	1.949	1.0	2.435	-0.018	2016-01-27	18:55:00	US/Eastern
JXI	2016-01-28 00:10:00	0.05	0.004	0.012	3.78	0.047	0.004	0.012	3.735	1	0.2	0.41	1.949	1.0	2.435	-0.027	2016-01-27	19:10:00	US/Eastern
JXI	2016-01-28 00:25:00	0.05	0.004	0.012	3.78	0.047	0.004	0.012	3.726	1	0.2	0.41	1.949	1.0	2.435	-0.036	2016-01-27	19:25:00	US/Eastern
JXI	2016-01-28 00:40:00	0.05	0.004	0.012	3.78	0.046	0.004	0.012	3.717	1	0.2	0.41	1.949	1.0	2.435	-0.045	2016-01-27	19:40:00	US/Eastern
JXI	2016-01-28 00:55:00	0.05	0.004	0.012	3.78	0.046	0.004	0.011	3.708	1	0.2	0.41	1.949	1.0	2.435	-0.009	2016-01-27	19:55:00	US/Eastern
JXI	2016-01-28 01:10:00	0.05	0.004	0.012	3.78	0.045	0.004	0.011	3.698	1	0.2	0.41	1.949	1.0	2.435	-0.019	2016-01-27	20:10:00	US/Eastern
JXI	2016-01-28 01:25:00	0.05	0.004	0.012	3.78	0.045	0.003	0.011	3.688	1	0.2	0.41	1.949	1.0	2.435	-0.029	2016-01-27	20:25:00	US/Eastern
JXI	2016-01-28 01:40:00	0.05	0.004	0.012	3.78	0.044	0.003	0.011	3.678	1	0.2	0.41	1.949	1.0	2.435	-0.038	2016-01-27	20:40:00	US/Eastern
JXI	2016-01-28 01:55:00	0.05	0.004	0.012	3.78	0.044	0.003	0.011	3.669	1	0.2	0.41	1.949	1.0	2.435	-0.048	2016-01-27	20:55:00	US/Eastern
JXI	2016-01-28 02:10:00	0.05	0.004	0.012	3.78	0.044	0.003	0.011	3.658	1	0.2	0.41	1.949	1.0	2.435	-0.01	2016-01-27	21:10:00	US/Eastern
JXI	2016-01-28 02:25:00	0.05	0.004	0.012	3.78	0.043	0.003	0.011	3.648	1	0.2	0.41	1.949	1.0	2.435	-0.02	2016-01-27	21:25:00	US/Eastern
JXI	2016-01-28 02:40:00	0.05	0.004	0.012	3.78	0.043	0.003	0.011	3.638	1	0.2	0.41	1.949	1.0	2.435	-0.031	2016-01-27	21:40:00	US/Eastern
JXI	2016-01-28 02:55:00	0.05	0.004	0.012	3.78	0.042	0.003	0.011	3.627	1	0.2	0.41	1.949	1.0	2.435	-0.041	2016-01-27	21:55:00	US/Eastern
JXI	2016-01-28 03:10:00	0.05	0.004	0.012	3.78	0.042	0.003	0.011	3.617	1	0.2	0.41	1.949	1.0	2.435	-0.052	2016-01-27	22:10:00	US/Eastern
JXI	2016-01-28 03:25:00	0.05	0.004	0.012	3.78	0.041	0.003	0.011	3.606	1	0.2	0.41	1.949	1.0	2.435	-0.011	2016-01-27	22:25:00	US/Eastern
JXI	2016-01-28 03:40:00	0.05	0.004	0.012	3.78	0.041	0.003	0.01	3.595	1	0.2	0.41	1.949	1.0	2.435	-0.022	2016-01-27	22:40:00	US/Eastern
JXI	2016-01-28 03:55:00	0.05	0.004	0.012	3.78	0.04	0.003	0.01	3.584	1	0.2	0.41	1.949	1.0	2.435	-0.033	2016-01-27	22:55:00	US/Eastern
JXI	2016-01-28 04:10:00	0.05	0.004	0.012	3.78	0.04	0.003	0.01	3.573	1	0.2	0.41	1.949	1.0	2.435	-0.044	2016-01-27	23:10:00	US/Eastern
JXI	2016-01-28 04:25:00	0.05	0.004	0.012	3.78	0.04	0.003	0.01	3.561	1	0.2	0.41	1.949	1.0	2.435	-0.055	2016-01-27	23:25:00	US/Eastern
JXI	2016-01-28 04:40:00	0.05	0.004	0.012	3.78	0.039	0.003	0.01	3.55	1	0.2	0.41	1.949	1.0	2.435	-0.011	2016-01-27	23:40:00	US/Eastern
JXI	2016-01-28 04:55:00	0.05	0.004	0.012	3.78	0.039	0.003	0.01	3.538	1	0.2	0.41	1.949	1.0	2.435	-0.023	2016-01-27	23:55:00	US/Eastern
JXI	2016-01-28 05:10:00	0.05	0.004	0.012	3.78	0.038	0.003	0.01	3.527	1	0.2	0.41	1.949	1.0	2.435	-0.035	2016-01-28	00:10:00	US/Eastern
JXI	2016-01-28 05:25:00	0.05	0.004	0.012	3.78	0.038	0.003	0.01	3.515	1	0.2	0.41	1.949	1.0	2.435	-0.047	2016-01-28	00:25:00	US/Eastern
JXI	2016-01-28 05:40:00	0.05	0.004	0.012	3.78	0.038	0.003	0.01	3.503	1	0.2	0.41	1.949	1.0	2.435	-0.059	2016-01-28	00:40:00	US/Eastern
JXI	2016-01-28 05:55:00	0.05	0.004	0.012	3.78	0.037	0.003	0.01	3.49	1	0.2	0.41	1.949	1.0	2.435	-0.012	2016-01-28	00:55:00	US/Eastern
JXI	2016-01-28 06:10:00	0.05	0.004	0.012	3.78	0.037	0.003	0.01	3.478	1	0.2	0.41	1.949	1.0	2.435	-0.025	2016-01-28	01:10:00	US/Eastern
JXI	2016-01-28 06:25:00	0.05	0.004	0.012	3.78	0.036	0.003	0.01	3.466	1	0.2	0.41	1.949	1.0	2.435	-0.037	2016-01-28	01:25:00	US/Eastern
JXI	2016-01-28 06:40:00	0.05	0.004	0.012	3.78	0.036	0.003	0.01	3.453	1	0.2	0.41	1.949	1.0	2.435	-0.05	2016-01-28	01:40:00	US/Eastern
JXI	2016-01-28 06:55:00	0.05	0.004	0.012	3.78	0.036	0.003	0.01	3.44	1	0.2	0.41	1.949	1.0	2.435	-0.062	2016-01-28	01:55:00	US/Eastern
JXI	2016-01-28 07:10:00	0.05	0.004	0.012	3.78	0.035	0.003	0.009	3.427	1	0.2	0.41	1.949	1.0	2.435	-0.013	2016-01-28	02:10:00	US/Eastern
JXI	2016-01-28 07:25:00	0.05	0.004	0.012	3.78	0.035	0.003	0.009	3.414	1	0.2	0.41	1.949	1.0	2.435	-0.026	2016-01-28	02:25:00	US/Eastern
JXI	2016-01-28 07:40:00	0.05	0.004	0.012	3.78	0.035	0.003	0.009	3.401	1	0.2	0.41	1.949	1.0	2.435	-0.039	2016-01-28	02:40:00	US/Eastern
JXI	2016-01-28 07:55:00	0.05	0.004	0.012	3.78	0.034	0.003	0.009	3.388	1	0.2	0.41	1.949	1.0	2.435	-0.052	2016-01-28	02:55:00	US/Eastern
JXI	2016-01-28 08:10:00	0.05	0.004	0.012	3.78	0.034	0.003	0.009	3.375	1	0.2	0.41	1.949	1.0	2.435	-0.066	2016-01-28	03:10:00	US/Eastern
JXI	2016-01-28 08:25:00	0.05	0.004	0.012	3.78	0.034	0.003	0.009	3.361	1	0.2	0.41	1.949	1.0	2.435	-0.014	2016-01-28	03:25:00	US/Eastern
JXI	2016-01-28 08:40:00	0.05	0.004	0.012	3.78	0.033	0.003	0.009	3.347	1	0.2	0.41	1.949	1.0	2.435	-0.027	2016-01-28	03:40:00	US/Eastern
JXI	2016-01-28 08:55:00	0.05	0.004	0.012	3.78	0.033	0.003	0.009	3.333	1	0.2	0.41	1.949	1.0	2.435	-0.041	2016-01-28	03:55:00	US/Eastern
JXI	2016-01-28 09:10:00	0.05	0.004	0.012	3.78	0.033	0.003	0.009	3.319	1	0.2	0.41	1.949	1.0	2.435	-0.055	2016-01-28	04:10:00	US/Eastern
JXI	2016-01-28 09:25:00	0.05	0.004	0.012	3.78	0.032	0.003	0.009	3.305	1	0.2	0.41	1.949	1.0	2.435	-0.069	2016-01-28	04:25:00	US/Eastern
JXI	2016-01-28 09:40:00	0.05	0.004	0.012	3.78	0.032	0.003	0.009	3.291	1	0.2	0.41	1.949	1.0	2.435	-0.014	2016-01-28	04:40:00	US/Eastern
JXI	2016-01-28 09:55:00	0.05	0.004	0.012	3.78	0.032	0.003	0.009	3.277	1	0.2	0.41	1.949	1.0	2.435	-0.029	2016-01-28	04:55:00	US/Eastern
JXI	2016-01-28 10:10:00	0.05	0.004	0.012	3.78	0.031	0.003	0.009	3.262	1	0.2	0.41	1.949	1.0	2.435	-0.043	2016-01-28	05:10:00	US/Eastern
JXI	2016-01-28 10:25:00	0.05	0.004	0.012	3.78	0.031	0.003	0.009	3.248	1	0.2	0.41	1.949	1.0	2.435	-0.058	2016-01-28	05:25:00	US/Eastern
JXI	2016-01-28 10:40:00	0.05	0.004	0.012	3.78	0.031	0.003	0.009	3.233	1	0.2	0.41	1.949	1.0	2.435	-0.072	2016-01-28	05:40:00	US/Eastern
JXI	2016-01-28 10:55:00	0.05	0.004	0.012	3.78	0.03	0.003	0.009	3.218	1	0.2	0.41	1.949	1.0	2.435	-0.015	2016-01-28	05:55:00	US/Eastern
JXI	2016-01-28 11:10:00	0.05	0.004	0.012	3.78	0.03	0.003	0.008	3.203	1	0.2	0.41	1.949	1.0	2.435	-0.03	2016-01-28	06:10:00	US/Eastern
JXI	2016-01-28 11:25:00	0.05	0.004	0.012	3.78	0.03	0.003	0.008	3.188	1	0.2	0.41	1.949	1.0	2.435	-0.045	2016-01-28	06:25:00	US/Eastern
JXI	2016-01-28 11:40:00	0.05	0.004	0.012	3.78	0.029	0.003	0.008	3.173	1	0.2	0.41	1.949	1.0	2.435	-0.06	2016-01-28	06:40:00	US/Eastern
JXI	2016-01-28 11:55:00	0.05	0.004	0.012	3.78	0.029	0.003	0.008	3.157	1	0.2	0.41	1.949	1.0	2.435	-0.076	2016-01-28	06:55:00	US/Eastern
JXI	2016-01-28 12:10:00	0.05	0.004	0.012	3.78	0.029	0.003	0.008	3.142	1	0.2	0.41	1.949	1.0	2.435	-0.015	2016-01-28	07:10:00	US/Eastern
JXI	2016-01-28 12:25:00	0.05	0.004	0.012	3.78	0.028	0.003	0.008	3.126	1	0.2	0.41	1.949	1.0	2.435	-0.031	2016-01-28	07:25:00	US/Eastern
JXI	2016-01-28 12:40:00	0.05	0.004	0.012	3.78	0.028	0.003	0.008	3.11	1	0.2	0.41	1.949	1.0	2.435	-0.047	2016-01-28	07:40:00	US/Eastern
JXI	2016-01-28 12:55:00	0.05	0.004	0.012	3.78	0.028	0.003	0.008	3.095	1	0.2	0.41	1.949	1.0	2.435	-0.063	2016-01-28	07:55:00	US/Eastern
JXI	2016-01-28 13:10:00	0.05	0.004	0.012	3.78	0.028	0.003	0.008	3.079	1	0.2	0.41	1.949	1.0	2.435	-0.079	2016-01-28	08:10:00	US/Eastern
