Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - KLD.txt

Data for: 2016-01-22 06:40:00 UTC - 2016-12-29 17:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
KLD	2016-01-22 06:40:00	0.1	0.01	0.031	2.924	0.099	0.007	0.024	3.894	2	0.15	0.489	3.78	0.5	4.262	4.118	2016-01-22	01:40:00	US/Eastern
KLD	2016-01-22 06:55:00	0.1	0.01	0.031	2.924	0.098	0.007	0.023	3.887	2	0.15	0.489	3.78	0.5	4.262	4.111	2016-01-22	01:55:00	US/Eastern
KLD	2016-01-22 07:10:00	0.1	0.01	0.031	2.924	0.097	0.007	0.023	3.88	2	0.15	0.489	3.78	0.5	4.262	4.104	2016-01-22	02:10:00	US/Eastern
KLD	2016-01-22 07:25:00	0.1	0.01	0.031	2.924	0.096	0.007	0.023	3.874	2	0.15	0.489	3.78	0.5	4.262	-0.007	2016-01-22	02:25:00	US/Eastern
KLD	2016-01-22 07:40:00	0.1	0.01	0.031	2.924	0.095	0.007	0.023	3.866	2	0.15	0.489	3.78	0.5	4.262	-0.014	2016-01-22	02:40:00	US/Eastern
KLD	2016-01-22 07:55:00	0.1	0.01	0.031	2.924	0.094	0.007	0.023	3.859	2	0.15	0.489	3.78	0.5	4.262	-0.021	2016-01-22	02:55:00	US/Eastern
KLD	2016-01-22 08:10:00	0.1	0.01	0.031	2.924	0.093	0.007	0.022	3.852	2	0.15	0.489	3.78	0.5	4.262	-0.028	2016-01-22	03:10:00	US/Eastern
KLD	2016-01-22 08:25:00	0.1	0.01	0.031	2.924	0.092	0.007	0.022	3.845	2	0.15	0.489	3.78	0.5	4.262	-0.036	2016-01-22	03:25:00	US/Eastern
KLD	2016-01-22 08:40:00	0.1	0.01	0.031	2.924	0.091	0.007	0.022	3.837	2	0.15	0.489	3.78	0.5	4.262	-0.007	2016-01-22	03:40:00	US/Eastern
KLD	2016-01-22 08:55:00	0.1	0.01	0.031	2.924	0.09	0.007	0.022	3.83	2	0.15	0.489	3.78	0.5	4.262	-0.015	2016-01-22	03:55:00	US/Eastern
KLD	2016-01-22 09:10:00	0.1	0.01	0.031	2.924	0.089	0.007	0.022	3.822	2	0.15	0.489	3.78	0.5	4.262	-0.023	2016-01-22	04:10:00	US/Eastern
KLD	2016-01-22 09:25:00	0.1	0.01	0.031	2.924	0.088	0.007	0.021	3.814	2	0.15	0.489	3.78	0.5	4.262	-0.031	2016-01-22	04:25:00	US/Eastern
KLD	2016-01-22 09:40:00	0.1	0.01	0.031	2.924	0.088	0.006	0.021	3.806	2	0.15	0.489	3.78	0.5	4.262	-0.039	2016-01-22	04:40:00	US/Eastern
KLD	2016-01-22 09:55:00	0.1	0.01	0.031	2.924	0.087	0.006	0.021	3.798	2	0.15	0.489	3.78	0.5	4.262	-0.008	2016-01-22	04:55:00	US/Eastern
KLD	2016-01-22 10:10:00	0.1	0.01	0.031	2.924	0.086	0.006	0.021	3.79	2	0.15	0.489	3.78	0.5	4.262	-0.016	2016-01-22	05:10:00	US/Eastern
KLD	2016-01-22 10:25:00	0.1	0.01	0.031	2.924	0.085	0.006	0.021	3.781	2	0.15	0.489	3.78	0.5	4.262	-0.025	2016-01-22	05:25:00	US/Eastern
KLD	2016-01-22 10:40:00	0.1	0.01	0.031	2.924	0.084	0.006	0.021	3.773	2	0.15	0.489	3.78	0.5	4.262	-0.033	2016-01-22	05:40:00	US/Eastern
KLD	2016-01-22 10:55:00	0.1	0.01	0.031	2.924	0.083	0.006	0.02	3.764	2	0.15	0.489	3.78	0.5	4.262	-0.042	2016-01-22	05:55:00	US/Eastern
KLD	2016-01-22 11:10:00	0.1	0.01	0.031	2.924	0.082	0.006	0.02	3.756	2	0.15	0.489	3.78	0.5	4.262	-0.009	2016-01-22	06:10:00	US/Eastern
KLD	2016-01-22 11:25:00	0.1	0.01	0.031	2.924	0.081	0.006	0.02	3.747	2	0.15	0.489	3.78	0.5	4.262	-0.018	2016-01-22	06:25:00	US/Eastern
KLD	2016-01-22 11:40:00	0.075	0.009	0.027	2.432	0.056	0.005	0.015	3.331	3	0.2	0.696	4.024	0.333	5.218	-0.434	2016-01-22	06:40:00	US/Eastern
KLD	2016-01-22 11:55:00	0.075	0.009	0.027	2.432	0.055	0.005	0.015	3.317	3	0.2	0.696	4.024	0.333	5.218	-0.448	2016-01-22	06:55:00	US/Eastern
KLD	2016-01-22 12:10:00	0.075	0.009	0.027	2.432	0.055	0.005	0.015	3.303	3	0.2	0.696	4.024	0.333	5.218	-0.462	2016-01-22	07:10:00	US/Eastern
KLD	2016-01-22 12:25:00	0.075	0.009	0.027	2.432	0.054	0.005	0.015	3.288	3	0.2	0.696	4.024	0.333	5.218	-0.014	2016-01-22	07:25:00	US/Eastern
KLD	2016-01-22 12:40:00	0.075	0.009	0.027	2.432	0.053	0.005	0.015	3.274	3	0.2	0.696	4.024	0.333	5.218	-0.029	2016-01-22	07:40:00	US/Eastern
KLD	2016-01-22 12:55:00	0.075	0.009	0.027	2.432	0.053	0.005	0.015	3.26	3	0.2	0.696	4.024	0.333	5.218	-0.043	2016-01-22	07:55:00	US/Eastern
KLD	2016-01-22 13:10:00	0.075	0.009	0.027	2.432	0.052	0.005	0.015	3.245	3	0.2	0.696	4.024	0.333	5.218	-0.058	2016-01-22	08:10:00	US/Eastern
KLD	2016-01-22 13:25:00	0.075	0.009	0.027	2.432	0.052	0.005	0.015	3.23	3	0.2	0.696	4.024	0.333	5.218	-0.073	2016-01-22	08:25:00	US/Eastern
KLD	2016-01-22 13:40:00	0.075	0.009	0.027	2.432	0.051	0.005	0.014	3.215	3	0.2	0.696	4.024	0.333	5.218	-0.015	2016-01-22	08:40:00	US/Eastern
KLD	2016-01-22 13:55:00	0.075	0.009	0.027	2.432	0.051	0.005	0.014	3.2	3	0.2	0.696	4.024	0.333	5.218	-0.03	2016-01-22	08:55:00	US/Eastern
KLD	2016-01-22 14:10:00	0.075	0.009	0.027	2.432	0.05	0.005	0.014	3.185	3	0.2	0.696	4.024	0.333	3.03	-0.045	2016-01-22	09:10:00	US/Eastern
KLD	2016-01-22 14:25:00	0.075	0.009	0.027	2.427	0.05	0.005	0.014	3.159	3	0.202	0.699	4.004	0.333	3.03	-0.071	2016-01-22	09:25:00	US/Eastern
KLD	2016-01-22 14:40:00	0.075	0.009	0.027	2.422	0.049	0.005	0.014	3.133	3	0.203	0.702	3.984	0.333	3.03	-0.097	2016-01-22	09:40:00	US/Eastern
KLD	2016-01-22 14:55:00	0.075	0.009	0.027	2.417	0.049	0.005	0.014	3.107	3	0.205	0.705	3.965	0.333	3.03	-0.026	2016-01-22	09:55:00	US/Eastern
KLD	2016-01-22 15:10:00	0.075	0.009	0.027	2.411	0.048	0.005	0.014	3.08	3	0.206	0.708	3.946	0.333	3.03	-0.053	2016-01-22	10:10:00	US/Eastern
KLD	2016-01-22 15:25:00	0.075	0.009	0.027	2.406	0.048	0.005	0.014	3.054	3	0.208	0.711	3.927	0.333	3.03	-0.079	2016-01-22	10:25:00	US/Eastern
KLD	2016-01-22 15:40:00	0.075	0.009	0.027	2.401	0.047	0.005	0.014	3.027	3	0.209	0.714	3.909	0.333	3.03	-0.106	2016-01-22	10:40:00	US/Eastern
KLD	2016-01-22 15:55:00	0.075	0.009	0.028	2.396	0.047	0.005	0.014	3.0	3	0.211	0.717	3.89	0.333	3.03	-0.133	2016-01-22	10:55:00	US/Eastern
KLD	2016-01-22 16:10:00	0.075	0.009	0.028	2.391	0.046	0.005	0.014	2.973	3	0.213	0.72	3.872	0.333	3.03	-0.027	2016-01-22	11:10:00	US/Eastern
KLD	2016-01-22 16:25:00	0.075	0.009	0.028	2.386	0.046	0.005	0.014	2.946	3	0.214	0.723	3.854	0.333	3.03	-0.054	2016-01-22	11:25:00	US/Eastern
KLD	2016-01-22 16:40:00	0.075	0.009	0.028	2.381	0.045	0.005	0.014	2.918	3	0.216	0.726	3.837	0.333	3.03	-0.082	2016-01-22	11:40:00	US/Eastern
KLD	2016-01-22 16:55:00	0.075	0.009	0.028	2.376	0.045	0.005	0.014	2.891	3	0.217	0.729	3.819	0.333	3.03	-0.109	2016-01-22	11:55:00	US/Eastern
KLD	2016-01-22 17:10:00	0.075	0.009	0.028	2.371	0.044	0.005	0.014	2.863	3	0.219	0.732	3.802	0.333	3.03	-0.137	2016-01-22	12:10:00	US/Eastern
KLD	2016-01-22 17:25:00	0.075	0.009	0.028	2.366	0.044	0.005	0.014	2.836	3	0.22	0.734	3.785	0.333	3.03	-0.028	2016-01-22	12:25:00	US/Eastern
KLD	2016-01-22 17:40:00	0.075	0.009	0.028	2.361	0.043	0.005	0.014	2.808	3	0.222	0.737	3.768	0.333	3.03	-0.055	2016-01-22	12:40:00	US/Eastern
KLD	2016-01-22 17:55:00	0.075	0.009	0.028	2.356	0.043	0.005	0.014	2.78	3	0.223	0.74	3.752	0.333	3.03	-0.083	2016-01-22	12:55:00	US/Eastern
KLD	2016-01-22 18:10:00	0.075	0.009	0.028	2.351	0.042	0.005	0.014	2.753	3	0.225	0.743	3.735	0.333	3.03	-0.111	2016-01-22	13:10:00	US/Eastern
KLD	2016-01-22 18:25:00	0.075	0.009	0.028	2.346	0.042	0.005	0.014	2.725	3	0.227	0.746	3.719	0.333	3.03	-0.139	2016-01-22	13:25:00	US/Eastern
KLD	2016-01-22 18:40:00	0.075	0.009	0.028	2.341	0.042	0.005	0.014	2.697	3	0.228	0.749	3.703	0.333	3.03	-0.028	2016-01-22	13:40:00	US/Eastern
KLD	2016-01-22 18:55:00	0.075	0.009	0.028	2.336	0.041	0.005	0.014	2.669	3	0.23	0.751	3.687	0.333	3.03	-0.056	2016-01-22	13:55:00	US/Eastern
