Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - LBND.txt

Data for: 2016-02-19 14:10:00 UTC - 2016-11-11 14:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
LBND	2016-02-19 14:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	3.134	0.0	2016-02-19	09:10:00	US/Eastern
LBND	2016-02-19 14:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.151	0.671	4.246	0.333	5.27	0.0	2016-02-19	09:25:00	US/Eastern
LBND	2016-02-19 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.151	0.671	4.243	0.333	5.27	0.0	2016-02-19	09:40:00	US/Eastern
LBND	2016-02-19 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	0.202	0.895	4.244	0.5	6.078	0.0	2016-02-19	09:55:00	US/Eastern
LBND	2016-02-19 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.252	1.119	4.245	0.6	6.795	0.0	2016-02-19	10:10:00	US/Eastern
LBND	2016-02-19 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.253	1.119	4.244	0.6	6.795	0.0	2016-02-19	10:25:00	US/Eastern
LBND	2016-02-19 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.253	1.119	4.243	0.6	6.795	0.0	2016-02-19	10:40:00	US/Eastern
LBND	2016-02-19 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.254	1.119	4.242	0.6	6.795	0.0	2016-02-19	10:55:00	US/Eastern
LBND	2016-02-19 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.254	1.119	4.241	0.6	6.795	0.0	2016-02-19	11:10:00	US/Eastern
LBND	2016-02-19 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.255	1.119	4.24	0.6	6.795	0.0	2016-02-19	11:25:00	US/Eastern
LBND	2016-02-19 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.255	1.119	4.239	0.6	6.795	0.0	2016-02-19	11:40:00	US/Eastern
LBND	2016-02-19 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.256	1.119	4.238	0.6	6.795	0.0	2016-02-19	11:55:00	US/Eastern
LBND	2016-02-19 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.256	1.119	4.237	0.6	6.795	0.0	2016-02-19	12:10:00	US/Eastern
LBND	2016-02-19 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.257	1.12	4.237	0.6	6.795	0.0	2016-02-19	12:25:00	US/Eastern
LBND	2016-02-19 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.257	1.12	4.236	0.6	6.795	0.0	2016-02-19	12:40:00	US/Eastern
LBND	2016-02-19 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.258	1.12	4.235	0.6	6.795	0.0	2016-02-19	12:55:00	US/Eastern
LBND	2016-02-19 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.258	1.12	4.234	0.6	6.795	0.0	2016-02-19	13:10:00	US/Eastern
LBND	2016-02-19 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.259	1.12	4.233	0.6	6.795	0.0	2016-02-19	13:25:00	US/Eastern
LBND	2016-02-19 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.259	1.12	4.232	0.6	6.795	0.0	2016-02-19	13:40:00	US/Eastern
LBND	2016-02-19 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5	0.26	1.12	4.231	0.6	6.795	0.0	2016-02-19	13:55:00	US/Eastern
