Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - LIT.txt

Data for: 2016-01-20 08:55:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
LIT	2016-01-20 08:55:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	03:55:00	US/Eastern
LIT	2016-01-20 09:10:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	04:10:00	US/Eastern
LIT	2016-01-20 09:25:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	04:25:00	US/Eastern
LIT	2016-01-20 09:40:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	04:40:00	US/Eastern
LIT	2016-01-20 09:55:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	04:55:00	US/Eastern
LIT	2016-01-20 10:10:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	05:10:00	US/Eastern
LIT	2016-01-20 10:25:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	05:25:00	US/Eastern
LIT	2016-01-20 10:40:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	05:40:00	US/Eastern
LIT	2016-01-20 10:55:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	05:55:00	US/Eastern
LIT	2016-01-20 11:10:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	06:10:00	US/Eastern
LIT	2016-01-20 11:25:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	06:25:00	US/Eastern
LIT	2016-01-20 11:40:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	06:40:00	US/Eastern
LIT	2016-01-20 11:55:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	06:55:00	US/Eastern
LIT	2016-01-20 12:10:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	07:10:00	US/Eastern
LIT	2016-01-20 12:25:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	07:25:00	US/Eastern
LIT	2016-01-20 12:40:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	07:40:00	US/Eastern
LIT	2016-01-20 12:55:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	07:55:00	US/Eastern
LIT	2016-01-20 13:10:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	08:10:00	US/Eastern
LIT	2016-01-20 13:25:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	08:25:00	US/Eastern
LIT	2016-01-20 13:40:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	08:40:00	US/Eastern
LIT	2016-01-20 13:55:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.837	0.0	2016-01-20	08:55:00	US/Eastern
LIT	2016-01-20 14:10:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.65	4.271	-0.152	1.0	0.611	0.0	2016-01-20	09:10:00	US/Eastern
LIT	2016-01-20 14:25:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.651	4.271	-0.152	1.0	0.611	0.0	2016-01-20	09:25:00	US/Eastern
LIT	2016-01-20 14:40:00	0.0	0.011	0.123	-0.092	0.0	0.005	0.049	-0.098	1	1.651	4.27	-0.152	1.0	0.611	0.0	2016-01-20	09:40:00	US/Eastern
