Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - MATH.txt

Data for: 2016-03-22 23:10:00 UTC - 2016-09-23 19:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
MATH	2016-03-22 23:10:00	0.05	0.003	0.011	4.249	0.05	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	19:10:00	US/Eastern
MATH	2016-03-22 23:25:00	0.05	0.003	0.011	4.249	0.049	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	19:25:00	US/Eastern
MATH	2016-03-22 23:40:00	0.05	0.003	0.011	4.249	0.049	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	19:40:00	US/Eastern
MATH	2016-03-22 23:55:00	0.05	0.003	0.011	4.249	0.048	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	19:55:00	US/Eastern
MATH	2016-03-23 00:10:00	0.05	0.003	0.011	4.249	0.048	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	20:10:00	US/Eastern
MATH	2016-03-23 00:25:00	0.05	0.003	0.011	4.249	0.047	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	20:25:00	US/Eastern
MATH	2016-03-23 00:40:00	0.05	0.003	0.011	4.249	0.047	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	20:40:00	US/Eastern
MATH	2016-03-23 00:55:00	0.05	0.003	0.011	4.249	0.046	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	20:55:00	US/Eastern
MATH	2016-03-23 01:10:00	0.05	0.003	0.011	4.249	0.046	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	21:10:00	US/Eastern
MATH	2016-03-23 01:25:00	0.05	0.003	0.011	4.249	0.045	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	21:25:00	US/Eastern
MATH	2016-03-23 01:40:00	0.05	0.003	0.011	4.249	0.045	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	21:40:00	US/Eastern
MATH	2016-03-23 01:55:00	0.05	0.003	0.011	4.249	0.044	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	21:55:00	US/Eastern
MATH	2016-03-23 02:10:00	0.05	0.003	0.011	4.249	0.044	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	22:10:00	US/Eastern
MATH	2016-03-23 02:25:00	0.05	0.003	0.011	4.249	0.043	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	22:25:00	US/Eastern
MATH	2016-03-23 02:40:00	0.05	0.003	0.011	4.249	0.043	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	22:40:00	US/Eastern
MATH	2016-03-23 02:55:00	0.05	0.003	0.011	4.249	0.043	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	22:55:00	US/Eastern
MATH	2016-03-23 03:10:00	0.05	0.003	0.011	4.249	0.042	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	23:10:00	US/Eastern
MATH	2016-03-23 03:25:00	0.05	0.003	0.011	4.249	0.042	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	23:25:00	US/Eastern
MATH	2016-03-23 03:40:00	0.05	0.003	0.011	4.249	0.041	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	23:40:00	US/Eastern
MATH	2016-03-23 03:55:00	0.05	0.003	0.011	4.249	0.041	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-22	23:55:00	US/Eastern
MATH	2016-03-23 04:10:00	0.05	0.003	0.011	4.249	0.04	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-23	00:10:00	US/Eastern
MATH	2016-03-23 04:25:00	0.05	0.003	0.011	4.249	0.04	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-23	00:25:00	US/Eastern
MATH	2016-03-23 04:40:00	0.05	0.003	0.011	4.249	0.04	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-23	00:40:00	US/Eastern
MATH	2016-03-23 04:55:00	0.05	0.003	0.011	4.249	0.039	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.828	0.0	2016-03-23	00:55:00	US/Eastern
