Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - MCRO.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-22 06:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
MCRO	2016-01-20 05:10:00	-0.125	-0.019	0.056	-1.877	-0.07	-0.01	0.038	-1.573	1	0.95	1.395	0.036	1.0	1.309	0.079	2016-01-20	00:10:00	US/Eastern
MCRO	2016-01-20 05:25:00	-0.125	-0.019	0.056	-1.877	-0.069	-0.01	0.038	-1.557	1	0.95	1.395	0.036	1.0	1.309	0.016	2016-01-20	00:25:00	US/Eastern
MCRO	2016-01-20 05:40:00	-0.125	-0.019	0.056	-1.877	-0.068	-0.01	0.038	-1.541	1	0.95	1.395	0.036	1.0	1.309	0.031	2016-01-20	00:40:00	US/Eastern
MCRO	2016-01-20 05:55:00	-0.125	-0.019	0.056	-1.877	-0.068	-0.01	0.038	-1.526	1	0.95	1.395	0.036	1.0	1.309	0.046	2016-01-20	00:55:00	US/Eastern
MCRO	2016-01-20 06:10:00	-0.125	-0.019	0.056	-1.877	-0.067	-0.01	0.038	-1.511	1	0.95	1.395	0.036	1.0	1.309	0.062	2016-01-20	01:10:00	US/Eastern
MCRO	2016-01-20 06:25:00	-0.125	-0.019	0.056	-1.877	-0.066	-0.01	0.038	-1.496	1	0.95	1.395	0.036	1.0	1.309	0.077	2016-01-20	01:25:00	US/Eastern
MCRO	2016-01-20 06:40:00	-0.125	-0.019	0.056	-1.877	-0.066	-0.01	0.038	-1.48	1	0.95	1.395	0.036	1.0	1.309	0.015	2016-01-20	01:40:00	US/Eastern
MCRO	2016-01-20 06:55:00	-0.125	-0.019	0.056	-1.877	-0.065	-0.01	0.038	-1.465	1	0.95	1.395	0.036	1.0	1.309	0.03	2016-01-20	01:55:00	US/Eastern
MCRO	2016-01-20 07:10:00	-0.125	-0.019	0.056	-1.877	-0.064	-0.009	0.038	-1.45	1	0.95	1.395	0.036	1.0	1.309	0.045	2016-01-20	02:10:00	US/Eastern
MCRO	2016-01-20 07:25:00	-0.125	-0.019	0.056	-1.877	-0.064	-0.009	0.038	-1.436	1	0.95	1.395	0.036	1.0	1.309	0.06	2016-01-20	02:25:00	US/Eastern
MCRO	2016-01-20 07:40:00	-0.125	-0.019	0.056	-1.877	-0.063	-0.009	0.038	-1.421	1	0.95	1.395	0.036	1.0	1.309	0.075	2016-01-20	02:40:00	US/Eastern
MCRO	2016-01-20 07:55:00	-0.125	-0.019	0.056	-1.877	-0.062	-0.009	0.038	-1.406	1	0.95	1.395	0.036	1.0	1.309	0.015	2016-01-20	02:55:00	US/Eastern
MCRO	2016-01-20 08:10:00	-0.125	-0.019	0.056	-1.877	-0.062	-0.009	0.038	-1.392	1	0.95	1.395	0.036	1.0	1.309	0.029	2016-01-20	03:10:00	US/Eastern
MCRO	2016-01-20 08:25:00	-0.125	-0.019	0.056	-1.877	-0.061	-0.009	0.037	-1.377	1	0.95	1.395	0.036	1.0	1.309	0.044	2016-01-20	03:25:00	US/Eastern
MCRO	2016-01-20 08:40:00	-0.125	-0.019	0.056	-1.877	-0.06	-0.009	0.037	-1.363	1	0.95	1.395	0.036	1.0	1.309	0.058	2016-01-20	03:40:00	US/Eastern
MCRO	2016-01-20 08:55:00	-0.125	-0.019	0.056	-1.877	-0.06	-0.009	0.037	-1.349	1	0.95	1.395	0.036	1.0	1.309	0.072	2016-01-20	03:55:00	US/Eastern
MCRO	2016-01-20 09:10:00	-0.125	-0.019	0.056	-1.877	-0.059	-0.009	0.037	-1.335	1	0.95	1.395	0.036	1.0	1.309	0.014	2016-01-20	04:10:00	US/Eastern
MCRO	2016-01-20 09:25:00	-0.125	-0.019	0.056	-1.877	-0.058	-0.009	0.037	-1.32	1	0.95	1.395	0.036	1.0	1.309	0.028	2016-01-20	04:25:00	US/Eastern
MCRO	2016-01-20 09:40:00	-0.125	-0.019	0.056	-1.877	-0.058	-0.009	0.037	-1.306	1	0.95	1.395	0.036	1.0	1.309	0.042	2016-01-20	04:40:00	US/Eastern
MCRO	2016-01-20 09:55:00	-0.125	-0.019	0.056	-1.877	-0.057	-0.009	0.037	-1.293	1	0.95	1.395	0.036	1.0	1.309	0.056	2016-01-20	04:55:00	US/Eastern
MCRO	2016-01-20 10:10:00	-0.125	-0.019	0.056	-1.877	-0.057	-0.009	0.037	-1.279	1	0.95	1.395	0.036	1.0	1.309	0.07	2016-01-20	05:10:00	US/Eastern
MCRO	2016-01-20 10:25:00	-0.125	-0.019	0.056	-1.877	-0.056	-0.009	0.037	-1.265	1	0.95	1.395	0.036	1.0	1.309	0.014	2016-01-20	05:25:00	US/Eastern
MCRO	2016-01-20 10:40:00	-0.125	-0.019	0.056	-1.877	-0.055	-0.009	0.037	-1.252	1	0.95	1.395	0.036	1.0	1.309	0.027	2016-01-20	05:40:00	US/Eastern
MCRO	2016-01-20 10:55:00	-0.125	-0.019	0.056	-1.877	-0.055	-0.009	0.037	-1.238	1	0.95	1.395	0.036	1.0	1.309	0.041	2016-01-20	05:55:00	US/Eastern
MCRO	2016-01-20 11:10:00	-0.125	-0.019	0.056	-1.877	-0.054	-0.009	0.037	-1.225	1	0.95	1.395	0.036	1.0	1.309	0.054	2016-01-20	06:10:00	US/Eastern
MCRO	2016-01-20 11:25:00	-0.125	-0.019	0.056	-1.877	-0.054	-0.009	0.037	-1.212	1	0.95	1.395	0.036	1.0	1.309	0.067	2016-01-20	06:25:00	US/Eastern
MCRO	2016-01-20 11:40:00	-0.125	-0.019	0.056	-1.877	-0.053	-0.009	0.037	-1.198	1	0.95	1.395	0.036	1.0	1.309	0.013	2016-01-20	06:40:00	US/Eastern
MCRO	2016-01-20 11:55:00	-0.125	-0.019	0.056	-1.877	-0.053	-0.009	0.037	-1.185	1	0.95	1.395	0.036	1.0	1.309	0.026	2016-01-20	06:55:00	US/Eastern
MCRO	2016-01-20 12:10:00	-0.125	-0.019	0.056	-1.877	-0.052	-0.009	0.037	-1.172	1	0.95	1.395	0.036	1.0	1.309	0.039	2016-01-20	07:10:00	US/Eastern
MCRO	2016-01-20 12:25:00	-0.125	-0.019	0.056	-1.877	-0.052	-0.009	0.037	-1.159	1	0.95	1.395	0.036	1.0	1.309	0.052	2016-01-20	07:25:00	US/Eastern
MCRO	2016-01-20 12:40:00	-0.125	-0.019	0.056	-1.877	-0.051	-0.009	0.037	-1.147	1	0.95	1.395	0.036	1.0	1.309	0.065	2016-01-20	07:40:00	US/Eastern
MCRO	2016-01-20 12:55:00	-0.125	-0.019	0.056	-1.877	-0.051	-0.009	0.037	-1.134	1	0.95	1.395	0.036	1.0	1.309	0.013	2016-01-20	07:55:00	US/Eastern
MCRO	2016-01-20 13:10:00	-0.125	-0.019	0.056	-1.877	-0.05	-0.009	0.037	-1.121	1	0.95	1.395	0.036	1.0	1.309	0.025	2016-01-20	08:10:00	US/Eastern
MCRO	2016-01-20 13:25:00	-0.125	-0.019	0.056	-1.877	-0.049	-0.009	0.037	-1.109	1	0.95	1.395	0.036	1.0	1.309	0.038	2016-01-20	08:25:00	US/Eastern
