Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - MDIV.txt

Data for: 2016-01-25 21:25:00 UTC - 2016-12-01 20:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
MDIV	2016-01-25 21:25:00	-0.125	-0.006	0.028	-4.249	-0.125	-0.006	0.028	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	16:25:00	US/Eastern
MDIV	2016-01-25 21:40:00	-0.125	-0.006	0.028	-4.249	-0.123	-0.006	0.028	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	16:40:00	US/Eastern
MDIV	2016-01-25 21:55:00	-0.125	-0.006	0.028	-4.249	-0.122	-0.006	0.027	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	16:55:00	US/Eastern
MDIV	2016-01-25 22:10:00	-0.125	-0.006	0.028	-4.249	-0.121	-0.006	0.027	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	17:10:00	US/Eastern
MDIV	2016-01-25 22:25:00	-0.125	-0.006	0.028	-4.249	-0.12	-0.006	0.027	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	17:25:00	US/Eastern
MDIV	2016-01-25 22:40:00	-0.125	-0.006	0.028	-4.249	-0.118	-0.006	0.026	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	17:40:00	US/Eastern
MDIV	2016-01-25 22:55:00	-0.125	-0.006	0.028	-4.249	-0.117	-0.006	0.026	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	17:55:00	US/Eastern
MDIV	2016-01-25 23:10:00	-0.125	-0.006	0.028	-4.249	-0.116	-0.006	0.026	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	18:10:00	US/Eastern
MDIV	2016-01-25 23:25:00	-0.125	-0.006	0.028	-4.249	-0.115	-0.006	0.026	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	18:25:00	US/Eastern
MDIV	2016-01-25 23:40:00	-0.125	-0.006	0.028	-4.249	-0.114	-0.006	0.025	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	18:40:00	US/Eastern
MDIV	2016-01-25 23:55:00	-0.125	-0.006	0.028	-4.249	-0.112	-0.006	0.025	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	18:55:00	US/Eastern
MDIV	2016-01-26 00:10:00	-0.125	-0.006	0.028	-4.249	-0.111	-0.006	0.025	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	19:10:00	US/Eastern
MDIV	2016-01-26 00:25:00	-0.125	-0.006	0.028	-4.249	-0.11	-0.006	0.025	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	19:25:00	US/Eastern
MDIV	2016-01-26 00:40:00	-0.125	-0.006	0.028	-4.249	-0.109	-0.005	0.024	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	19:40:00	US/Eastern
MDIV	2016-01-26 00:55:00	-0.125	-0.006	0.028	-4.249	-0.108	-0.005	0.024	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	19:55:00	US/Eastern
MDIV	2016-01-26 01:10:00	-0.125	-0.006	0.028	-4.249	-0.107	-0.005	0.024	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	20:10:00	US/Eastern
MDIV	2016-01-26 01:25:00	-0.125	-0.006	0.028	-4.249	-0.106	-0.005	0.024	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	20:25:00	US/Eastern
MDIV	2016-01-26 01:40:00	-0.125	-0.006	0.028	-4.249	-0.104	-0.005	0.023	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	20:40:00	US/Eastern
MDIV	2016-01-26 01:55:00	-0.125	-0.006	0.028	-4.249	-0.103	-0.005	0.023	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	20:55:00	US/Eastern
MDIV	2016-01-26 02:10:00	-0.125	-0.006	0.028	-4.249	-0.102	-0.005	0.023	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	21:10:00	US/Eastern
MDIV	2016-01-26 02:25:00	-0.125	-0.006	0.028	-4.249	-0.101	-0.005	0.023	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	21:25:00	US/Eastern
MDIV	2016-01-26 02:40:00	-0.125	-0.006	0.028	-4.249	-0.1	-0.005	0.022	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	21:40:00	US/Eastern
MDIV	2016-01-26 02:55:00	-0.125	-0.006	0.028	-4.249	-0.099	-0.005	0.022	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	21:55:00	US/Eastern
MDIV	2016-01-26 03:10:00	-0.125	-0.006	0.028	-4.249	-0.098	-0.005	0.022	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	22:10:00	US/Eastern
MDIV	2016-01-26 03:25:00	-0.125	-0.006	0.028	-4.249	-0.097	-0.005	0.022	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	22:25:00	US/Eastern
MDIV	2016-01-26 03:40:00	-0.125	-0.006	0.028	-4.249	-0.096	-0.005	0.021	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	22:40:00	US/Eastern
MDIV	2016-01-26 03:55:00	-0.125	-0.006	0.028	-4.249	-0.095	-0.005	0.021	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	22:55:00	US/Eastern
MDIV	2016-01-26 04:10:00	-0.125	-0.006	0.028	-4.249	-0.094	-0.005	0.021	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	23:10:00	US/Eastern
MDIV	2016-01-26 04:25:00	-0.125	-0.006	0.028	-4.249	-0.093	-0.005	0.021	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	23:25:00	US/Eastern
MDIV	2016-01-26 04:40:00	-0.125	-0.006	0.028	-4.249	-0.092	-0.005	0.021	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	23:40:00	US/Eastern
MDIV	2016-01-26 04:55:00	-0.125	-0.006	0.028	-4.249	-0.091	-0.005	0.02	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-25	23:55:00	US/Eastern
MDIV	2016-01-26 05:10:00	-0.125	-0.006	0.028	-4.249	-0.09	-0.005	0.02	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-26	00:10:00	US/Eastern
MDIV	2016-01-26 05:25:00	-0.125	-0.006	0.028	-4.249	-0.089	-0.004	0.02	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-26	00:25:00	US/Eastern
MDIV	2016-01-26 05:40:00	-0.125	-0.006	0.028	-4.249	-0.088	-0.004	0.02	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-26	00:40:00	US/Eastern
MDIV	2016-01-26 05:55:00	-0.125	-0.006	0.028	-4.249	-0.087	-0.004	0.02	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-26	00:55:00	US/Eastern
MDIV	2016-01-26 06:10:00	-0.125	-0.006	0.028	-4.249	-0.087	-0.004	0.019	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-26	01:10:00	US/Eastern
MDIV	2016-01-26 06:25:00	-0.125	-0.006	0.028	-4.249	-0.086	-0.004	0.019	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-26	01:25:00	US/Eastern
MDIV	2016-01-26 06:40:00	-0.125	-0.006	0.028	-4.249	-0.085	-0.004	0.019	-4.249	1	0.05	0.224	4.249	1.0	1.999	0.0	2016-01-26	01:40:00	US/Eastern
