Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - MONY.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-14 08:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
MONY	2016-01-20 05:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.462	1.175	0.458	1.0	1.628	0.0	2016-01-20	00:10:00	US/Eastern
MONY	2016-01-20 05:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.464	1.175	0.456	1.0	1.628	0.0	2016-01-20	00:25:00	US/Eastern
MONY	2016-01-20 05:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.465	1.176	0.455	1.0	1.628	0.0	2016-01-20	00:40:00	US/Eastern
MONY	2016-01-20 05:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.466	1.176	0.454	1.0	1.628	0.0	2016-01-20	00:55:00	US/Eastern
MONY	2016-01-20 06:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.467	1.177	0.453	1.0	1.628	0.0	2016-01-20	01:10:00	US/Eastern
MONY	2016-01-20 06:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.468	1.177	0.452	1.0	1.628	0.0	2016-01-20	01:25:00	US/Eastern
MONY	2016-01-20 06:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.469	1.178	0.451	1.0	1.628	0.0	2016-01-20	01:40:00	US/Eastern
MONY	2016-01-20 06:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.47	1.178	0.45	1.0	1.628	0.0	2016-01-20	01:55:00	US/Eastern
MONY	2016-01-20 07:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.471	1.179	0.449	1.0	1.628	0.0	2016-01-20	02:10:00	US/Eastern
MONY	2016-01-20 07:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.472	1.179	0.448	1.0	1.628	0.0	2016-01-20	02:25:00	US/Eastern
MONY	2016-01-20 07:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.473	1.18	0.447	1.0	1.628	0.0	2016-01-20	02:40:00	US/Eastern
MONY	2016-01-20 07:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.474	1.18	0.446	1.0	1.628	0.0	2016-01-20	02:55:00	US/Eastern
MONY	2016-01-20 20:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	15:25:00	US/Eastern
MONY	2016-01-20 20:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	15:40:00	US/Eastern
MONY	2016-01-20 20:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	15:55:00	US/Eastern
MONY	2016-01-20 21:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	16:10:00	US/Eastern
MONY	2016-01-20 21:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	16:25:00	US/Eastern
MONY	2016-01-20 21:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	16:40:00	US/Eastern
MONY	2016-01-20 21:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	16:55:00	US/Eastern
MONY	2016-01-20 22:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	17:10:00	US/Eastern
MONY	2016-01-20 22:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	17:25:00	US/Eastern
MONY	2016-01-20 22:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	17:40:00	US/Eastern
MONY	2016-01-20 22:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	17:55:00	US/Eastern
MONY	2016-01-20 23:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	18:10:00	US/Eastern
MONY	2016-01-20 23:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	18:25:00	US/Eastern
MONY	2016-01-20 23:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	18:40:00	US/Eastern
MONY	2016-01-20 23:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	18:55:00	US/Eastern
MONY	2016-01-21 00:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	19:10:00	US/Eastern
MONY	2016-01-21 00:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	19:25:00	US/Eastern
MONY	2016-01-21 00:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	19:40:00	US/Eastern
MONY	2016-01-21 00:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	19:55:00	US/Eastern
MONY	2016-01-21 01:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	20:10:00	US/Eastern
MONY	2016-01-21 01:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	20:25:00	US/Eastern
MONY	2016-01-21 01:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	20:40:00	US/Eastern
MONY	2016-01-21 01:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	20:55:00	US/Eastern
MONY	2016-01-21 02:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	21:10:00	US/Eastern
MONY	2016-01-21 02:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	21:25:00	US/Eastern
MONY	2016-01-21 02:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	21:40:00	US/Eastern
MONY	2016-01-21 02:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	21:55:00	US/Eastern
MONY	2016-01-21 03:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	22:10:00	US/Eastern
MONY	2016-01-21 03:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	22:25:00	US/Eastern
MONY	2016-01-21 03:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	22:40:00	US/Eastern
MONY	2016-01-21 03:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	22:55:00	US/Eastern
MONY	2016-01-21 04:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	23:10:00	US/Eastern
MONY	2016-01-21 04:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	23:25:00	US/Eastern
MONY	2016-01-21 04:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	23:40:00	US/Eastern
MONY	2016-01-21 04:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-20	23:55:00	US/Eastern
MONY	2016-01-21 05:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-21	00:10:00	US/Eastern
MONY	2016-01-21 05:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-21	00:25:00	US/Eastern
MONY	2016-01-21 05:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-21	00:40:00	US/Eastern
MONY	2016-01-21 05:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-21	00:55:00	US/Eastern
MONY	2016-01-21 06:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-21	01:10:00	US/Eastern
MONY	2016-01-21 06:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-21	01:25:00	US/Eastern
MONY	2016-01-21 06:40:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-21	01:40:00	US/Eastern
MONY	2016-01-21 06:55:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-21	01:55:00	US/Eastern
MONY	2016-01-21 07:10:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-21	02:10:00	US/Eastern
MONY	2016-01-21 07:25:00	0.0	0.003	0.025	-0.125	0.0	0.002	0.019	-0.081	1	0.5	1.192	0.419	1.0	1.364	0.0	2016-01-21	02:25:00	US/Eastern
