Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - MUNI.txt

Data for: 2016-01-21 04:55:00 UTC - 2016-12-31 17:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
MUNI	2016-01-21 04:55:00	-0.037	-0.007	0.019	-1.63	-0.037	-0.004	0.01	-3.259	1	0.35	0.745	0.872	1.0	1.726	-3.556	2016-01-20	23:55:00	US/Eastern
MUNI	2016-01-21 05:10:00	-0.037	-0.007	0.019	-1.63	-0.037	-0.004	0.01	-3.244	1	0.35	0.745	0.872	1.0	1.726	0.015	2016-01-21	00:10:00	US/Eastern
MUNI	2016-01-21 05:25:00	-0.037	-0.007	0.019	-1.63	-0.037	-0.004	0.01	-3.229	1	0.35	0.745	0.872	1.0	1.726	0.03	2016-01-21	00:25:00	US/Eastern
MUNI	2016-01-21 05:40:00	-0.037	-0.007	0.019	-1.63	-0.036	-0.004	0.01	-3.214	1	0.35	0.745	0.872	1.0	1.726	0.045	2016-01-21	00:40:00	US/Eastern
MUNI	2016-01-21 05:55:00	-0.037	-0.007	0.019	-1.63	-0.036	-0.004	0.01	-3.199	1	0.35	0.745	0.872	1.0	1.726	0.06	2016-01-21	00:55:00	US/Eastern
MUNI	2016-01-21 06:10:00	-0.037	-0.007	0.019	-1.63	-0.036	-0.004	0.01	-3.184	1	0.35	0.745	0.872	1.0	1.726	0.076	2016-01-21	01:10:00	US/Eastern
MUNI	2016-01-21 06:25:00	-0.037	-0.007	0.019	-1.63	-0.035	-0.004	0.01	-3.168	1	0.35	0.745	0.872	1.0	1.726	0.016	2016-01-21	01:25:00	US/Eastern
MUNI	2016-01-21 06:40:00	-0.037	-0.007	0.019	-1.63	-0.035	-0.004	0.01	-3.153	1	0.35	0.745	0.872	1.0	1.726	0.031	2016-01-21	01:40:00	US/Eastern
MUNI	2016-01-21 06:55:00	-0.037	-0.007	0.019	-1.63	-0.034	-0.004	0.01	-3.137	1	0.35	0.745	0.872	1.0	1.726	0.047	2016-01-21	01:55:00	US/Eastern
MUNI	2016-01-21 07:10:00	-0.037	-0.007	0.019	-1.63	-0.034	-0.004	0.01	-3.121	1	0.35	0.745	0.872	1.0	1.726	0.063	2016-01-21	02:10:00	US/Eastern
MUNI	2016-01-21 07:25:00	-0.037	-0.007	0.019	-1.63	-0.034	-0.004	0.01	-3.105	1	0.35	0.745	0.872	1.0	1.726	0.079	2016-01-21	02:25:00	US/Eastern
MUNI	2016-01-21 07:40:00	-0.037	-0.007	0.019	-1.63	-0.033	-0.004	0.01	-3.089	1	0.35	0.745	0.872	1.0	1.726	0.016	2016-01-21	02:40:00	US/Eastern
MUNI	2016-01-21 07:55:00	-0.037	-0.007	0.019	-1.63	-0.033	-0.004	0.01	-3.073	1	0.35	0.745	0.872	1.0	1.726	0.032	2016-01-21	02:55:00	US/Eastern
