Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - NORW.txt

Data for: 2016-02-15 19:40:00 UTC - 2016-12-29 19:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
NORW	2016-02-15 19:40:00	0.013	0.001	0.003	4.249	0.012	0.001	0.003	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	14:40:00	US/Eastern
NORW	2016-02-15 19:55:00	0.013	0.001	0.003	4.249	0.012	0.001	0.003	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	14:55:00	US/Eastern
NORW	2016-02-15 20:10:00	0.013	0.001	0.003	4.249	0.012	0.001	0.003	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	15:10:00	US/Eastern
NORW	2016-02-15 20:25:00	0.013	0.001	0.003	4.249	0.012	0.001	0.003	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	15:25:00	US/Eastern
NORW	2016-02-15 20:40:00	0.013	0.001	0.003	4.249	0.012	0.001	0.003	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	15:40:00	US/Eastern
NORW	2016-02-15 20:55:00	0.013	0.001	0.003	4.249	0.012	0.001	0.003	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	15:55:00	US/Eastern
NORW	2016-02-15 21:10:00	0.013	0.001	0.003	4.249	0.012	0.001	0.003	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	16:10:00	US/Eastern
NORW	2016-02-15 21:25:00	0.013	0.001	0.003	4.249	0.012	0.001	0.003	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	16:25:00	US/Eastern
NORW	2016-02-15 21:40:00	0.013	0.001	0.003	4.249	0.011	0.001	0.003	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	16:40:00	US/Eastern
NORW	2016-02-15 21:55:00	0.013	0.001	0.003	4.249	0.011	0.001	0.003	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	16:55:00	US/Eastern
NORW	2016-02-15 22:10:00	0.013	0.001	0.003	4.249	0.011	0.001	0.003	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	17:10:00	US/Eastern
NORW	2016-02-15 22:25:00	0.013	0.001	0.003	4.249	0.011	0.001	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	17:25:00	US/Eastern
NORW	2016-02-15 22:40:00	0.013	0.001	0.003	4.249	0.011	0.001	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	17:40:00	US/Eastern
NORW	2016-02-15 22:55:00	0.013	0.001	0.003	4.249	0.011	0.001	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	17:55:00	US/Eastern
NORW	2016-02-15 23:10:00	0.013	0.001	0.003	4.249	0.011	0.001	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	18:10:00	US/Eastern
NORW	2016-02-15 23:25:00	0.013	0.001	0.003	4.249	0.011	0.001	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	18:25:00	US/Eastern
NORW	2016-02-15 23:40:00	0.013	0.001	0.003	4.249	0.011	0.001	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	18:40:00	US/Eastern
NORW	2016-02-15 23:55:00	0.013	0.001	0.003	4.249	0.01	0.001	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	18:55:00	US/Eastern
NORW	2016-02-16 00:10:00	0.013	0.001	0.003	4.249	0.01	0.001	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	19:10:00	US/Eastern
NORW	2016-02-16 00:25:00	0.013	0.001	0.003	4.249	0.01	0.001	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	19:25:00	US/Eastern
NORW	2016-02-16 00:40:00	0.013	0.001	0.003	4.249	0.01	0.001	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	19:40:00	US/Eastern
NORW	2016-02-16 00:55:00	0.013	0.001	0.003	4.249	0.01	0.001	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	19:55:00	US/Eastern
NORW	2016-02-16 01:10:00	0.013	0.001	0.003	4.249	0.01	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	20:10:00	US/Eastern
NORW	2016-02-16 01:25:00	0.013	0.001	0.003	4.249	0.01	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	20:25:00	US/Eastern
NORW	2016-02-16 01:40:00	0.013	0.001	0.003	4.249	0.01	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	20:40:00	US/Eastern
NORW	2016-02-16 01:55:00	0.013	0.001	0.003	4.249	0.01	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	20:55:00	US/Eastern
NORW	2016-02-16 02:10:00	0.013	0.001	0.003	4.249	0.01	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	21:10:00	US/Eastern
NORW	2016-02-16 02:25:00	0.013	0.001	0.003	4.249	0.009	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	21:25:00	US/Eastern
NORW	2016-02-16 02:40:00	0.013	0.001	0.003	4.249	0.009	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	21:40:00	US/Eastern
NORW	2016-02-16 02:55:00	0.013	0.001	0.003	4.249	0.009	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	21:55:00	US/Eastern
NORW	2016-02-16 03:10:00	0.013	0.001	0.003	4.249	0.009	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	22:10:00	US/Eastern
NORW	2016-02-16 03:25:00	0.013	0.001	0.003	4.249	0.009	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	22:25:00	US/Eastern
NORW	2016-02-16 03:40:00	0.013	0.001	0.003	4.249	0.009	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	22:40:00	US/Eastern
NORW	2016-02-16 03:55:00	0.013	0.001	0.003	4.249	0.009	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	22:55:00	US/Eastern
NORW	2016-02-16 04:10:00	0.013	0.001	0.003	4.249	0.009	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	23:10:00	US/Eastern
NORW	2016-02-16 04:25:00	0.013	0.001	0.003	4.249	0.009	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	23:25:00	US/Eastern
NORW	2016-02-16 04:40:00	0.013	0.001	0.003	4.249	0.009	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	23:40:00	US/Eastern
NORW	2016-02-16 04:55:00	0.013	0.001	0.003	4.249	0.008	0.0	0.002	4.249	1	0.05	0.224	4.249	1.0	1.974	0.0	2016-02-15	23:55:00	US/Eastern
