Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - NY.txt

Data for: 2016-02-18 12:10:00 UTC - 2016-10-21 18:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
NY	2016-02-18 12:10:00	0.1	0.005	0.022	4.249	0.099	0.005	0.022	4.249	2	0.1	0.447	4.249	1.0	2.289	0.0	2016-02-18	07:10:00	US/Eastern
NY	2016-02-18 12:25:00	0.1	0.005	0.022	4.249	0.098	0.005	0.022	4.249	2	0.1	0.447	4.249	1.0	2.289	0.0	2016-02-18	07:25:00	US/Eastern
NY	2016-02-18 12:40:00	0.1	0.005	0.022	4.249	0.097	0.005	0.022	4.249	2	0.1	0.447	4.249	1.0	2.289	0.0	2016-02-18	07:40:00	US/Eastern
NY	2016-02-18 12:55:00	0.1	0.005	0.022	4.249	0.096	0.005	0.021	4.249	2	0.1	0.447	4.249	1.0	2.289	0.0	2016-02-18	07:55:00	US/Eastern
NY	2016-02-18 13:10:00	0.1	0.005	0.022	4.249	0.095	0.005	0.021	4.249	2	0.1	0.447	4.249	1.0	2.289	0.0	2016-02-18	08:10:00	US/Eastern
NY	2016-02-18 13:25:00	0.1	0.005	0.022	4.249	0.094	0.005	0.021	4.249	2	0.1	0.447	4.249	1.0	2.289	0.0	2016-02-18	08:25:00	US/Eastern
NY	2016-02-18 13:40:00	0.1	0.005	0.022	4.249	0.093	0.005	0.021	4.249	2	0.1	0.447	4.249	1.0	2.289	0.0	2016-02-18	08:40:00	US/Eastern
NY	2016-02-18 13:55:00	0.1	0.005	0.022	4.249	0.092	0.005	0.021	4.249	2	0.1	0.447	4.249	1.0	2.289	0.0	2016-02-18	08:55:00	US/Eastern
NY	2016-02-18 14:10:00	0.1	0.005	0.022	4.249	0.091	0.005	0.02	4.249	2	0.1	0.447	4.249	1.0	3.102	0.0	2016-02-18	09:10:00	US/Eastern
NY	2016-02-18 14:25:00	0.1	0.005	0.022	4.225	0.09	0.005	0.02	4.225	2	0.101	0.449	4.225	1.0	3.102	-0.024	2016-02-18	09:25:00	US/Eastern
NY	2016-02-18 14:40:00	0.1	0.005	0.023	4.203	0.089	0.005	0.02	4.201	2	0.102	0.452	4.203	1.0	3.102	-0.048	2016-02-18	09:40:00	US/Eastern
NY	2016-02-18 14:55:00	0.1	0.005	0.023	4.18	0.088	0.005	0.02	4.176	2	0.103	0.454	4.18	1.0	3.102	-0.073	2016-02-18	09:55:00	US/Eastern
NY	2016-02-18 15:10:00	0.1	0.005	0.023	4.158	0.087	0.005	0.02	4.151	2	0.104	0.456	4.158	1.0	3.102	-0.098	2016-02-18	10:10:00	US/Eastern
NY	2016-02-18 15:25:00	0.1	0.005	0.023	4.136	0.086	0.005	0.02	4.125	2	0.105	0.458	4.136	1.0	3.102	-0.124	2016-02-18	10:25:00	US/Eastern
NY	2016-02-18 15:40:00	0.1	0.005	0.023	4.115	0.086	0.005	0.02	4.098	2	0.106	0.46	4.115	1.0	3.102	-0.027	2016-02-18	10:40:00	US/Eastern
NY	2016-02-18 15:55:00	0.1	0.005	0.023	4.094	0.085	0.005	0.02	4.071	2	0.107	0.462	4.094	1.0	3.102	-0.054	2016-02-18	10:55:00	US/Eastern
NY	2016-02-18 16:10:00	0.1	0.005	0.023	4.073	0.084	0.005	0.02	4.043	2	0.108	0.464	4.073	1.0	3.102	-0.081	2016-02-18	11:10:00	US/Eastern
NY	2016-02-18 16:25:00	0.1	0.005	0.023	4.052	0.083	0.005	0.02	4.015	2	0.109	0.467	4.052	1.0	3.102	-0.11	2016-02-18	11:25:00	US/Eastern
NY	2016-02-18 16:40:00	0.1	0.006	0.023	4.032	0.082	0.005	0.019	3.986	2	0.11	0.469	4.032	1.0	3.102	-0.138	2016-02-18	11:40:00	US/Eastern
NY	2016-02-18 16:55:00	0.1	0.006	0.024	4.012	0.081	0.005	0.019	3.957	2	0.111	0.471	4.012	1.0	3.102	-0.029	2016-02-18	11:55:00	US/Eastern
NY	2016-02-18 17:10:00	0.1	0.006	0.024	3.992	0.08	0.005	0.019	3.927	2	0.112	0.473	3.992	1.0	3.102	-0.059	2016-02-18	12:10:00	US/Eastern
NY	2016-02-18 17:25:00	0.1	0.006	0.024	3.973	0.08	0.005	0.019	3.897	2	0.114	0.475	3.973	1.0	3.102	-0.089	2016-02-18	12:25:00	US/Eastern
NY	2016-02-18 17:40:00	0.1	0.006	0.024	3.954	0.079	0.005	0.019	3.866	2	0.115	0.477	3.954	1.0	3.102	-0.12	2016-02-18	12:40:00	US/Eastern
NY	2016-02-18 17:55:00	0.1	0.006	0.024	3.935	0.078	0.005	0.019	3.835	2	0.116	0.479	3.935	1.0	3.102	-0.151	2016-02-18	12:55:00	US/Eastern
NY	2016-02-18 18:10:00	0.1	0.006	0.024	3.916	0.077	0.005	0.019	3.803	2	0.117	0.481	3.916	1.0	3.102	-0.032	2016-02-18	13:10:00	US/Eastern
NY	2016-02-18 18:25:00	0.1	0.006	0.024	3.898	0.076	0.005	0.019	3.771	2	0.118	0.483	3.898	1.0	3.102	-0.064	2016-02-18	13:25:00	US/Eastern
NY	2016-02-18 18:40:00	0.1	0.006	0.024	3.879	0.076	0.005	0.019	3.739	2	0.119	0.485	3.879	1.0	3.102	-0.096	2016-02-18	13:40:00	US/Eastern
NY	2016-02-18 18:55:00	0.1	0.006	0.024	3.861	0.075	0.005	0.019	3.706	2	0.12	0.487	3.861	1.0	3.102	-0.129	2016-02-18	13:55:00	US/Eastern
NY	2016-02-18 19:10:00	0.1	0.006	0.024	3.844	0.074	0.005	0.019	3.673	2	0.121	0.489	3.844	1.0	3.102	-0.162	2016-02-18	14:10:00	US/Eastern
NY	2016-02-18 19:25:00	0.1	0.006	0.025	3.826	0.073	0.005	0.019	3.639	2	0.122	0.491	3.826	1.0	3.102	-0.034	2016-02-18	14:25:00	US/Eastern
NY	2016-02-18 19:40:00	0.1	0.006	0.025	3.809	0.072	0.005	0.019	3.605	2	0.123	0.493	3.809	1.0	3.102	-0.067	2016-02-18	14:40:00	US/Eastern
NY	2016-02-18 19:55:00	0.1	0.006	0.025	3.792	0.072	0.005	0.019	3.571	2	0.124	0.495	3.792	1.0	3.102	-0.102	2016-02-18	14:55:00	US/Eastern
NY	2016-02-18 20:10:00	0.1	0.006	0.025	3.775	0.071	0.005	0.019	3.537	2	0.125	0.497	3.775	1.0	3.102	-0.136	2016-02-18	15:10:00	US/Eastern
NY	2016-02-18 20:25:00	0.1	0.006	0.025	3.758	0.07	0.005	0.019	3.502	2	0.126	0.499	3.758	1.0	3.102	-0.171	2016-02-18	15:25:00	US/Eastern
NY	2016-02-18 20:40:00	0.1	0.006	0.025	3.742	0.069	0.005	0.019	3.467	2	0.127	0.501	3.742	1.0	3.102	-0.035	2016-02-18	15:40:00	US/Eastern
NY	2016-02-18 20:55:00	0.1	0.006	0.025	3.725	0.069	0.005	0.019	3.432	2	0.128	0.502	3.725	1.0	3.102	-0.07	2016-02-18	15:55:00	US/Eastern
NY	2016-02-18 21:10:00	0.1	0.006	0.025	3.709	0.068	0.005	0.019	3.396	2	0.129	0.504	3.709	1.0	3.102	-0.106	2016-02-18	16:10:00	US/Eastern
NY	2016-02-18 21:25:00	0.1	0.007	0.025	3.694	0.067	0.005	0.019	3.361	2	0.13	0.506	3.694	1.0	3.102	-0.141	2016-02-18	16:25:00	US/Eastern
NY	2016-02-18 21:40:00	0.1	0.007	0.025	3.678	0.067	0.005	0.019	3.325	2	0.131	0.508	3.678	1.0	3.102	-0.177	2016-02-18	16:40:00	US/Eastern
NY	2016-02-18 21:55:00	0.1	0.007	0.025	3.662	0.066	0.005	0.019	3.289	2	0.132	0.51	3.662	1.0	3.102	-0.036	2016-02-18	16:55:00	US/Eastern
NY	2016-02-18 22:10:00	0.1	0.007	0.026	3.647	0.065	0.005	0.019	3.253	2	0.133	0.512	3.647	1.0	3.102	-0.072	2016-02-18	17:10:00	US/Eastern
NY	2016-02-18 22:25:00	0.1	0.007	0.026	3.632	0.065	0.005	0.019	3.217	2	0.134	0.514	3.632	1.0	3.102	-0.108	2016-02-18	17:25:00	US/Eastern
NY	2016-02-18 22:40:00	0.1	0.007	0.026	3.617	0.064	0.005	0.019	3.181	2	0.135	0.516	3.617	1.0	3.102	-0.144	2016-02-18	17:40:00	US/Eastern
