Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - OLEM.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
OLEM	2016-01-20 05:10:00	-0.05	-0.07	0.129	0.157	-0.024	-0.054	0.089	0.34	1	1.013	1.051	-0.012	1.0	1.221	0.015	2016-01-20	00:10:00	US/Eastern
OLEM	2016-01-20 05:25:00	-0.05	-0.07	0.129	0.157	-0.024	-0.054	0.089	0.343	1	1.014	1.051	-0.013	1.0	1.221	0.003	2016-01-20	00:25:00	US/Eastern
OLEM	2016-01-20 05:40:00	-0.05	-0.07	0.129	0.158	-0.024	-0.054	0.089	0.346	1	1.015	1.051	-0.014	1.0	1.221	0.006	2016-01-20	00:40:00	US/Eastern
OLEM	2016-01-20 05:55:00	-0.05	-0.07	0.129	0.158	-0.024	-0.055	0.089	0.349	1	1.016	1.051	-0.015	1.0	1.221	0.009	2016-01-20	00:55:00	US/Eastern
OLEM	2016-01-20 06:10:00	-0.05	-0.07	0.129	0.158	-0.023	-0.055	0.089	0.352	1	1.017	1.051	-0.016	1.0	1.221	0.012	2016-01-20	01:10:00	US/Eastern
OLEM	2016-01-20 06:25:00	-0.05	-0.07	0.129	0.158	-0.023	-0.055	0.089	0.355	1	1.018	1.051	-0.017	1.0	1.221	0.015	2016-01-20	01:25:00	US/Eastern
OLEM	2016-01-20 06:40:00	-0.05	-0.07	0.129	0.159	-0.023	-0.055	0.089	0.358	1	1.019	1.051	-0.018	1.0	1.221	0.003	2016-01-20	01:40:00	US/Eastern
OLEM	2016-01-20 06:55:00	-0.05	-0.07	0.129	0.159	-0.023	-0.055	0.089	0.36	1	1.02	1.051	-0.019	1.0	1.221	0.006	2016-01-20	01:55:00	US/Eastern
OLEM	2016-01-20 07:10:00	-0.05	-0.071	0.129	0.159	-0.022	-0.055	0.089	0.363	1	1.021	1.051	-0.02	1.0	1.221	0.008	2016-01-20	02:10:00	US/Eastern
OLEM	2016-01-20 07:25:00	-0.05	-0.071	0.129	0.159	-0.022	-0.055	0.089	0.366	1	1.022	1.051	-0.021	1.0	1.221	0.011	2016-01-20	02:25:00	US/Eastern
OLEM	2016-01-20 07:40:00	-0.05	-0.071	0.129	0.159	-0.022	-0.055	0.089	0.369	1	1.023	1.051	-0.022	1.0	1.221	0.014	2016-01-20	02:40:00	US/Eastern
OLEM	2016-01-20 07:55:00	-0.05	-0.071	0.129	0.16	-0.022	-0.055	0.089	0.371	1	1.024	1.051	-0.023	1.0	1.221	0.003	2016-01-20	02:55:00	US/Eastern
OLEM	2016-01-20 08:10:00	-0.05	-0.071	0.129	0.16	-0.021	-0.055	0.089	0.374	1	1.025	1.051	-0.024	1.0	1.221	0.005	2016-01-20	03:10:00	US/Eastern
OLEM	2016-01-20 08:25:00	-0.05	-0.071	0.129	0.16	-0.021	-0.055	0.089	0.377	1	1.026	1.051	-0.025	1.0	1.221	0.008	2016-01-20	03:25:00	US/Eastern
OLEM	2016-01-20 08:40:00	-0.05	-0.071	0.129	0.16	-0.021	-0.055	0.089	0.38	1	1.027	1.051	-0.026	1.0	1.221	0.011	2016-01-20	03:40:00	US/Eastern
OLEM	2016-01-20 08:55:00	-0.05	-0.071	0.129	0.16	-0.021	-0.055	0.089	0.382	1	1.028	1.051	-0.027	1.0	1.221	0.013	2016-01-20	03:55:00	US/Eastern
OLEM	2016-01-20 09:10:00	-0.05	-0.071	0.129	0.161	-0.021	-0.055	0.089	0.385	1	1.029	1.051	-0.028	1.0	1.221	0.003	2016-01-20	04:10:00	US/Eastern
OLEM	2016-01-20 09:25:00	-0.05	-0.071	0.129	0.161	-0.02	-0.055	0.089	0.387	1	1.03	1.051	-0.029	1.0	1.221	0.005	2016-01-20	04:25:00	US/Eastern
OLEM	2016-01-20 09:40:00	-0.05	-0.071	0.129	0.161	-0.02	-0.055	0.089	0.39	1	1.031	1.051	-0.03	1.0	1.221	0.008	2016-01-20	04:40:00	US/Eastern
OLEM	2016-01-20 09:55:00	-0.05	-0.071	0.129	0.161	-0.02	-0.055	0.089	0.392	1	1.032	1.051	-0.031	1.0	1.221	0.01	2016-01-20	04:55:00	US/Eastern
OLEM	2016-01-20 10:10:00	-0.05	-0.071	0.129	0.162	-0.02	-0.055	0.088	0.395	1	1.033	1.051	-0.032	1.0	1.221	0.013	2016-01-20	05:10:00	US/Eastern
OLEM	2016-01-20 10:25:00	-0.05	-0.071	0.129	0.162	-0.02	-0.055	0.088	0.397	1	1.034	1.051	-0.033	1.0	1.221	0.002	2016-01-20	05:25:00	US/Eastern
OLEM	2016-01-20 10:40:00	-0.05	-0.071	0.129	0.162	-0.019	-0.055	0.088	0.4	1	1.035	1.051	-0.034	1.0	1.221	0.005	2016-01-20	05:40:00	US/Eastern
OLEM	2016-01-20 10:55:00	-0.05	-0.071	0.129	0.162	-0.019	-0.055	0.088	0.402	1	1.036	1.051	-0.035	1.0	1.221	0.007	2016-01-20	05:55:00	US/Eastern
OLEM	2016-01-20 11:10:00	-0.05	-0.071	0.129	0.162	-0.019	-0.055	0.088	0.405	1	1.038	1.051	-0.036	1.0	1.221	0.01	2016-01-20	06:10:00	US/Eastern
OLEM	2016-01-20 11:25:00	-0.05	-0.071	0.129	0.163	-0.019	-0.055	0.088	0.407	1	1.039	1.051	-0.037	1.0	1.221	0.012	2016-01-20	06:25:00	US/Eastern
OLEM	2016-01-20 11:40:00	-0.05	-0.071	0.129	0.163	-0.019	-0.055	0.088	0.41	1	1.04	1.051	-0.038	1.0	1.221	0.002	2016-01-20	06:40:00	US/Eastern
OLEM	2016-01-20 15:55:00	0.0	-0.067	0.128	0.525	0.0	-0.053	0.088	0.604	1	1.046	1.052	-0.044	1.0	0.68	-0.002	2016-01-20	10:55:00	US/Eastern
OLEM	2016-01-20 16:10:00	0.0	-0.067	0.128	0.524	0.0	-0.053	0.088	0.603	1	1.046	1.052	-0.044	1.0	0.68	-0.003	2016-01-20	11:10:00	US/Eastern
OLEM	2016-01-20 16:25:00	0.0	-0.067	0.128	0.523	0.0	-0.053	0.088	0.602	1	1.045	1.053	-0.043	1.0	0.68	-0.003	2016-01-20	11:25:00	US/Eastern
OLEM	2016-01-20 16:40:00	0.0	-0.067	0.128	0.523	0.0	-0.053	0.088	0.602	1	1.045	1.053	-0.043	1.0	0.68	-0.001	2016-01-20	11:40:00	US/Eastern
