Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - ONG.txt

Data for: 2016-01-21 15:10:00 UTC - 2016-12-31 18:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
ONG	2016-01-21 15:10:00	0.0	0.014	0.061	-0.224	0.0	0.007	0.031	-0.224	1	0.398	0.68	0.885	1.0	1.703	0.0	2016-01-21	10:10:00	US/Eastern
ONG	2016-01-21 15:25:00	0.0	0.014	0.061	-0.224	0.0	0.007	0.031	-0.224	1	0.397	0.68	0.886	1.0	1.703	0.0	2016-01-21	10:25:00	US/Eastern
ONG	2016-01-21 15:40:00	0.0	0.014	0.061	-0.224	0.0	0.007	0.031	-0.224	1	0.397	0.68	0.887	1.0	1.703	0.0	2016-01-21	10:40:00	US/Eastern
ONG	2016-01-21 15:55:00	0.0	0.014	0.061	-0.224	0.0	0.007	0.031	-0.224	1	0.396	0.68	0.888	1.0	1.703	0.0	2016-01-21	10:55:00	US/Eastern
ONG	2016-01-21 16:10:00	0.0	0.014	0.061	-0.224	0.0	0.007	0.031	-0.224	1	0.396	0.68	0.889	1.0	1.703	0.0	2016-01-21	11:10:00	US/Eastern
ONG	2016-01-21 16:25:00	0.0	0.014	0.061	-0.224	0.0	0.007	0.031	-0.224	1	0.395	0.68	0.889	1.0	1.703	0.0	2016-01-21	11:25:00	US/Eastern
ONG	2016-01-21 16:40:00	0.0	0.014	0.061	-0.224	0.0	0.007	0.031	-0.224	1	0.395	0.68	0.89	1.0	1.703	0.0	2016-01-21	11:40:00	US/Eastern
ONG	2016-01-21 16:55:00	0.0	0.014	0.061	-0.224	0.0	0.007	0.031	-0.224	2	0.444	0.759	2.05	1.0	2.416	0.0	2016-01-21	11:55:00	US/Eastern
ONG	2016-01-21 17:10:00	0.0	0.014	0.061	-0.224	0.0	0.007	0.031	-0.224	2	0.444	0.759	2.051	1.0	2.416	0.0	2016-01-21	12:10:00	US/Eastern
ONG	2016-01-21 17:25:00	0.0	0.014	0.061	-0.224	0.0	0.007	0.031	-0.224	2	0.443	0.759	2.052	1.0	2.416	0.0	2016-01-21	12:25:00	US/Eastern
ONG	2016-01-21 17:40:00	0.0	0.014	0.061	-0.224	0.0	0.007	0.031	-0.224	2	0.443	0.759	2.053	1.0	2.416	0.0	2016-01-21	12:40:00	US/Eastern
ONG	2016-01-21 17:55:00	0.0	0.014	0.061	-0.224	0.0	0.007	0.031	-0.224	2	0.442	0.759	2.054	1.0	2.416	0.0	2016-01-21	12:55:00	US/Eastern
