Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - OOK.txt

Data for: 2016-03-19 22:55:00 UTC - 2016-03-20 22:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
OOK	2016-03-19 22:55:00	-0.05	-0.002	0.011	-4.249	-0.05	-0.002	0.011	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	18:55:00	US/Eastern
OOK	2016-03-19 23:10:00	-0.05	-0.002	0.011	-4.249	-0.049	-0.002	0.011	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	19:10:00	US/Eastern
OOK	2016-03-19 23:25:00	-0.05	-0.002	0.011	-4.249	-0.049	-0.002	0.011	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	19:25:00	US/Eastern
OOK	2016-03-19 23:40:00	-0.05	-0.002	0.011	-4.249	-0.048	-0.002	0.011	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	19:40:00	US/Eastern
OOK	2016-03-19 23:55:00	-0.05	-0.002	0.011	-4.249	-0.048	-0.002	0.011	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	19:55:00	US/Eastern
OOK	2016-03-20 00:10:00	-0.05	-0.002	0.011	-4.249	-0.047	-0.002	0.011	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	20:10:00	US/Eastern
OOK	2016-03-20 00:25:00	-0.05	-0.002	0.011	-4.249	-0.047	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	20:25:00	US/Eastern
OOK	2016-03-20 00:40:00	-0.05	-0.002	0.011	-4.249	-0.046	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	20:40:00	US/Eastern
OOK	2016-03-20 00:55:00	-0.05	-0.002	0.011	-4.249	-0.046	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	20:55:00	US/Eastern
OOK	2016-03-20 01:10:00	-0.05	-0.002	0.011	-4.249	-0.045	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	21:10:00	US/Eastern
OOK	2016-03-20 01:25:00	-0.05	-0.002	0.011	-4.249	-0.045	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	21:25:00	US/Eastern
OOK	2016-03-20 01:40:00	-0.05	-0.002	0.011	-4.249	-0.044	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	21:40:00	US/Eastern
OOK	2016-03-20 01:55:00	-0.05	-0.002	0.011	-4.249	-0.044	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	21:55:00	US/Eastern
OOK	2016-03-20 02:10:00	-0.05	-0.002	0.011	-4.249	-0.043	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	22:10:00	US/Eastern
OOK	2016-03-20 02:25:00	-0.05	-0.002	0.011	-4.249	-0.043	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	22:25:00	US/Eastern
OOK	2016-03-20 02:40:00	-0.05	-0.002	0.011	-4.249	-0.043	-0.002	0.01	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	22:40:00	US/Eastern
OOK	2016-03-20 02:55:00	-0.05	-0.002	0.011	-4.249	-0.042	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	22:55:00	US/Eastern
OOK	2016-03-20 03:10:00	-0.05	-0.002	0.011	-4.249	-0.042	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	23:10:00	US/Eastern
OOK	2016-03-20 03:25:00	-0.05	-0.002	0.011	-4.249	-0.041	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	23:25:00	US/Eastern
OOK	2016-03-20 03:40:00	-0.05	-0.002	0.011	-4.249	-0.041	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	23:40:00	US/Eastern
OOK	2016-03-20 03:55:00	-0.05	-0.002	0.011	-4.249	-0.04	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-19	23:55:00	US/Eastern
OOK	2016-03-20 04:10:00	-0.05	-0.002	0.011	-4.249	-0.04	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	00:10:00	US/Eastern
OOK	2016-03-20 04:25:00	-0.05	-0.002	0.011	-4.249	-0.04	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	00:25:00	US/Eastern
OOK	2016-03-20 04:40:00	-0.05	-0.002	0.011	-4.249	-0.039	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	00:40:00	US/Eastern
OOK	2016-03-20 04:55:00	-0.05	-0.002	0.011	-4.249	-0.039	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	00:55:00	US/Eastern
OOK	2016-03-20 05:10:00	-0.05	-0.002	0.011	-4.249	-0.038	-0.002	0.009	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	01:10:00	US/Eastern
OOK	2016-03-20 05:25:00	-0.05	-0.002	0.011	-4.249	-0.038	-0.002	0.008	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	01:25:00	US/Eastern
OOK	2016-03-20 05:40:00	-0.05	-0.002	0.011	-4.249	-0.038	-0.002	0.008	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	01:40:00	US/Eastern
OOK	2016-03-20 05:55:00	-0.05	-0.002	0.011	-4.249	-0.037	-0.002	0.008	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	01:55:00	US/Eastern
OOK	2016-03-20 06:10:00	-0.05	-0.002	0.011	-4.249	-0.037	-0.002	0.008	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	02:10:00	US/Eastern
OOK	2016-03-20 06:25:00	-0.05	-0.002	0.011	-4.249	-0.036	-0.002	0.008	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	02:25:00	US/Eastern
OOK	2016-03-20 06:40:00	-0.05	-0.002	0.011	-4.249	-0.036	-0.002	0.008	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	02:40:00	US/Eastern
OOK	2016-03-20 06:55:00	-0.05	-0.002	0.011	-4.249	-0.036	-0.002	0.008	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	02:55:00	US/Eastern
OOK	2016-03-20 07:10:00	-0.05	-0.002	0.011	-4.249	-0.035	-0.002	0.008	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	03:10:00	US/Eastern
OOK	2016-03-20 07:25:00	-0.05	-0.002	0.011	-4.249	-0.035	-0.002	0.008	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	03:25:00	US/Eastern
OOK	2016-03-20 07:40:00	-0.05	-0.002	0.011	-4.249	-0.035	-0.002	0.008	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	03:40:00	US/Eastern
OOK	2016-03-20 07:55:00	-0.05	-0.002	0.011	-4.249	-0.034	-0.002	0.008	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	03:55:00	US/Eastern
OOK	2016-03-20 08:10:00	-0.05	-0.002	0.011	-4.249	-0.034	-0.002	0.008	-4.249	1	0.05	0.224	4.249	1.0	1.885	0.0	2016-03-20	04:10:00	US/Eastern
