Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PGF.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-31 16:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PGF	2016-01-20 05:10:00	0.075	0.021	0.068	0.794	0.06	0.012	0.04	1.21	2	1.15	0.933	0.911	1.0	1.94	-0.07	2016-01-20	00:10:00	US/Eastern
PGF	2016-01-20 05:25:00	0.075	0.021	0.068	0.794	0.06	0.012	0.04	1.197	2	1.15	0.933	0.911	1.0	1.94	-0.014	2016-01-20	00:25:00	US/Eastern
PGF	2016-01-20 05:40:00	0.075	0.021	0.068	0.794	0.059	0.012	0.039	1.183	2	1.15	0.933	0.911	1.0	1.94	-0.027	2016-01-20	00:40:00	US/Eastern
PGF	2016-01-20 05:55:00	0.075	0.021	0.068	0.794	0.058	0.012	0.039	1.169	2	1.15	0.933	0.911	1.0	1.94	-0.041	2016-01-20	00:55:00	US/Eastern
PGF	2016-01-20 06:10:00	0.075	0.021	0.068	0.794	0.058	0.012	0.039	1.156	2	1.15	0.933	0.911	1.0	1.94	-0.054	2016-01-20	01:10:00	US/Eastern
PGF	2016-01-20 06:25:00	0.075	0.021	0.068	0.794	0.057	0.012	0.039	1.143	2	1.15	0.933	0.911	1.0	1.94	-0.068	2016-01-20	01:25:00	US/Eastern
PGF	2016-01-20 06:40:00	0.075	0.021	0.068	0.794	0.056	0.012	0.039	1.129	2	1.15	0.933	0.911	1.0	1.94	-0.013	2016-01-20	01:40:00	US/Eastern
PGF	2016-01-20 06:55:00	0.075	0.021	0.068	0.794	0.056	0.012	0.039	1.116	2	1.15	0.933	0.911	1.0	1.94	-0.026	2016-01-20	01:55:00	US/Eastern
PGF	2016-01-20 07:10:00	0.075	0.021	0.068	0.794	0.055	0.012	0.039	1.103	2	1.15	0.933	0.911	1.0	1.94	-0.039	2016-01-20	02:10:00	US/Eastern
PGF	2016-01-20 07:25:00	0.075	0.021	0.068	0.794	0.055	0.012	0.039	1.09	2	1.15	0.933	0.911	1.0	1.94	-0.052	2016-01-20	02:25:00	US/Eastern
PGF	2016-01-20 07:40:00	0.075	0.021	0.068	0.794	0.054	0.012	0.039	1.077	2	1.15	0.933	0.911	1.0	1.94	-0.065	2016-01-20	02:40:00	US/Eastern
PGF	2016-01-20 07:55:00	0.075	0.021	0.068	0.794	0.054	0.012	0.039	1.065	2	1.15	0.933	0.911	1.0	1.94	-0.013	2016-01-20	02:55:00	US/Eastern
PGF	2016-01-20 08:10:00	0.075	0.021	0.068	0.794	0.053	0.012	0.039	1.052	2	1.15	0.933	0.911	1.0	1.94	-0.025	2016-01-20	03:10:00	US/Eastern
PGF	2016-01-20 08:25:00	0.075	0.021	0.068	0.794	0.053	0.012	0.039	1.039	2	1.15	0.933	0.911	1.0	1.94	-0.038	2016-01-20	03:25:00	US/Eastern
PGF	2016-01-20 08:40:00	0.075	0.021	0.068	0.794	0.052	0.012	0.039	1.027	3	1.2	1.005	1.791	0.667	2.414	-0.05	2016-01-20	03:40:00	US/Eastern
PGF	2016-01-20 08:55:00	0.075	0.021	0.068	0.794	0.051	0.012	0.039	1.015	3	1.2	1.005	1.791	0.667	2.414	-0.063	2016-01-20	03:55:00	US/Eastern
PGF	2016-01-20 09:10:00	0.075	0.021	0.068	0.794	0.051	0.012	0.039	1.002	3	1.2	1.005	1.791	0.667	2.414	-0.012	2016-01-20	04:10:00	US/Eastern
PGF	2016-01-20 09:25:00	0.075	0.021	0.068	0.794	0.05	0.012	0.039	0.99	3	1.2	1.005	1.791	0.667	2.414	-0.024	2016-01-20	04:25:00	US/Eastern
PGF	2016-01-20 09:40:00	0.075	0.021	0.068	0.794	0.05	0.012	0.039	0.978	3	1.2	1.005	1.791	0.667	2.414	-0.036	2016-01-20	04:40:00	US/Eastern
PGF	2016-01-20 09:55:00	0.075	0.021	0.068	0.794	0.049	0.012	0.039	0.966	3	1.2	1.005	1.791	0.667	2.414	-0.048	2016-01-20	04:55:00	US/Eastern
PGF	2016-01-20 10:10:00	0.075	0.021	0.068	0.794	0.049	0.012	0.039	0.954	3	1.2	1.005	1.791	0.667	2.414	-0.06	2016-01-20	05:10:00	US/Eastern
PGF	2016-01-20 10:25:00	0.075	0.021	0.068	0.794	0.048	0.012	0.039	0.943	3	1.2	1.005	1.791	0.667	2.414	-0.012	2016-01-20	05:25:00	US/Eastern
PGF	2016-01-20 10:40:00	0.075	0.021	0.068	0.794	0.048	0.012	0.039	0.931	3	1.2	1.005	1.791	0.667	2.414	-0.023	2016-01-20	05:40:00	US/Eastern
PGF	2016-01-20 10:55:00	0.075	0.021	0.068	0.794	0.047	0.012	0.039	0.92	3	1.2	1.005	1.791	0.667	2.414	-0.035	2016-01-20	05:55:00	US/Eastern
PGF	2016-01-20 11:10:00	0.075	0.021	0.068	0.794	0.047	0.012	0.039	0.908	3	1.2	1.005	1.791	0.667	2.414	-0.046	2016-01-20	06:10:00	US/Eastern
PGF	2016-01-20 11:25:00	0.075	0.021	0.068	0.794	0.046	0.012	0.039	0.897	3	1.2	1.005	1.791	0.667	2.414	-0.058	2016-01-20	06:25:00	US/Eastern
PGF	2016-01-20 11:40:00	0.075	0.021	0.068	0.794	0.046	0.012	0.039	0.886	3	1.2	1.005	1.791	0.667	2.414	-0.011	2016-01-20	06:40:00	US/Eastern
PGF	2016-01-20 11:55:00	0.075	0.021	0.068	0.794	0.045	0.012	0.039	0.874	3	1.2	1.005	1.791	0.667	2.414	-0.022	2016-01-20	06:55:00	US/Eastern
PGF	2016-01-20 12:10:00	0.075	0.021	0.068	0.794	0.045	0.011	0.039	0.863	3	1.2	1.005	1.791	0.667	2.414	-0.033	2016-01-20	07:10:00	US/Eastern
PGF	2016-01-20 12:25:00	0.075	0.021	0.068	0.794	0.044	0.011	0.039	0.852	3	1.2	1.005	1.791	0.667	2.414	-0.044	2016-01-20	07:25:00	US/Eastern
PGF	2016-01-20 12:40:00	0.075	0.021	0.068	0.794	0.044	0.011	0.039	0.842	3	1.2	1.005	1.791	0.667	2.414	-0.055	2016-01-20	07:40:00	US/Eastern
PGF	2016-01-20 12:55:00	0.075	0.021	0.068	0.794	0.044	0.011	0.039	0.831	3	1.2	1.005	1.791	0.667	2.414	-0.011	2016-01-20	07:55:00	US/Eastern
