Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PHO.txt

Data for: 2016-02-03 19:55:00 UTC - 2016-12-31 11:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PHO	2016-02-03 19:55:00	0.219	0.011	0.049	4.249	0.218	0.011	0.049	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	14:55:00	US/Eastern
PHO	2016-02-03 20:10:00	0.219	0.011	0.049	4.249	0.216	0.011	0.048	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	15:10:00	US/Eastern
PHO	2016-02-03 20:25:00	0.219	0.011	0.049	4.249	0.214	0.011	0.048	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	15:25:00	US/Eastern
PHO	2016-02-03 20:40:00	0.219	0.011	0.049	4.249	0.212	0.011	0.047	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	15:40:00	US/Eastern
PHO	2016-02-03 20:55:00	0.219	0.011	0.049	4.249	0.209	0.01	0.047	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	15:55:00	US/Eastern
PHO	2016-02-03 21:10:00	0.219	0.011	0.049	4.249	0.207	0.01	0.046	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	16:10:00	US/Eastern
PHO	2016-02-03 21:25:00	0.219	0.011	0.049	4.249	0.205	0.01	0.046	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	16:25:00	US/Eastern
PHO	2016-02-03 21:40:00	0.219	0.011	0.049	4.249	0.203	0.01	0.045	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	16:40:00	US/Eastern
PHO	2016-02-03 21:55:00	0.219	0.011	0.049	4.249	0.201	0.01	0.045	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	16:55:00	US/Eastern
PHO	2016-02-03 22:10:00	0.219	0.011	0.049	4.249	0.199	0.01	0.044	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	17:10:00	US/Eastern
PHO	2016-02-03 22:25:00	0.219	0.011	0.049	4.249	0.197	0.01	0.044	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	17:25:00	US/Eastern
PHO	2016-02-03 22:40:00	0.219	0.011	0.049	4.249	0.195	0.01	0.044	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	17:40:00	US/Eastern
PHO	2016-02-03 22:55:00	0.219	0.011	0.049	4.249	0.193	0.01	0.043	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	17:55:00	US/Eastern
PHO	2016-02-03 23:10:00	0.219	0.011	0.049	4.249	0.191	0.01	0.043	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	18:10:00	US/Eastern
PHO	2016-02-03 23:25:00	0.219	0.011	0.049	4.249	0.189	0.009	0.042	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	18:25:00	US/Eastern
PHO	2016-02-03 23:40:00	0.219	0.011	0.049	4.249	0.187	0.009	0.042	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	18:40:00	US/Eastern
PHO	2016-02-03 23:55:00	0.219	0.011	0.049	4.249	0.185	0.009	0.041	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	18:55:00	US/Eastern
PHO	2016-02-04 00:10:00	0.219	0.011	0.049	4.249	0.183	0.009	0.041	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	19:10:00	US/Eastern
PHO	2016-02-04 00:25:00	0.219	0.011	0.049	4.249	0.181	0.009	0.04	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	19:25:00	US/Eastern
PHO	2016-02-04 00:40:00	0.219	0.011	0.049	4.249	0.179	0.009	0.04	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	19:40:00	US/Eastern
PHO	2016-02-04 00:55:00	0.219	0.011	0.049	4.249	0.177	0.009	0.04	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	19:55:00	US/Eastern
PHO	2016-02-04 01:10:00	0.219	0.011	0.049	4.249	0.175	0.009	0.039	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	20:10:00	US/Eastern
PHO	2016-02-04 01:25:00	0.219	0.011	0.049	4.249	0.174	0.009	0.039	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	20:25:00	US/Eastern
PHO	2016-02-04 01:40:00	0.219	0.011	0.049	4.249	0.172	0.009	0.038	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	20:40:00	US/Eastern
PHO	2016-02-04 01:55:00	0.219	0.011	0.049	4.249	0.17	0.009	0.038	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	20:55:00	US/Eastern
PHO	2016-02-04 02:10:00	0.219	0.011	0.049	4.249	0.168	0.008	0.038	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	21:10:00	US/Eastern
PHO	2016-02-04 02:25:00	0.219	0.011	0.049	4.249	0.167	0.008	0.037	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	21:25:00	US/Eastern
PHO	2016-02-04 02:40:00	0.219	0.011	0.049	4.249	0.165	0.008	0.037	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	21:40:00	US/Eastern
PHO	2016-02-04 02:55:00	0.219	0.011	0.049	4.249	0.163	0.008	0.036	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	21:55:00	US/Eastern
PHO	2016-02-04 03:10:00	0.219	0.011	0.049	4.249	0.161	0.008	0.036	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	22:10:00	US/Eastern
PHO	2016-02-04 03:25:00	0.219	0.011	0.049	4.249	0.16	0.008	0.036	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	22:25:00	US/Eastern
PHO	2016-02-04 03:40:00	0.219	0.011	0.049	4.249	0.158	0.008	0.035	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	22:40:00	US/Eastern
PHO	2016-02-04 03:55:00	0.219	0.011	0.049	4.249	0.156	0.008	0.035	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	22:55:00	US/Eastern
PHO	2016-02-04 04:10:00	0.219	0.011	0.049	4.249	0.155	0.008	0.035	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	23:10:00	US/Eastern
PHO	2016-02-04 04:25:00	0.219	0.011	0.049	4.249	0.153	0.008	0.034	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	23:25:00	US/Eastern
PHO	2016-02-04 04:40:00	0.219	0.011	0.049	4.249	0.152	0.008	0.034	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	23:40:00	US/Eastern
PHO	2016-02-04 04:55:00	0.219	0.011	0.049	4.249	0.15	0.008	0.034	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-03	23:55:00	US/Eastern
PHO	2016-02-04 05:10:00	0.219	0.011	0.049	4.249	0.149	0.007	0.033	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-04	00:10:00	US/Eastern
PHO	2016-02-04 05:25:00	0.219	0.011	0.049	4.249	0.147	0.007	0.033	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-04	00:25:00	US/Eastern
PHO	2016-02-04 05:40:00	0.219	0.011	0.049	4.249	0.145	0.007	0.033	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-04	00:40:00	US/Eastern
PHO	2016-02-04 05:55:00	0.219	0.011	0.049	4.249	0.144	0.007	0.032	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-04	00:55:00	US/Eastern
PHO	2016-02-04 06:10:00	0.219	0.011	0.049	4.249	0.142	0.007	0.032	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-04	01:10:00	US/Eastern
PHO	2016-02-04 06:25:00	0.219	0.011	0.049	4.249	0.141	0.007	0.032	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-04	01:25:00	US/Eastern
PHO	2016-02-04 06:40:00	0.219	0.011	0.049	4.249	0.14	0.007	0.031	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-04	01:40:00	US/Eastern
PHO	2016-02-04 06:55:00	0.219	0.011	0.049	4.249	0.138	0.007	0.031	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-04	01:55:00	US/Eastern
PHO	2016-02-04 07:10:00	0.219	0.011	0.049	4.249	0.137	0.007	0.031	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-04	02:10:00	US/Eastern
PHO	2016-02-04 07:25:00	0.219	0.011	0.049	4.249	0.135	0.007	0.03	4.249	1	0.05	0.224	4.249	1.0	1.73	0.0	2016-02-04	02:25:00	US/Eastern
